forest_type,density_class,n,BA_osm,Cords_osm
Commercial Softwood,A+B (high),2,220.75523984999998,39.850788504464276
Commercial Softwood,C+D (low),2,199.58821162499999,36.49363337053571
Hardwood,C+D (low),1,171.90007229999998,31.671268973214282
Mixedwood,C+D (low),1,184.15749359999998,34.358852678571424
