"forest_type","density_class","BA_agm_def","Cords_agm_def","BA_agm_mc","Cords_agm_mc","BA_fvs_def","Cords_fvs_def","BA_fvs_cal","Cords_fvs_cal"
"Cedar","C+D (low)",206.3582270664,59.3365874942,99.281500738824,36.9224910929672,290.479461669922,87.5007293314873,218.272232055664,66.3525514240506
"Commercial Softwood","A+B (high)",202.852000248685,61.032640164955,97.6453500925407,35.8875236279189,273.957534790039,84.3087266366693,224.914260864258,69.6538024129747
"Commercial Softwood","C+D (low)",211.00983650539,62.9324943085987,99.4396819874614,36.2311888648021,264.173634847005,82.4433449531909,185.520711263021,58.8884102221783
"Hardwood","A+B (high)",208.6102780485,65.302114593053,106.92875571903,39.3241908460196,208.718856811523,72.1091463113133,143.836349487305,51.1126168166535
"Hardwood","C+D (low)",198.314681663767,60.9558325666537,107.883831759964,38.9414114050573,214.387278238932,72.8459585970464,125.157338460286,43.9586217695148
"Mixedwood","C+D (low)",212.30592894614,66.36368036652,102.062096814937,37.6250999879356,239.367782592773,78.4363132911392,153.020248413086,51.2541782041139
