"forest_type","density_class","Year","mean","q05","q95","n_stands","total_plots"
"Mixedwood","C+D (low)",2093,206.3953042673,206.3953042673,206.3953042673,1,101
"Mixedwood","C+D (low)",2098,208.4953455281,208.4953455281,208.4953455281,1,101
"Mixedwood","C+D (low)",2103,209.332864404,209.332864404,209.332864404,1,101
"Mixedwood","C+D (low)",2108,209.8783845169,209.8783845169,209.8783845169,1,101
"Mixedwood","C+D (low)",2113,210.89383205021,210.89383205021,210.89383205021,1,101
"Mixedwood","C+D (low)",2118,211.52210202352,211.52210202352,211.52210202352,1,101
"Mixedwood","C+D (low)",2123,212.30592894614,212.30592894614,212.30592894614,1,101
"Commercial Softwood","A+B (high)",2023,129.156814908704,88.368519785,164.329330269,2,257
"Commercial Softwood","A+B (high)",2028,131.136766655274,91.992786459,164.8913582738,2,257
"Commercial Softwood","A+B (high)",2033,139.163123683069,102.081708702,171.1391264566,2,257
"Commercial Softwood","A+B (high)",2038,149.587098819897,118.259920666,176.6011147642,2,257
"Commercial Softwood","A+B (high)",2043,161.502309666008,137.879300743,181.8728753315,2,257
"Commercial Softwood","A+B (high)",2048,167.435217722503,147.034647982,185.0270133683,2,257
"Commercial Softwood","A+B (high)",2053,178.695006523936,162.962582071,192.2613725377,2,257
"Commercial Softwood","A+B (high)",2058,187.877659935709,177.238593845,197.0519270719,2,257
"Commercial Softwood","A+B (high)",2063,196.482970842284,188.7053372679,203.1897708086,2,257
"Commercial Softwood","A+B (high)",2068,208.401178331825,207.7548637727,208.9585075531,2,257
"Commercial Softwood","A+B (high)",2073,213.904596623575,213.1079577428,214.8284299475,2,257
"Commercial Softwood","A+B (high)",2078,215.302915712221,214.1827858679,216.6018898174,2,257
"Commercial Softwood","A+B (high)",2083,214.725847968791,213.9244242598,215.6552300851,2,257
"Commercial Softwood","A+B (high)",2088,215.01964888365,213.5359924621,216.2990337689,2,257
"Commercial Softwood","A+B (high)",2093,213.364472689842,211.7542737373,214.7529775837,2,257
"Commercial Softwood","A+B (high)",2098,211.500295773796,209.6788154091,213.07099261002,2,257
"Commercial Softwood","A+B (high)",2103,209.435829856133,205.9692113422,212.4251603138,2,257
"Commercial Softwood","A+B (high)",2108,207.228328167003,201.96066071868,211.7707370536,2,257
"Commercial Softwood","A+B (high)",2113,206.373673671239,198.99944165378,212.7326128747,2,257
"Commercial Softwood","A+B (high)",2118,205.758820312673,196.140368579031,214.0529924598,2,257
"Commercial Softwood","A+B (high)",2123,203.566760031865,193.18393370777,212.5200667896,2,257
"Commercial Softwood","C+D (low)",2023,119.022020258123,89.666684033,138.052157091,3,549
"Commercial Softwood","C+D (low)",2028,121.379982774865,95.4646159574,138.978387073,3,549
"Commercial Softwood","C+D (low)",2033,131.319298404275,113.8356549009,145.9633131514,3,549
"Commercial Softwood","C+D (low)",2038,141.417579090442,126.5863866493,152.9982571311,3,549
"Commercial Softwood","C+D (low)",2043,149.457414320502,136.7750984528,159.2220794599,3,549
"Commercial Softwood","C+D (low)",2048,161.95615882293,151.95665456545,168.9529902982,3,549
"Commercial Softwood","C+D (low)",2053,173.549234211478,165.9374197843,179.3350994397,3,549
"Commercial Softwood","C+D (low)",2058,189.86037241088,174.97000530331,194.1074098238,3,549
"Commercial Softwood","C+D (low)",2063,200.405122496629,189.51982432482,202.66957356886,3,549
"Commercial Softwood","C+D (low)",2068,204.429990150324,196.42294183189,205.84322834394,3,549
"Commercial Softwood","C+D (low)",2073,211.37571539295,203.57047352507,214.5740475289,3,549
"Commercial Softwood","C+D (low)",2078,212.204940981697,204.4539630312,216.7087259914,3,549
"Commercial Softwood","C+D (low)",2083,215.345937549943,207.9392154476,218.5724332644,3,549
"Commercial Softwood","C+D (low)",2088,215.656763074558,211.9196491004,218.2967841105,3,549
"Commercial Softwood","C+D (low)",2093,214.522606814077,213.1288114694,216.77649529352,3,549
"Commercial Softwood","C+D (low)",2098,213.3649875958,211.88077909719,215.61157663008,3,549
"Commercial Softwood","C+D (low)",2103,211.873339798329,210.14303880077,214.14371246174,3,549
"Commercial Softwood","C+D (low)",2108,210.361746996279,208.62685088733,212.36348522532,3,549
"Commercial Softwood","C+D (low)",2113,211.364282267387,209.25345258054,214.76812661149,3,549
"Commercial Softwood","C+D (low)",2118,210.57426402152,207.81562938701,214.96118742871,3,549
"Commercial Softwood","C+D (low)",2123,209.677759686493,206.44959234153,213.50557199,3,549
