StandID,Year,Period,BA_ft2ac,Tpa,QMD_in,Cords_ac
C4C-N,2026,0,193.13643299999998,2090.8488391731994,4.118185433070866,23.662426339285712
C4C-N,2031,1,196.19511375,1806.176770999159,4.4657976377952755,24.797645089285712
C4C-N,2036,2,199.83421499999997,1566.6577866374787,4.839304330708662,26.003924107142854
C4C-N,2041,3,202.32893129999997,1363.948037047985,5.218734645669291,27.04701227678571
C4C-N,2046,4,204.5053059,1197.9219482758926,5.5985188976377955,27.998510044642853
C4C-N,2051,5,207.5281905,1060.3590599333459,5.994420078740157,29.093340401785714
C4C-N,2056,6,211.2743061,946.0772914343928,6.4031712598425194,30.300205357142858
C4C-N,2061,7,213.215163,842.5753367304842,6.816159842519685,31.19818080357143
C4C-N,2066,8,215.87656694999998,760.7523514125595,7.21798937007874,32.166368303571424
C4C-N,2071,9,219.84464129999998,690.7812326245248,7.644037007874015,33.303515624999996
C4C-N,2076,10,221.99979224999998,628.8243464210622,8.050941732283464,34.08279799107142
C4C-N,2081,11,225.22322924999997,578.2227774644668,8.456567322834646,35.04797433035714
C4C-N,2086,12,228.429375,533.1493762550634,8.869244881889765,35.978242187499994
C4C-N,2091,13,232.06762799999998,494.478223311516,9.282582283464567,36.95818080357143
C4C-N,2096,14,236.71666875,459.69537095569433,9.723317322834646,38.08616071428571
C4C-N,2101,15,238.055142,426.91154426682266,10.118238976377953,38.57577008928571
C4C-N,2106,16,242.00900489999998,399.32877792052403,10.548375196850394,39.556152901785715
C4C-N,2111,17,242.60303654999996,371.3123099714418,10.952507086614172,39.94302120535714
C4C-N,2116,18,246.19179089999997,353.8576799899266,11.302059055118109,40.821875
C4C-N,2121,19,248.73044654999995,334.22125211800227,11.68913937007874,41.50393303571428
H3D-N,2026,0,95.58213239999999,1332.0632599819032,3.629618897637795,10.367275669642856
H3D-N,2031,1,106.33236134999999,1212.116013897348,4.013245669291339,12.10122544642857
H3D-N,2036,2,115.90484955,1117.5687407420023,4.363638582677165,13.799137723214285
H3D-N,2041,3,124.30712684999999,1028.2829879641795,4.711148425196851,15.47675
H3D-N,2046,4,132.5265345,941.7335171563312,5.083028346456693,17.350382812499998
H3D-N,2051,5,140.1653172,855.587963087998,5.48432342519685,19.289946428571426
H3D-N,2056,6,145.1108583,770.3563106055248,5.880838188976378,20.778902901785713
H3D-N,2061,7,151.36668899999998,693.7739638859837,6.329089763779527,22.55248883928571
H3D-N,2066,8,156.97978545,620.5368296222886,6.815114960629921,24.212040178571424
H3D-N,2071,9,161.76275399999997,550.4413509363949,7.3454578740157475,25.709381696428572
H3D-N,2076,10,165.61594049999997,486.02118369720995,7.909674015748032,26.929121651785714
H3D-N,2081,11,169.75845854999997,428.040738614352,8.533127952755905,28.239948660714283
H3D-N,2086,12,172.35381644999998,380.42574969745357,9.120331496062992,29.189763392857138
H3D-N,2091,13,174.91958999999997,332.3666182882019,9.829821653543307,30.24937053571428
H3D-N,2096,14,176.7132255,292.36010794354473,10.534418503937008,31.131468749999993
H3D-N,2101,15,178.00252199999997,263.4655288068017,11.13746377952756,31.69478794642857
H3D-N,2106,16,179.5506522,237.16097824892913,11.78981496062992,32.423136160714286
H3D-N,2111,17,178.62301904999998,207.63351933000703,12.567679527559054,32.75208147321428
H3D-N,2116,18,177.94620254999998,191.90661780774371,13.047715354330707,32.90218973214286
H3D-N,2121,19,176.9409915,178.50270090275265,13.490464566929134,32.996109375
H4C-N,2026,0,107.4862467,1495.6950666202747,3.6323692913385823,13.226258928571427
H4C-N,2031,1,114.60189404999998,1280.681052421436,4.053316338582677,14.52871875
H4C-N,2036,2,120.58284389999999,1115.614756587033,4.4547236220472435,15.689194196428568
H4C-N,2041,3,126.26826344999999,982.5382942114362,4.8574401574803145,16.93275
H4C-N,2046,4,130.79473424999998,870.7706757334345,5.251438976377952,17.9948125
H4C-N,2051,5,135.78707699999998,775.4958182619138,5.6698893700787405,19.322887276785714
H4C-N,2056,6,140.38648424999997,691.7843673944978,6.103970078740158,20.611339285714283
H4C-N,2061,7,145.5173919,617.7623453276872,6.576303149606299,22.08899107142857
H4C-N,2066,8,149.11283219999999,548.6282783220521,7.064046062992126,23.25206026785714
H4C-N,2071,9,154.20181019999998,488.6707010654891,7.611525590551182,24.716671874999996
H4C-N,2076,10,159.38179019999998,432.3259953485464,8.22713779527559,26.159986607142855
H4C-N,2081,11,163.34777219999998,382.2677006792264,8.857433070866142,27.327299107142853
H4C-N,2086,12,167.270985,343.08876437922765,9.461111417322835,28.509647321428567
H4C-N,2091,13,169.352895,306.991209777476,10.06395,29.270563616071428
H4C-N,2096,14,171.04734179999997,274.27961947574335,10.700313779527558,30.00418526785714
H4C-N,2101,15,172.71991245,250.22781629507668,11.257411023622048,30.662890625
