"forest_type","density_class","TPA_def","BA_def","QMD_def","Cords_def","NetCords_def","n_def","TPA_mc","BA_mc","QMD_mc","Cords_mc","NetCords_mc","BdFt_mc","n_mc","dBA_pct","dCords_pct"
"Cedar","C+D (low)",441.51522489649,206.3582270664,9.25721787227194,0,59.3365874942,1,219.016644608701,99.281500738824,9.11670788074034,36.9224910929672,36.9224910929672,8087.64214057685,1,-51.8887605547812,-37.7744952107732
"Commercial Softwood","A+B (high)",402.554915013555,202.852000248685,9.63103669053838,0,61.032640164955,2,210.357339574917,97.6453500925407,9.22883011112012,35.8875236279189,35.8875236279189,8022.68375803508,2,-51.863747967566,-41.1994573216489
"Commercial Softwood","C+D (low)",407.413051245748,211.00983650539,9.81995158163878,0,62.9324943085987,3,204.152330697455,99.4396819874614,9.45463857351028,36.2311888648021,36.2311888648021,8528.15465014108,3,-52.8743855574139,-42.4284874406261
"Hardwood","A+B (high)",343.007119192504,208.6102780485,10.5598735358169,0,65.302114593053,1,215.863315321631,106.92875571903,9.53016167579849,39.3241908460196,39.3241908460196,9385.50064528045,1,-48.7423358430259,-39.7811371177205
"Hardwood","C+D (low)",336.44779835061,198.314681663767,10.4003467940006,0,60.9558325666537,3,216.34258986014,107.883831759964,9.58771910987165,38.9414114050573,38.9414114050573,9481.96712709503,3,-45.5996747921692,-36.1153645756936
"Mixedwood","C+D (low)",358.072948329428,212.30592894614,10.4264805739155,0,66.36368036652,1,197.663291028305,102.062096814937,9.72997367920003,37.6250999879356,37.6250999879356,9391.32478713948,1,-51.9268739589325,-43.3046814460321
