"forest_type","density_class","Year","TPA","BA","QMD","Cords","NetCords","BdFt","n_stands"
"Cedar","C+D (low)",2023,359.769102359677,161.577518504593,9.07446372490548,39.6313917712168,39.6313917712168,10324.081714847,1
"Cedar","C+D (low)",2068,186.719784894559,79.5032534318944,8.83567462657064,24.6248242401168,24.6248242401168,5914.92145490176,1
"Cedar","C+D (low)",2058,203.347414598536,90.6853089255724,9.04256364263759,27.1050216586011,27.1050216586011,6752.93656390761,1
"Cedar","C+D (low)",2103,226.316116441478,94.5588130972545,8.75257212676493,32.5587173200002,32.5587173200002,7108.09718760584,1
"Cedar","C+D (low)",2093,231.823413205362,92.0088975830845,8.53058272517075,30.4894505176438,30.4894505176438,6824.87124284618,1
"Cedar","C+D (low)",2038,270.774030891821,128.98827904046,9.34574769591805,35.0720969233192,35.0720969233192,9201.54615117967,1
"Cedar","C+D (low)",2028,327.254459234268,150.255929172116,9.17519822928586,38.2672890007041,38.2672890007041,10136.1004932391,1
"Cedar","C+D (low)",2073,203.215504788913,82.2447349592109,8.61426178494131,25.7614831457083,25.7614831457083,6199.80900665366,1
"Cedar","C+D (low)",2063,192.125444619069,82.3880781996008,8.86711164551459,25.0494498322918,25.0494498322918,6087.44060817828,1
"Cedar","C+D (low)",2108,229.391037411802,96.3827267854185,8.77715595085794,33.7825789403012,33.7825789403012,7218.91438928047,1
"Cedar","C+D (low)",2098,227.124915152271,93.1145210828526,8.66999308530441,31.4694229527889,31.4694229527889,6951.82078844545,1
"Cedar","C+D (low)",2043,252.879779453951,119.635038062682,9.31353556278018,33.4432402490764,33.4432402490764,8699.06310717875,1
"Cedar","C+D (low)",2033,299.521865968415,139.159271904873,9.22962892728542,36.6500684325063,36.6500684325063,9631.13978139999,1
"Cedar","C+D (low)",2078,232.140504431073,86.743434241016,8.27723484596408,27.2849830236027,27.2849830236027,6241.44126292757,1
"Cedar","C+D (low)",2123,219.016644608701,99.281500738824,9.11670788074034,36.9224910929672,36.9224910929672,8087.64214057685,1
"Cedar","C+D (low)",2113,233.909455760492,98.3856445700236,8.78181758173812,35.092532049875,35.092532049875,7500.29478676714,1
"Cedar","C+D (low)",2048,226.377092540221,108.783515468931,9.38658763208031,31.2606371284538,31.2606371284538,8111.6929966236,1
"Cedar","C+D (low)",2083,242.898329678094,89.6562084248784,8.22659947104759,28.5670511768798,28.5670511768798,6669.51299912714,1
"Cedar","C+D (low)",2118,226.007516159755,98.8557556060834,8.95533779366113,36.0083212592497,36.0083212592497,7621.23880415566,1
"Cedar","C+D (low)",2053,209.441615878285,98.947200517126,9.30706396975324,29.0870153843541,29.0870153843541,7455.28752827159,1
"Cedar","C+D (low)",2088,240.05934839057,91.1767829891132,8.34497911575296,29.5938877928698,29.5938877928698,6763.35393735589,1
"Commercial Softwood","A+B (high)",2023,391.961939667324,128.737567525587,7.65376852914397,30.6184773294721,30.6184773294721,6025.27755232894,2
"Commercial Softwood","A+B (high)",2068,311.24986433061,99.7127506610901,7.87503910574848,29.1287991316164,29.1287991316164,5446.22603139961,2
"Commercial Softwood","A+B (high)",2058,327.295055899367,106.073803260843,7.89110052843045,29.9034521940111,29.9034521940111,5549.19659208987,2
"Commercial Softwood","A+B (high)",2103,239.16907848209,95.4532499526077,8.55533731122523,32.2562032135714,32.2562032135714,6522.61816770758,2
"Commercial Softwood","A+B (high)",2093,254.341104408815,92.979064579516,8.19515536223384,30.1021289726898,30.1021289726898,6161.25679529241,2
"Commercial Softwood","A+B (high)",2038,335.241880010532,116.227593303067,7.96257730857733,30.3303638921421,30.3303638921421,5754.31061877477,2
"Commercial Softwood","A+B (high)",2028,369.153248650808,125.272481000078,7.82727437881648,30.8147275848355,30.8147275848355,5906.71513755102,2
"Commercial Softwood","A+B (high)",2073,300.120771633654,98.3721955965823,7.9200492296026,29.3694331575609,29.3694331575609,5656.1457618068,2
"Commercial Softwood","A+B (high)",2063,319.392802571224,101.828789535074,7.85153760787707,29.1764257676834,29.1764257676834,5455.93152036061,2
"Commercial Softwood","A+B (high)",2108,230.597201742272,95.6485595112293,8.71783058936115,33.0216327517899,33.0216327517899,6708.42849660625,2
