forest_type,density_class,n,BA_osm,Cords_osm
Cedar,C+D (low),1,248.73044654999995,41.50393303571428
Commercial Softwood,A+B (high),2,221.71626142499997,39.96391629464286
Commercial Softwood,C+D (low),3,198.96464274999997,36.15741666666666
Hardwood,C+D (low),2,174.442344975,32.40499330357143
Mixedwood,C+D (low),1,183.36269639999998,34.63747767857143
