"BA_pred","TPA","QMD_in","BA_t2","QMD_t2","TPA_t2","config","PLT_CN","residual","relresid","BGI","SICOND","FORTYPCD","BA_t1","interval","ClimateSI_ft"
101.573413920708,465.815876668245,6.32729358383392,96.0259623400797,6.66654605747629,396.149864,"csi_scale_0.7","243883099489998",5.54745158062839,0.0577703304964742,3962,71,123,88.8728777289318,5,49.54
106.026250892195,1890.9811785539,3.20847163361037,87.3289750602623,3.41030495600614,1376.716576,"csi_scale_0.7","375823188489998",18.6972758319325,0.214101629144625,4343,56,103,81.730599751017,5,49.02
170.261759848998,2473.35892807486,3.55508583791818,221.211251510677,3.80859778566204,2796.08006,"csi_scale_0.7","52903496010538",-50.9494916616788,-0.230320525351848,4242,54,901,183.847821847765,5,46.75
98.5745947325917,581.883158434081,5.57698801275713,9.92902706191222,2.39295185623203,317.915266,"csi_scale_0.7","70612650010538",88.6455676706795,8.92792084440218,4283,49,121,1.97076393710147,5,46.66
127.051814045247,941.563599484918,4.97737898171304,96.4584992441607,5.52461895725906,579.439974,"csi_scale_0.7","171138023020004",30.5933148010867,0.317165569035522,4143,44,123,119.400213641617,5,46.5
119.296032415207,921.783508917853,4.87453998935053,144.667863980516,3.98794290906315,1667.810928,"csi_scale_0.7","52755862010538",-25.371831565309,-0.175379872676672,4348,45,127,126.653651883719,5,45.21
111.662002198749,500.022263281074,6.40314209130676,88.4113320663457,10.5939251460448,144.433104,"csi_scale_0.7","171137545020004",23.2506701324034,0.262982918467461,4088,55,123,111.091588436115,5,45.79
105.432905046319,763.78276287802,5.03429040843784,113.768352122457,5.17042634228108,780.263636,"csi_scale_0.7","243882585489998",-8.33544707613792,-0.0732668349381196,4691,60,801,112.286274775807,5,52.69
91.9364678993626,576.117631076662,5.41281805173537,108.955852776309,6.25556877599444,510.492738,"csi_scale_0.7","451063722489998",-17.0193848769464,-0.156204411633471,3981,46,122,98.0473784410432,5,46.63
101.480723515908,842.088783044982,4.70379017757684,108.501153866936,4.71560540325433,894.60651,"csi_scale_0.7","509642027126144",-7.02043035102803,-0.0647037390923765,4344,43,124,104.461868273315,5,45.91
140.655241352864,317.540520921478,9.01806763838909,55.0099637516554,15.4732026419872,42.126322,"csi_scale_0.7","304030648489998",85.6452776012082,1.5569048179682,4579,73,105,52.7421985598217,5,51.65
