"BA_pred","TPA","QMD_in","BA_t2","QMD_t2","TPA_t2","config","PLT_CN","residual","relresid","BGI","SICOND","FORTYPCD","BA_t1","interval","ClimateSI_ft"
67.9084958872457,701.008428009364,4.21731014498637,62.1583388874319,4.37935972667883,594.224796,"csi_scale_0.7","247056869010661",5.75015699981382,0.0925082153534909,3750,62,126,59.7589442603397,5,43.89
124.565696836271,575.381786166927,6.30458175055571,55.5134638291509,6.71958857443792,225.416432,"csi_scale_0.7","222518237010661",69.05223300712,1.2438826231351,4629,63,801,126.540985692184,5,47.12
44.6316784083074,286.819744551464,5.34505516563509,43.269371708525,5.390304410231,273.040214,"csi_scale_0.7","451063560489998",1.36230669978235,0.0314843189533521,4603,71,801,38.5294153790323,5,52.79
159.661256057548,1680.03353405537,4.17710988507716,145.286136796286,4.01762983419746,1650.277376,"csi_scale_0.7","52950850010538",14.3751192612621,0.0989435026510359,4291,40,901,158.179741578621,5,45.47
115.983251724926,868.144763182805,4.95263896310098,146.752628998378,5.22820994156611,984.356614,"csi_scale_0.7","53077724010538",-30.7693772734516,-0.209668320652652,3321,54,801,132.994375630082,5,46.3
122.259548631841,840.97874790199,5.16635194606843,48.5742895929976,4.01634730861458,552.098474,"csi_scale_0.7","52836247010538",73.6852590388436,1.51696009671474,4495,65,801,125.834962919106,5,48.95
43.6478342236992,418.796784197386,4.37436265395812,4.00420783486968,2.80936260485272,93.01942,"csi_scale_0.7","168929129010661",39.6436263888295,9.90049168866874,3750,38,121,36.8212254519034,5,46.07
166.238347260042,808.948428495808,6.14243109122451,200.229298293569,5.30279487455655,1305.541196,"csi_scale_0.7","243883027489998",-33.9909510335267,-0.169760126630871,4451,71,102,173.109143353401,5,47.76
128.993212204045,478.733371344534,7.03350308748911,149.002996399271,7.16725784013741,531.816192,"csi_scale_0.7","52803541010538",-20.0097841952259,-0.134291153055791,4463,47,127,135.06138437772,5,45.38
120.323633068786,787.518695149111,5.29639219288654,118.91379882997,4.86431695123692,921.427424,"csi_scale_0.7","70598408010538",1.40983423881607,0.0118559347417026,3441,65,801,129.2395927588,5,47.61
135.581868383384,1299.88514196169,4.37606155216207,162.611064901563,4.40112077256647,1539.203818,"csi_scale_0.7","171137831020004",-27.0291965181792,-0.166219909663228,4227,52,801,146.107963839441,5,46.28
97.4030660345279,514.591214418101,5.8950872180011,94.9179779917647,6.25857133710823,444.294232,"csi_scale_0.7","375823482489998",2.48508804276321,0.0261814262728903,4550,53,801,86.0800763816316,5,45.47
60.2663191349023,251.18121864107,6.63710757173877,14.4441568651848,3.97052136133706,167.984702,"csi_scale_0.7","52716901010538",45.8221622697175,3.17236670145587,4891,59,801,9.50548520878656,5,50.21
174.980398176054,1413.21896338011,4.76787736844373,2.66689711733237,6.37377439199098,12.036092,"csi_scale_0.7","304030160489998",172.313501058721,64.6119791944138,4183,45,124,1.65462502996584,5,46.1
162.531859132702,3137.41183475408,3.08402997840952,164.726085024858,2.95780792284835,3452.192874,"csi_scale_0.7","53075344010538",-2.194225892156,-0.0133204518994358,2488,45,121,150.384477560889,5,46.54
115.619858441929,795.806305465623,5.1647301284478,75.5342819059532,6.65794906961936,312.417806,"csi_scale_0.7","70626298010538",40.0855765359759,0.530693819077886,3059,62,708,66.2585532620153,5,49.31
103.080648943195,1509.90996218618,3.54036591868364,9.69586063377767,4.52029139383543,87.001374,"csi_scale_0.7","70605582010538",93.3847883094171,9.63140785915286,3552,50,801,10.5064883202924,5,43.38
