"config","n","BA","BA_obs","BA_bias_pct","BA_r2","QMD","QMD_obs","TPH","TPH_obs"
"canonical_off",262,17.2927772816687,17.2994389312977,-0.0385078941316752,0.877883698428744,12.947817818898,11.8881335877863,1674.7501892553,1806.58396946565
"insource_on",262,16.1731436197233,17.2994389312977,-6.51058867311998,0.868998170205383,12.9338949570285,11.8881335877863,1547.73957305484,1806.58396946565
"insource_on_cp0",262,16.2482571406177,17.2994389312977,-6.07639238968722,0.869653561909074,12.2513817754424,11.8881335877863,1634.89300110532,1806.58396946565
"ingrowth_only",262,17.3663515273874,17.2994389312977,0.386790556361016,0.877975495589403,12.2983471133704,11.8881335877863,1763.62134511417,1806.58396946565
