"BA_pred","TPA","QMD_in","BA_t2","QMD_t2","TPA_t2","config","PLT_CN","BA_t1","interval","BA_corrected","BA_t1_safe","BA_treerecon","TPA_treerecon","q"
75.8331428741034,873.120817141838,3.99325883276288,40.6472091841554,4.60604489405125,351.274812,"csi_scale_0.7","52922083010538",30.6032665924746,5,50.8331428741034,30.6032665924746,53.0832000118724,611.184571999286,"Q1"
60.0118047765127,291.787021189092,6.14497985312803,52.8143159179432,8.2822909522951,141.163788,"csi_scale_0.7","145024443010661",57.0863762358915,5,36.528547445292,57.0863762358915,42.0082633435589,204.250914832365,"Q2"
79.8845127404299,1044.13984720622,3.74789197639055,85.3093081843438,3.60544930108639,1203.234414,"csi_scale_0.7","145023875010661",78.6309213098772,5,61.4854879675839,78.6309213098772,61.4854879675839,803.653246537,"Q2"
102.013356697836,217.782606010269,9.27367834646711,96.552835586138,9.74114982946059,186.559426,"csi_scale_0.7","53005964010538",98.6069207750938,5,88.328408110788,98.6069207750938,88.328408110788,188.567375153474,"Q3"
107.064761830585,773.74835985982,5.04032466221588,121.528983706668,4.72890912810985,996.392706,"csi_scale_0.7","15666547020004",104.503589787126,5,94.7713504736793,104.503589787126,94.7713504736793,684.904871938564,"Q3"
78.2139529038218,1285.91658819986,3.34172588749981,119.229105984307,2.6745315048238,3056.04301,"csi_scale_0.7","509641977126144",71.191927664692,5,58.0594223376295,71.191927664692,58.0594223376295,954.555696437777,"Q2"
164.955160099349,2401.44137987164,3.5512566710029,172.885820425931,3.59192646762856,2456.84134,"csi_scale_0.7","70448777010538",178.70672433756,5,164.955160099349,178.70672433756,164.955160099349,2401.44137987164,"Q4"
216.534659824845,5733.23693078341,2.63329109680698,240.58178641712,2.85771504985444,5401.290206,"csi_scale_0.7","15666242020004",218.654804395575,5,216.534659824845,218.654804395575,216.534659824845,5733.23693078341,"Q4"
92.0603423916015,713.312707705552,4.86778532405578,106.152703104511,4.77046424941318,855.228918,"csi_scale_0.7","70447089010538",85.0960779458328,5,75.1870105378048,85.0960779458328,75.1870105378048,582.57278517248,"Q2"
97.4030660345279,514.591214418101,5.8950872180011,94.9179779917647,6.25857133710823,444.294232,"csi_scale_0.7","375823482489998",86.0800763816316,5,80.7619450196,86.0800763816316,80.7619450196,426.674324108768,"Q2"
87.4809048908106,479.050275529664,5.79030167171223,103.350645838983,5.71858625995443,579.439974,"csi_scale_0.7","52755250010538",96.7157045289607,5,73.3496538554864,96.7157045289607,73.3496538554864,401.666762973406,"Q3"
105.51557059225,676.911017476843,5.34967734422188,126.736996751624,4.10346456897149,1379.985892,"csi_scale_0.7","52960473010538",114.589809368086,5,95.602375935597,114.589809368086,95.602375935597,613.315183764182,"Q3"
115.619858441929,795.806305465623,5.1647301284478,75.5342819059532,6.65794906961936,312.417806,"csi_scale_0.7","70626298010538",66.2585532620153,5,94.3011156505723,66.2585532620153,94.3011156505723,649.070353989929,"Q2"
