species_idx,SPCD
1,11
2,17
3,19
4,22
5,41
6,42
7,81
8,98
9,108
10,119
11,122
12,130
13,202
14,212
15,231
16,242
17,263
18,264
19,312
20,351
21,361
22,375
23,431
24,492
25,542
26,631
27,661
28,747
29,763
30,768
31,815
32,818
33,901
34,927
35,981
