species_idx,SPCD
1,11
2,15
3,17
4,19
5,22
6,42
7,64
8,72
9,73
10,81
11,93
12,101
13,108
14,119
15,122
16,202
17,231
18,242
19,263
20,264
21,312
22,351
23,352
24,374
25,375
26,431
27,492
28,603
29,746
30,747
31,763
32,768
33,815
34,901
