SPCD,n,B0,B1,B2,B3,B4,B5,B6,B7,B8
11,16295,236,0.0121303507537186,1.74338508895328,0.63082532201113,-0.00130544933465898,0.000168422197974089,0.291507392133686,0.0179180807271388,0.804628595525473
12,78494,100,0.0302241465643827,2.3634447516678,0.186085547223969,4.90534390593915e-06,0.000133658155336303,-0.166821669709856,-0.0313240190889997,0.352232209396602
15,25338,215,0.0115199029902672,1.76741899571127,0.635437096367217,-0.00206152604091268,0.000168161561506183,0.304392536177841,0.013220114468857,0.727925906706039
17,22328,217,0.0162196941748555,1.8360116435285,0.790720314867976,-0.00313186043683001,0.000160969867202033,0.277054719714929,0.00866468345664625,1.2578758161147
19,35091,146,0.00863011122627437,1.50270583018676,0.619411630889816,-0.000760496606435072,7.76282041478345e-05,0.188932216420677,0.006799643830067,0.24049398205062
61,6229,55,0.00834403170294305,0.899172066311609,0.139281727481342,0.00050263792720683,0.000483350446217622,-0.159323811993728,-0.0658135524556444,0.0482109419482208
65,23968,40,0.00305910498435802,1.07428585914016,-0.100350010542305,0.000939892904176809,-3.61047673711737e-05,0.00695565197351725,-0.00653239371161863,0.0153746511736089
66,5605,55,0.0026591304322699,1.25944611733605,-0.0219750422096845,0.00105185037316756,2.08082621585292e-05,0.3303438285231,0.0125938742745923,-0.122192362296707
68,37785,98,0.0157558100293721,1.3366445375761,0.0183820837391391,0.000339400698538126,0.000164463968379317,0.0240946386896469,-0.000623382165841024,0.247867732152872
71,18655,125,0.016824687491468,1.96102845156832,0.223765918409107,-0.000258309729190033,0.000438734328593434,-0.502049336513849,-0.0896029078939347,0.0953909694345011
73,8161,186,0.0105559908665848,1.06563125898103,0.323883690063459,-0.00167376022490332,9.92786554830157e-05,0.240879348148092,0.0166133176983788,0.861161194301875
81,7499,212,0.00851546091111024,1.62364180711107,0.500150521605468,-7.22826325164652e-05,9.77845194028669e-05,0.190850752150377,0.0192690933432045,0.284966048064368
93,27524,186,0.0110844697673398,1.5225028133742,0.545917377976957,-0.000366314142922618,6.8631577080708e-05,0.282473089309246,0.0296935202359349,0.268279532916506
94,14359,110,0.0201218725769639,1.44580411474559,0.0779774969886106,-0.000434843442897908,4.2770556762122e-06,-0.0087901072147619,-0.0102654165060913,0.574644236586269
95,32861,102,0.0280774108450466,2.67407145312496,0.107121334942252,-0.000612885689414371,0.000149201977756024,-0.653500522800117,-0.092233507176864,0.183676387634797
