SPCD,n,B0,B1,B2,B3,B4,B5,B6
11,20485,-0.457410503244113,-0.635189871383766,-0.450123496589199,1.57527874435246,0.347421144074208,-4.5125215492209e-05,0.041344003578855
12,209192,-2.10076209585536,-0.287402140725186,-0.102630865794441,2.43167809723226,0.560802398587792,-8.00736031238643e-06,0.0157558497437718
15,30264,-1.2068015798442,-0.383558898408551,-0.116612124218885,1.82189802931378,0.519411978282923,-1.77064386389075e-06,0.0266392992068575
17,25756,-1.55965138447233,-0.416513628711164,-0.0514071302006497,1.96156230494963,0.704756500354583,-2.17380044499402e-05,0.0200216984775541
19,44103,-1.38109318311359,-0.475100796419905,-0.254879552189152,1.59585060852669,0.386298001514236,3.00473445426071e-05,0.034431421807078
20,5762,-0.80391870207791,-0.55730557026484,-0.215410856958325,1.54895568753194,0.414307088075331,-7.10616586835502e-06,0.0182502184708969
68,68142,-1.40152407661964,-0.465074440715688,-0.142499572291199,1.63942691905139,0.625414322335239,0.000145231473683247,0.0214524386466878
71,43113,-4.14475548133633,-0.240293649891965,-0.0491198366437521,4.10176552298938,0.466556480075599,-0.000109434937312042,0.00706194219776095
73,10149,-0.799868660242052,-0.607692362043763,-0.115690388760943,1.2021145178678,0.638375715803458,-3.69248727995929e-05,0.0140008002158512
81,9191,-2.18526486671374,-0.532383563082383,-0.0284615410949139,1.94467738511726,0.750917488587597,6.63617317075086e-05,0.0232637593493111
93,36598,-0.3969308989288,-0.509300709103433,-0.0732347749678655,1.40310089417833,0.65710507038496,-2.48002481575279e-05,0.0393821877814858
94,27400,-1.81073038369261,-0.630296463955863,-0.132147841534277,1.32338620265336,0.628132372719352,-1.25747281455684e-05,-0.0116125032262125
95,80615,-2.51408724546041,-0.460037688659618,-0.000131368855958363,2.25639919604329,1.66081667241765,1.48252728679901e-05,0.0423850689740865
97,73579,-2.63751026832494,-0.329774836582706,-0.0344810276970022,2.29064842593904,0.810522918018787,4.27307963790516e-05,0.00259860145576724
105,24434,-2.49487566957611,-0.51237334663759,-0.0563794063155157,1.41703410440403,0.787097381267921,4.0865496603212e-05,-0.0160629086794344
108,83410,-1.11357377789595,-0.627454539110348,-0.246959049584759,1.38315632155847,0.472225002811851,-3.97600484057528e-05,0.0179412961582442
110,61065,-0.00455838127293868,-0.521887914731729,-0.0414129193520564,0.885929187586113,0.930861682499308,-0.000131022393804419,0.00847094881930419
111,82842,-0.423725774943902,-0.563914593500913,-0.102125450929676,1.04144645386947,0.718421083872672,0.000409013963354388,-0.0130614140559125
121,28719,-0.483608042397408,-0.75849451625203,-0.14059377276986,1.03549798510563,0.665862239335933,-8.73732003520563e-05,-0.0221750224480569
122,89991,0.579655648769561,-0.674057654385636,-0.137940818510635,1.02187356358833,0.645267323585409,-9.64347568781838e-06,0.0331204794912114
125,60367,-2.23495874742138,-0.599797367398686,-0.0224101400082255,1.11921112809112,0.969315169543372,-9.02832285332978e-05,-0.0419326740844779
129,84233,-1.23669686995714,-0.417196234191408,-0.0630620188759698,1.86831973728437,0.802471927143967,8.44563380366902e-06,0.0112928088480256
131,533000,-0.379688915577041,-0.36326708886998,-0.0634619683726688,1.01828176609902,0.803779369882715,-0.000167240728932532,-0.0141502132692171
132,33898,-0.00622379453532417,-0.470229223070672,-0.117291018332376,1.09007975677539,0.681526842073361,-4.06085093017056e-05,0.0328971776811429
202,175139,-0.759129054990325,-0.480800654880926,-0.0944157344873638,1.61769337489465,0.649362754434829,-3.39424684489495e-05,0.0341683867494207
241,143570,-3.82781687800361,-0.21616116646637,-0.0163641787894084,4.05922316051115,0.734485271259982,-3.30589711473581e-05,0.00788907542376579
242,15860,-1.4727960207316,-0.358972104269092,-0.168528450618423,2.1150809548423,0.512294060543963,-8.78694608892338e-05,0.0179377690017813
261,84999,-2.77011758507787,-0.354224345275486,-0.0484865585351226,2.02515992507541,0.744079913354763,-7.58934378705682e-05,-0.0177585992736211
263,38264,-0.383739010864102,-0.535527419432584,-0.396632456021489,1.42531369540772,0.403097662369448,-5.15328184609448e-05,0.0255501378556721
264,13364,-1.95716346978311,-0.513623950010337,-0.174702107937037,1.62189322437263,0.459011539127511,3.44328375468516e-06,0.0157974385585036
313,17288,-1.82736318181818,-0.242429442250963,-0.235661584111599,2.00942171044688,0.426301334661719,-0.000138874017922434,-0.00643327591121186
315,12438,-2.83318805416581,-0.214244882039365,-0.253716786477905,2.79576070635693,0.410986644247646,4.56921883069631e-05,-0.00620768827749635
316,449240,-2.69139397092784,-0.18404202515662,-0.055184755858041,3.5109053908084,0.725080248013894,-2.26987148796755e-05,0.00893237138210237
317,11295,-2.54615520543167,-0.119135611297167,-0.0837482024844241,5.54927164428074,0.560707022786227,-0.000134460656187057,0.00736677759781652
318,246571,-2.57280686555772,-0.174345306535952,-0.033100755170385,3.63729064378366,0.840402236302256,4.92940289443506e-05,0.0183051030799019
351,7079,-0.0320765296962369,-0.54171851400789,-0.11734384830234,0.9994115576268,0.618905068027791,-1.21561055489475e-05,0.0211106088006695
371,62432,-3.42165115464541,-0.345020845400774,-0.036434749528861,2.26530994365366,0.788508383898588,4.95723481382035e-05,-0.0172876644745924
372,37253,-2.6601978509447,-0.382607186936104,-0.176307144772454,1.58991048158052,0.540226337647198,1.06771391194814e-05,-0.0320200616504397
