SPCD,n,b0,b1,b2,b3,b4
11,19510,2.23188711403401,-0.509406519767337,-0.35469866149589,0.0468482614882192,-0.246790626695542
12,177353,2.34314270903552,-0.727222050603048,-0.361109054410721,0.129937586415512,0.755870364854908
15,33459,1.79867156908176,-0.282401307877717,-0.453378682891077,0.0125489763833788,2.1895055300556
17,27941,2.04123217692309,-0.331753144184358,-0.396360967481596,-0.117988765416507,0.0102767872616046
19,51276,2.87410997622401,-1.38470633625911,-0.178331061151246,0.08101566651775,1.34334280298701
20,6373,1.81614640589699,-0.1209680602242,-0.731619298779094,-0.206337056596431,0.0985043025519078
68,39620,2.13608430843285,-0.243349200314774,-0.614032711706738,-0.21659017319129,1.02544235800531
71,38348,1.64037839736995,-0.0966975379909456,-0.837302619599659,0.081923590856001,0.983270275235828
73,10737,2.07226443511886,-0.115497737125709,-0.69700136042312,-0.469918770410053,0.287890919291978
81,9936,-4.4324079033031,6.18136100717367,0.0218182228969021,-0.170234405722029,0.180116995618809
93,42301,1.78533735676262,-0.339768113030254,-0.48611877037998,0.0985801986309318,1.08225387776058
94,22219,3.25242942318246,-1.08282591892952,-0.304607509853219,-0.437092237262512,0.124906268895762
95,67968,2.25518500941636,-0.202700075671305,-0.627866240683492,-0.382130157711362,0.0522024269951942
97,60176,3.32992707629784,-0.904661706595267,-0.320684807337997,-0.407880491860879,0.142419032107441
101,6686,1.9990634075493,-0.667382313585466,-0.257253782063804,0.151866285808702,1.39538882511036
105,21439,1.86273194831735,-0.0917019223274882,-1.00799837348705,-0.394215583510474,0.265600705139872
108,100055,2.26024930127238,-0.779019506456991,-0.182674977378401,0.0438609756632329,1.23078107797706
110,45291,1.87138024390669,-0.0256077081881723,-1.32445650011084,-0.483379241783694,0.324107206522241
111,46964,1.64144420425635,-0.00277290638008484,-1.83613914102679,-0.358603003940922,0.451368629449746
116,5632,-11.0154732510934,12.770885157495,0.0188023349643677,0.0844928073190545,0.372573395173241
121,19616,1.82036238547828,-0.00559044848185505,-1.64568159435665,-0.39332804454314,0.37591875539213
122,88186,2.02846199314112,-0.245150199761201,-0.487718458454551,-0.132429949163376,0.189207133414308
125,47656,2.34863718142969,-0.148228840006161,-0.813407716315881,-0.383843497114073,0.525833890091122
129,68023,2.24526314718484,-0.169979142310964,-0.722242470833629,-0.468550914940305,0.417912871665658
131,303729,1.82334415228071,-0.0219286545431973,-1.30408163188911,-0.51999940610969,0.561846693255435
132,23202,1.62750798302049,-0.0471074817999185,-1.08699807667773,-0.314358354396152,0.667626707338882
202,181005,1.78738456256916,-0.033329648371438,-1.077044433326,-0.235550634407066,0.305787807876288
211,5438,-3.98295613983517,13.718529322174,0.0174630646729581,-7.66562898779527,0.0101200794167778
241,112551,2.61095525902945,-0.51980075794271,-0.368771082100495,-0.0655192428590368,1.10264799554666
242,15524,-6.90080512919407,8.83262520361687,0.0201276472281085,-0.0721204699366957,0.11556538451991
261,70134,2.50509187010638,-0.327872288804587,-0.624863114389628,-0.336748843623084,0.184787703837197
263,37636,2.23188570855458,-0.206556095278752,-0.58181942545382,-0.268582874916083,0.122811482812964
264,11341,1.80661504121677,-0.125625125953448,-0.729376073639114,0.00474646447692587,3.14447364339806
313,11659,2.2106453133218,-0.485924911184557,-0.442732737241855,-0.0792053645320969,1.52241457545918
315,10105,1.79879096865448,-0.194016124062071,-0.803086329385414,0.00347323877697893,4.63386220331408
316,334506,2.67949768425836,-0.465477161510277,-0.477951450533462,-0.420630066038341,0.368026328073512
317,8783,2.44418717998223,-0.196749032806284,-0.745122016462133,-0.59703553610154,0.154191185514746
318,195490,3.08608603043495,-0.720576240794971,-0.41775556131776,-0.352163658534508,0.268730703701162
351,7500,-4.82007097388692,6.79431034976324,0.0437716552328143,-0.26703770625698,0.499834522922512
356,6660,3.21090218933258,-0.302219857555756,-0.52683020155901,-1.19952307075085,0.0489186294922732
371,50501,2.82349622406891,-0.690365529147467,-0.443722325551458,-0.189355362129975,0.382954579580778
372,28814,2.55240643739291,-0.305909966299562,-0.541217888496863,-0.496035542124368,0.383651517604858
375,71018,2.24248963575729,-0.368417166862098,-0.595690033420148,-0.175592997734224,0.21163143167486
391,14498,2.33344374580911,-0.326103753681115,-0.525285936726048,-0.445838780186561,0.000794009392525106
402,12443,6.48480175669348,-0.30308744472323,-0.559570652324307,-4.41575199673036,0.0108984173823994
403,30552,2.41837472070356,-0.327362235347053,-0.588390262853759,-0.315816229907913,0.524277892088721
407,21081,2.54501481896029,-0.269127095481545,-0.667622219680698,-0.443305040743739,0.279595294093876
408,13274,2.28896331616221,-0.236077071875805,-0.656091157158869,-0.326718962876086,0.0662782321970883
409,30590,2.32120102323517,-0.292773526647413,-0.580185623385952,-0.292336164901109,0.290150108712373
462,10332,2.35072794653125,-0.330019751756767,-0.554595223876346,-0.110428278773863,1.73737914361511
491,16353,-1.87155944565961,-0.188709675907432,-0.685518296864816,3.39397728288942,-0.00940948703979575
531,82510,4.50549614918561,-2.55002106588774,-0.163523711630322,0.0131329415450269,2.20909331751205
541,46523,2.14103461889391,-0.195596966472896,-0.628171806888224,-0.505202701415805,0.113284862283508
543,49953,2.26791816647462,-0.217738581629653,-0.603843900248723,-0.319375976064494,0.12515375133709
544,35498,2.16103541219638,-0.354712013198128,-0.452877724927637,-0.272519479878548,0.128220024506051
591,11081,2.5092084389943,-0.794439104698293,-0.328013162576516,0.112802541218919,0.503572912489664
602,11946,3.5181433810941,-1.21053384496419,-0.259381707846255,-0.424622029373236,0.549046469511738
611,103574,2.03031670095294,-0.104085336578031,-0.776745518733051,-0.425447298654884,0.296459104804815
621,69506,2.53250014566773,-0.230744458064557,-0.629611255741189,-0.757493361192695,0.291944129832805
631,12167,1.01903586592868,-0.0622707733185043,-0.886774407501078,0.689378419839882,-0.0312240446219131
653,9328,1.79834509766424,-0.097341654719372,-0.826367123057161,-0.150045162040812,0.888967604814884
693,43842,2.25877027279938,-0.27504012727454,-0.560847322256576,-0.208882563288374,0.591557244318479
694,12413,-9.45003957220053,11.432749095282,0.0231051610091299,-0.190277041562887,0.659080430865466
701,29184,1.22262643195748,1.23673296485299,0.534791966619228,-0.423350007630448,0.00086834821500058
711,27266,2.17373890249431,-0.28850197280974,-0.549406397317649,-0.14477135931036,1.1890050273515
731,5528,2.07256410752977,-0.111184467965346,-0.78921322400738,-0.469427185885911,0.356305098698216
741,12850,2.24132726304013,-0.345377157571956,-0.626691644558935,-0.302684141414955,0.366391493925485
743,29618,2.42374257249676,-0.222327710971461,-0.637271526966636,-0.657017097398094,0.209836876905934
746,173958,2.06249281047358,-0.174532904715274,-0.680134926861844,-0.35176873403999,0.15491803536611
762,58177,2.47937777647612,-0.27869974817639,-0.571131340578649,-0.64672232752177,0.32005347735828
802,115152,2.54625499670718,-0.384571114903444,-0.565950505369252,-0.41111280101076,0.384305847164376
805,5799,1.24944298520658,-0.0539395034543552,-0.923440575778562,0.405739117585799,0.0368132932079586
806,23747,2.11053482209144,-0.147373528366321,-0.800968519663331,-0.587387862361792,0.298205456517455
809,9718,2.29435137683574,-0.316095299651845,-0.620751412794944,-0.376543877061579,0.125534304727068
812,22065,2.02021469520596,-0.150010240008242,-0.75511673290218,-0.469992069202621,0.338940243638921
813,5056,2.2102785881602,-0.149764966350043,-0.746846078165001,-0.587141883220332,0.205038313673354
820,11343,1.81711541830783,-0.180043327050868,-0.672210582053491,-0.13922704989767,1.16867096025207
823,21241,2.98630131424297,-0.836250750265444,-0.36849890647649,-0.220749088021167,0.409102007831227
824,5877,1.56940836426217,-0.0621200510429618,-1.12638815744386,-0.245862299815451,0.214568748576007
826,5773,2.34227030244671,-0.253240265307414,-0.666480828537482,-0.339553919404962,0.461038125346059
827,39983,1.94238269580396,-0.190577539480428,-0.671538991034816,-0.301420691886223,0.44852683369178
831,6247,2.01199639687247,-0.177056307084779,-0.747065862031465,-0.387803787425578,0.412418464378797
832,56124,2.31586723727157,-0.28051960877649,-0.624478133381782,-0.382840064658486,0.630826185179691
833,76822,2.36075875181956,-0.217423689729158,-0.685273297423805,-0.510455857750923,0.281929619814213
835,46732,2.3320230398572,-0.281962185226856,-0.649860849130145,-0.406133949711306,0.385705361391397
837,47163,2.25244706352851,-0.186946334777152,-0.748825761390212,-0.619410934479168,0.193382765745654
901,8563,2.56019372225463,-0.495220437950804,-0.370338770041268,-0.705899838657923,0.341833171014011
931,15283,1.68507130693772,-0.118709652285132,-0.737761441983322,-0.190965227701911,1.15170792699399
951,37216,3.12672117927277,-0.706663521424018,-0.367639840651466,-0.497825221019669,0.177690036925019
971,22546,-9.10419126815915,10.9141101781844,0.0274665109024198,-0.00465079517308588,2.4713735630183
972,38989,1.16102490557696,-0.0121743105767219,-1.40969361360324,0.271192418125803,0.607612080654346
975,10387,1.47047248108381,-0.0191018610994987,-1.27863600541579,-0.0989174140612297,0.000775894858446514
