SPCD,n,b0,b1,b2,b3,b4
11,19510,2.57908255206693,-0.778649593905882,-0.303574594065149,0.0353499509329301,1.76160723574997
12,177353,2.46011757772993,-0.858827464836297,-0.34209339933322,0.215819640572951,0.895886401258792
15,23747,2.2201130552645,-0.152235731410166,-0.800002158977726,-0.642293530741644,0.17562971232497
17,27941,2.12284719863101,-0.554103057665704,-0.357545056492239,0.172200510833089,1.55125801377924
19,51276,4.72034401018592,-3.26550436301479,-0.0994575614160066,0.29018157422675,1.20503185915847
20,6373,1.76975158898412,-0.112139030090144,-0.768197725951917,-0.146413714431315,0.0197347637183512
68,39620,2.07966116267948,-0.295692098597131,-0.57690153225203,-0.0286048296708294,1.77170832177364
71,29618,2.48389593397108,-0.230926904375522,-0.631896572018778,-0.682450910125748,0.160002874235824
73,10737,2.09180662219472,-0.129343551347633,-0.687583210526015,-0.420763649989201,0.210144483868319
81,9936,1.59412965584714,-0.0258141151360979,-1.16989839285439,-0.0250266778410232,0.000746003423462596
93,42301,1.89239779611748,-0.0398146078400342,-1.31319949908329,-0.429812325411678,0.000796886264773481
94,22219,3.22431413665946,-1.03923013666629,-0.319357095531789,-0.422636691249587,0.0649654422891222
95,67968,2.27320264502521,-0.214526434157088,-0.614420699598051,-0.355688405428199,0.0106285256103665
97,60176,2.33654586822257,-0.863077299495146,-0.333484439342456,0.548719911179749,-0.0611826502974956
101,6686,1.74529778654605,-0.304199667666834,-0.39597346552577,-0.0832777836452354,0.000570357961605833
105,22546,1.73604063230628,-0.158320547033053,-0.786463019656222,0.23138171088575,1.42067242006438
108,100055,2.86587483588662,-1.39393388044056,-0.120121539588881,0.170126578776628,1.36142558680764
110,45291,1.9672365293239,-0.0328771352076286,-1.2568929674143,-0.504196382543645,0.172871219780067
111,46964,1.73634312605893,-0.00504988207005805,-1.68349523287194,-0.365094233027938,0.178351647781939
116,5632,1.87960953064252,-0.182126969329738,-0.681270167076134,0.202838415702968,0.901593616071513
121,19616,1.85574739134123,-0.00778951805495563,-1.579361110953,-0.354013980421164,0.221845401153002
122,88186,2.02147250470238,-0.318618963513343,-0.453560710204215,0.0743278297729058,1.51969123535825
125,47656,2.46599817358069,-0.155553150617981,-0.814024920562568,-0.455428309243867,0.254287737287165
129,68023,2.4520520822818,-0.1543072602711,-0.763270879124068,-0.66756514160144,0.143059953700027
