SPCD,n,B0,B1,B2,B3,B4,B5
611,172181,-2.27682081669796,-0.280008342096233,-0.0684760962765792,2.31712792958157,0.725134348654374,-0.000193061342709142
835,69973,-2.65487652081314,-0.220966165933005,-0.0406358391224917,2.59835627225763,0.861327259138537,-0.000134523008752776
531,101182,-2.45500885941363,-0.222837151549676,-0.0704501379443059,2.49707624842084,0.668075548399447,-2.3557943387176e-05
521,7689,-2.33958362735679,-0.372025634541703,-0.289096634731238,1.87154247332333,0.404628433894797,-0.000216444090430252
491,20085,-1.32200341038711,-0.7709713814132,-0.465791002269451,0.858279299742832,0.384339430290956,-0.000170520722671579
812,32720,-1.8404345568674,-0.156148070847523,-0.0461269879221902,2.39396273280779,0.813170358400736,-0.000136767580477844
591,18727,-2.70333476146246,-0.362942877690641,-0.23571176650237,1.86228641374482,0.378300152316815,-3.78299870291027e-05
827,66200,-2.07900971333189,-0.0728511276635072,-0.0566479225277005,4.99615828399851,0.737750303805423,2.37180468318485e-05
131,533163,-0.421750001649995,-0.312452180306057,-0.0500473229544437,1.13823271407006,0.837467815154567,-5.57752627643058e-05
802,161628,-2.24375723816317,-0.146007891084611,-0.0260500841635039,2.81995421180031,0.931315910436144,-0.000132446720017051
693,65435,-2.59470563971715,-0.209175662751326,-0.132311137620512,2.56415535914565,0.57818194916161,-8.79046087196584e-05
121,28730,-0.85735683349577,-0.615570095165265,-0.084142641724734,1.21262310458163,0.741361309014829,8.1988402309309e-05
653,18331,-2.7181832493826,-0.0986307442653754,-0.0430782864540299,4.31167874578606,0.728256189722047,0.000200404847437264
316,449259,-3.03785285679269,-0.177598432016042,-0.0590763507287285,3.81439936774254,0.700365851376491,-6.63030791434114e-05
221,13770,-2.36175871937628,-0.299603519444508,-0.0632958154506603,2.45602077426664,0.662053612968047,0.000602768685150022
972,48713,-2.66905494436674,-0.119822721140888,-0.11457865167558,4.82367329925,0.547259301719266,8.17558400820387e-05
951,46665,-2.97938762622777,-0.200579498591117,-0.0306586825286038,3.22126065731031,0.783004225922495,-2.6088480523376e-05
111,82843,-0.745002877194245,-0.457668578418332,-0.0524385237371298,1.16950795609803,0.838916866823979,0.000567192990488977
721,4623,-2.21118073845566,-0.209668519514969,-0.446253699372286,2.48960693894601,0.325780359509998,0.000435665922540623
824,8149,-2.03421244953129,-0.221740728189817,-0.201073729367058,1.61762044447259,0.547083344689142,0.000118250433361215
621,104556,-1.5583321297359,-0.23113064998905,-0.0324788807144257,2.03337449638916,0.857049342599907,-0.000137497013122314
694,46968,-3.39842350920755,-0.0833397804447911,-0.0268270465791652,5.65871396383551,0.762786260116184,0.000121571671034926
110,61065,-0.484788064949825,-0.460320805771178,-0.0266668932030373,0.964220341930629,1.01314676314225,-0.000144958130269337
820,25201,-2.27043720586981,-0.0274897728024257,-0.0842356229933327,12.1528612519625,0.605656221856292,2.97062433481053e-06
409,45122,-2.60929132782813,-0.174189241788509,-0.0727752975462953,2.78550902327737,0.716206602277829,-4.93985480492112e-05
711,39842,-2.97928218804764,-0.154412640868985,-0.0365977389839338,3.18999151310566,0.720334354879066,-4.62935406091627e-05
822,5287,-1.70287513545482,-0.220800270687653,-0.0334083917865298,2.01040390899002,0.889298585637078,3.54427029244293e-05
691,13187,-2.27735101472222,-0.104098512176132,-0.00552669768660441,3.05910016401266,1.09767355833112,0.000509493761790427
391,22576,-2.43065406353864,-0.191923594519179,-0.438229861689322,2.4469911240898,0.318150531437247,-0.000240325039329182
701,37795,-2.28062821473532,-0.432140999385932,-0.433242045407574,1.42066259340165,0.360882621213893,-2.43887207598409e-05
762,74241,-2.80027869791507,-0.213007035544658,-0.0576511187649767,3.32268682262409,0.701142498886357,4.75932302833255e-06
837,61402,-2.27678992915629,-0.155071774519838,-0.0339677223047606,3.03435151859512,0.827939667995968,-8.61491016111929e-05
731,9225,-2.28175785652864,-0.318861564791997,-0.0346240853321406,2.45342542943623,0.783454319901426,-3.03827975980032e-05
68,68146,-2.04588180210871,-0.431965625541434,-0.148021951447592,1.77632365937521,0.600630461770848,2.83953331855862e-05
403,43307,-3.14312827693993,-0.0493274661992546,-0.0264292641503732,9.52094886388295,0.891677849427027,-8.69672265688443e-05
994,5500,-1.87417570278417,-0.229617164176688,-0.255325352241256,2.03469515607879,0.369434823980865,0.00160631693696963
544,55289,-2.38345379306461,-0.135217490555867,-0.0761430455778146,3.71005040623512,0.650500870786888,-0.000221894438105016
971,37566,-2.26323231356761,-0.243476692914678,-0.283279036933178,2.32500736971545,0.438450649725522,-0.000104518556023614
461,12693,-2.00312194295636,-0.26924166667481,-0.13221798566165,2.30984301483968,0.588089644828281,-0.000213146184721574
831,13325,-1.31534174764819,-0.163499885288333,-0.0748741822598093,1.95761628733712,0.739592290507252,-9.95541282714432e-05
552,5958,-2.27220259882634,-0.265361077754188,-0.311104109461302,2.6767432431946,0.276883566338115,-2.17772883521917e-05
602,17471,-2.20618358363624,-0.430277008493746,-0.109334584242711,2.09411450312826,0.554587730771981,3.10176915042395e-05
825,3059,-1.57289823828038,-0.125013753087041,-0.0924315140687269,2.17820711987391,0.682133679361384,7.00251924029873e-06
975,14984,-2.0617018952697,-0.221750611230997,-0.268280369629322,2.61611112484079,0.460883259425576,-3.71630501897417e-05
742,4850,-1.71901699856318,-0.242851240812089,-0.0761813967125749,2.81443330549168,0.699049356303484,-0.000190223041066577
901,11792,-1.95538183095074,-0.424109303586059,-0.436835065957033,1.98401130760664,0.250496735686506,-0.0001841362176933
819,3237,-2.70903051650355,-0.181474793285092,-0.068403490445444,2.31102893768787,0.726710449860458,-5.35344567555132e-05
471,5786,-2.23660653292096,-0.194608622328949,-0.178156419287264,2.25628943890666,0.42293064237999,-5.71956490011178e-05
311,4524,-2.6380579991584,-0.255528658039778,-0.22689435403912,2.67486938449567,0.480710535283638,-6.66055668856481e-05
313,17288,-1.72342082247778,-0.218072461622018,-0.271023552574879,2.14924977283731,0.395793047112653,-8.26108825026023e-05
838,10931,-2.58471614897742,-0.248508523250261,-0.200427734246853,2.9496793953516,0.475617946609908,-0.000261083893281088
222,19508,-4.46911098478894,-0.113663889981255,-0.000917316219597656,7.78029549534292,1.34630107769501,-0.000580696634493777
