SPCD,n,b0,b1,b2,b3,b4,b5,b6
11,23427,2.37923694810135,-0.778649593905882,-0.303574594065149,0.0353499509329301,1.76160723574997,0.0504046143454141,-0.0738824807787502
12,260665,2.32610173408959,-0.858827464836297,-0.34209339933322,0.215819640572951,0.895886401258792,-0.0652935448928712,-0.170095067011536
15,38259,2.52935080385846,-0.152235731410166,-0.800002158977726,-0.642293530741644,0.17562971232497,-0.147298466908542,-0.105064473189193
17,32312,1.75961364489112,-0.554103057665704,-0.357545056492239,0.172200510833089,1.55125801377924,0.117058096581407,-0.15893142097945
19,54815,4.49257312328577,-3.26550436301479,-0.0994575614160066,0.29018157422675,1.20503185915847,0.140190236803701,-0.175838001683153
20,7145,1.67286522390462,-0.112139030090144,-0.768197725951917,-0.146413714431315,0.0197347637183512,0.0406229751108726,-0.122550015648886
68,76675,1.66238171427496,-0.295692098597131,-0.57690153225203,-0.0286048296708294,1.77170832177364,0.144065819876315,-0.0840970817067619
71,49193,2.74087800175547,-0.230926904375522,-0.631896572018778,-0.682450910125748,0.160002874235824,-0.273855791627271,-0.281341665080827
73,12068,1.99982967889877,-0.129343551347633,-0.687583210526015,-0.420763649989201,0.210144483868319,0.00785245755554476,-0.146781294868666
81,11241,1.3416568568459,-0.0258141151360979,-1.16989839285439,-0.0250266778410232,0.000746003423462596,0.0858390591999314,-0.103511518915881
93,45454,2.37254418442065,-0.0398146078400342,-1.31319949908329,-0.429812325411678,0.000796886264773481,-0.135902126537483,-0.254391618841044
94,32544,3.14315278362411,-1.03923013666629,-0.319357095531789,-0.422636691249587,0.0649654422891222,-0.0774084930987923,-0.167616734697361
95,93272,2.26896628439358,-0.214526434157088,-0.614420699598051,-0.355688405428199,0.0106285256103665,-0.113926260896008,-0.134871403134609
97,82599,2.16191392687343,-0.863077299495146,-0.333484439342456,0.548719911179749,-0.0611826502974956,-0.0713494462156696,-0.225296078434743
101,8587,2.24700845872827,-0.304199667666834,-0.39597346552577,-0.0832777836452354,0.000570357961605833,-0.163263399589213,-0.17910596185961
105,33362,1.39178894576035,-0.158320547033053,-0.786463019656222,0.23138171088575,1.42067242006438,0.0532885568870278,-0.12748923607698
108,110778,2.90444359886585,-1.39393388044056,-0.120121539588881,0.170126578776628,1.36142558680764,0.00570940378927788,-0.175987371966403
110,75259,1.77937498591951,-0.0328771352076286,-1.2568929674143,-0.504196382543645,0.172871219780067,-0.0269869249754097,-0.14073623810454
111,130468,1.29315316507449,-0.00504988207005805,-1.68349523287194,-0.365094233027938,0.178351647781939,-0.0381940802543616,-0.0633794990092918
116,6550,1.53637627800628,-0.182126969329738,-0.681270167076134,0.202838415702968,0.901593616071513,0.0907175719664281,-0.147574112390267
121,34229,1.55099650270648,-0.00778951805495563,-1.579361110953,-0.354013980421164,0.221845401153002,-0.029631054271322,-0.107246207519154
122,105737,1.6884249632974,-0.318618963513343,-0.453560710204215,0.0743278297729058,1.51969123535825,0.0904527077476007,-0.179405675661687
125,69237,1.87726670765402,-0.155553150617981,-0.814024920562568,-0.455428309243867,0.254287737287165,0.0394712774629179,-0.199576658080768
129,95820,2.22815180288039,-0.1543072602711,-0.763270879124068,-0.66756514160144,0.143059953700027,0.0110607923073436,-0.162593480801355
131,792467,1.5223003886602,-0.0289408512687685,-1.2522229217481,-0.536571229448982,0.368883860324743,-0.102866766986971,-0.102433031413931
132,45811,1.38773993775828,-0.0422171794730659,-1.13911710861366,-0.287867693353928,0.304025729666941,0.0394233173400883,-0.0784558939650038
202,206875,1.52640390561211,-0.0536959974562665,-0.963716365784099,-0.13837866402888,0.130231982940947,0.0616005979386313,-0.0944908808087688
211,6315,5.83149473663072,-0.0735439032845868,-0.826034545473707,-4.13704130267012,0.0149545345965746,-0.0343177348719376,-0.093045499536522
241,155417,2.48595709326104,-0.62148263854663,-0.334634819652618,-0.0264538218181873,1.1264381567494,0.0187203374659725,-0.213902756525813
242,17923,2.12461979705257,-0.807744524604873,-0.234559086188337,0.1028208907708,1.30645699463808,0.13938665156395,-0.113365096689783
261,93761,2.38882152234629,-0.345414764226064,-0.617170742892826,-0.295987746358812,0.0412584430510971,-0.0153838690689662,-0.211069937740692
263,45810,1.73917599599242,-0.359356983728333,-0.480571176702831,0.0290615700044843,1.86522561268558,0.0961769933811205,-0.0757965420700673
264,14580,1.58731272262318,-0.174420980577072,-0.648767899011197,0.0922403023517453,1.55753540788114,0.116045249867655,-0.164569509745336
313,22478,1.59997707505554,-0.492746447308889,-0.440379170947499,0.118129132768805,1.21308992305913,0.155526471247007,-0.0697463153463298
315,18004,1.6108980006316,-0.148491443880374,-0.900418689842777,-0.1728939314262,0.000622720585957617,-0.0515419786651486,-0.055568898743159
316,520534,2.53804676194805,-0.494611394794107,-0.468679781612012,-0.551264955161886,0.126675027328501,0.055096958905354,-0.119486837865135
317,13237,2.27572707529645,-0.204496704395151,-0.736766560751947,-0.627842686738646,0.0931365006262581,0.0129022512913136,-0.100666388229156
318,276743,2.85056108765479,-0.743341774193194,-0.414275245529174,-0.386639949626802,0.105409784348212,0.0505497880823935,-0.175037077475529
