SPCD,model_id,B1,B2,B3
10,1,4.23880215560263,-7.06473262308236,0
11,2,6.25413022502619,-6.21196529190546,-0.435625982196021
12,2,5.16620794288406,-3.66931521845556,-0.45205672664804
15,2,8.10324958397867,-7.13301967345957,-0.216065139094872
16,2,4.58258918008715,-3.09555431323606,-0.521853551248612
17,5,5.19167461700587,-14.7149593606336,2.95428581083066
18,3,93.7289448487478,-0.0968303981203328,1.37238439471216
19,5,4.86417179244512,-11.1689662425416,2.01282727686487
20,5,5.36445886044206,-25.7762178151567,4.81282439781002
21,2,6.26137561345226,-6.21876183123828,-0.406991045269677
22,2,6.48135843861547,-6.27386757169752,-0.391406355384999
41,5,5.29813458061652,-22.0116841646405,5.3853358306384
42,5,5.08513662250381,-16.7561216888539,3.42718396257443
43,3,87.2650086489097,-0.0887018861598106,0.938272093476085
51,6,36.9427235150212,-0.133589163110887,1.12548611720714
52,4,4.33928076600154,-5.89745238856481,0
54,4,4.44961926400457,-16.9890420597051,0
55,5,8.44989463823807,-261.365095831237,39.0108004669173
56,4,2.8703468142035,-4.95403706133967,0
57,5,3.9608303704461,-11.9366135446312,7.25730989403742
58,5,3.7471641023367,-34.3052552170508,9.9860295613087
59,5,4.53638549020956,-81.9882005121361,23.2083073627354
61,5,3.15036063460195,-6.02252927287102,1.90018799566782
62,4,1.991096948169,-2.19242892707134,0
63,2,4.38134340508989,-3.97296977153792,-0.325599699265362
64,5,3.82901838244217,-8.06181114784646,2.20800080068743
65,2,2.93358346952484,-3.67736471927477,-0.661402656156051
66,4,3.08370326195617,-6.00909089979847,0
67,3,54.0164859247439,-0.145744221625598,0.928818331578586
68,2,5.99369538213628,-4.07649579140111,-0.239129684461209
69,2,3.810361818629,-3.61708508475947,-0.305134092040637
70,6,102.022952107081,-0.034091219372887,1.44542719892954
71,5,4.64309758679862,-7.64652812986049,1.907896972154
72,5,4.52699379401801,-9.22380746646572,1.92807096915182
73,6,129.287605111401,-0.0562134070030147,1.15627303107274
81,3,173.599436725932,-0.0270921718093439,1.11628978018754
90,1,4.44729103207195,-5.56564650069738,0
91,6,98.0746324664844,-0.0428283328880711,1.33651579085261
92,6,223.751628015212,-0.0164664308970497,1.02654876496868
93,2,6.34153938530047,-5.38019071389928,-0.346288526148882
94,6,84.8528979621777,-0.0550088575597485,1.1829959711412
95,5,4.54860071955731,-6.56115183682452,1.15849065759449
96,3,108.661471268195,-0.074068005352311,1.32902955881822
97,2,6.18928437580362,-4.78911897444744,-0.314806005876445
98,3,220.446928667119,-0.0282083455729225,1.00834174607749
101,6,53.4613832350708,-0.0654514442528323,1.22439535158058
102,4,3.81680424104637,-5.31763933519363,0
103,3,139.934049825136,-0.0443766328683007,0.973451381301403
104,4,4.17712129559145,-10.8769390996648,0
105,5,4.80174975800959,-11.5220283528299,3.08061384182069
106,5,3.41086727611804,-8.03336932370848,1.32336868962396
107,6,81.0391741966962,-0.11266739629169,1.04844807822487
108,3,75.4722860888433,-0.162048795459456,1.45651682371468
109,2,6.01500466336016,-5.38884186329369,-0.343404822329623
110,5,4.95608979030198,-11.6823427621771,2.95818585483651
111,6,94.130348942267,-0.0577815865884254,1.27402199230795
112,2,9.727189531687,-8.78725551925743,-0.149380543355933
113,6,45.4768303502727,-0.0846439902885189,1.09646932362652
114,2,5.43203092097996,-4.23455108312765,-0.397343240728288
115,3,142.893027964017,-0.0452255260386345,0.904028156495646
116,3,152.820721028964,-0.0329700260355272,1.16971389311001
117,2,7.94104508386922,-6.84193928383112,-0.218406315328303
118,5,4.90192822206152,-28.1071392575252,7.85476333249768
119,6,98.3360280356443,-0.0306132741540001,1.39400847145559
120,5,5.65000306941181,-40.3705022101275,13.7158415509076
121,3,90.209989936985,-0.130670552914133,1.34035060912447
122,2,12.6867867164646,-11.3266186554789,-0.10026651436029
123,5,4.60870905684167,-9.76812215794682,2.53211545148401
124,4,4.90411056259842,-9.16600698431155,0
125,6,81.5983644442848,-0.0387203598284333,1.43936830766127
126,6,116.244771423034,-0.0572119754090533,0.937415611048893
127,2,7.91256671339725,-6.35916263156063,-0.173978037872036
128,5,5.06668937980111,-16.5363853815677,4.23376880296317
129,6,119.557148917212,-0.055766421429091,1.01064303388876
130,5,4.74679808871495,-11.8267422069234,2.79224739795629
131,5,5.12358039716932,-14.6188636258103,3.89991706965602
132,5,4.84443474499266,-9.68483956081692,2.61709312624028
133,4,3.47301482353042,-9.52932267356753,0
134,5,3.62321945323823,-12.8585508803869,3.33064778716766
135,2,16.8094145254933,-15.9292639323013,-0.0761336420566525
136,1,4.9396738032528,-9.85218985207996,0
137,2,6.47864581803,-6.04553388723908,-0.313997192486077
140,2,4.91212139563923,-4.14575602477568,-0.277185119462507
141,2,6.66200480130359,-6.30064281082759,-0.211682177338838
142,6,37.7078820984625,-0.0588620423909936,1.29831225876169
143,3,34.8663874711772,-0.102525494669077,1.40346894896576
201,5,8.8291584836191,-587.725484206004,96.7621562171514
202,2,8.75697395121902,-7.19229321466618,-0.178306360243103
211,6,225.953360456627,-0.0269330133470053,0.972319773620558
212,5,6.1676995278199,-60.4975213772433,13.1748759910537
221,6,100.083392610824,-0.064693399342334,1.13289468590407
222,3,101.715749198549,-0.0810521701463759,0.987343870979504
231,5,4.1592149589186,-12.8064670303966,4.14177286375702
241,5,4.29897058336359,-7.95157406171565,2.06586744877633
242,2,6.4481516902473,-5.18899068589301,-0.318639253840949
251,6,93.6777046405528,-0.047415076352331,1.08069028334438
261,2,8.39962340686573,-6.52310447874615,-0.152348026691194
