PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1122,2000,12,0,0,60,23.94,8.55,46.7,0.1112,8.28,5.3,11.8,,,,,0,60,N,8.19
1123,1986,9,0,0,45,17.72,8.5,34.6,0.0825,8.41,6.5,11,,,,,0,45,N,6.08
1123,1990,9,0,0,45,23.44,9.77,43.4,0.1033,9.72,8.5,12,34,34,,,0,45,N,7.5
1123,1995,9,0,0,45,22.26,9.52,41.6,0.0991,9.33,5.9,12.9,,,,,15,45,N,7.21
1123,2000,17,0,0,85,35.27,8.72,68.3,0.1625,8.31,4.7,13.5,39.6,51,,,40,85,Y,11.94
1124,1986,5,0,0,25,5.79,6.51,12.6,0.0299,6.36,4.5,7.8,,,,,0,25,N,2.27
1124,1990,6,0,0,30,8.43,7.18,17.6,0.0419,7.03,4.8,8.3,8,8,,,0,30,N,3.15
1124,1995,5,0,0,25,7.59,7.46,15.6,0.0372,7.22,4.8,9.8,,,,,0,25,N,2.78
1124,2000,4,0,1,20,4.26,6.25,9.4,0.0224,6.03,4.9,8.9,15.5,10.6,,,0,20,N,1.71
1125,1990,2,0,0,10,6.31,10.76,11.2,0.0268,10.3,7.2,13.4,143.5,146,,,0,10,N,1.92
1126,1986,7,0,0,35,18.56,9.86,34.2,0.0815,9.41,6,13.8,40,40.3,,,5,50,N,5.91
1126,1990,13,0,0,65,26.69,8.68,51.8,0.1232,8.11,5,14.5,46.7,43.5,,,0,65,Y,9.06
1126,1995,7,0,0,35,26.33,11.74,45.3,0.1079,10.84,4.9,18.4,37.3,47.7,,,0,35,N,7.68
1126,2000,11,0,0,55,26.97,9.48,50.5,0.1202,9.03,6,15.7,29.8,33.8,,,5,55,N,8.76
1127,1986,8,0,0,40,17,8.83,32.7,0.078,8.62,7,12.8,45.8,46,,,0,45,N,5.72
1127,1990,8,0,0,40,18.91,9.31,35.7,0.0849,8.88,5.1,15.5,42.2,47.9,,,0,40,N,6.2
