PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1181,1999,47,0,0,235,66.12,7.18,138.2,0.3289,6.84,4.5,14,29.9,35,,,10,240,N,24.67
1182,1989,12,0,0,60,34.49,10.27,62.6,0.149,9.67,4.7,18.8,,,,,0,60,N,10.76
1182,1994,8,0,0,40,28.89,11.51,50.1,0.1193,9.53,4.5,22.3,32.1,32.4,,,0,45,N,8.52
1182,1999,37,0,0,185,67.63,8.19,134.2,0.3195,7.78,4.6,16.5,33.4,37.6,,,0,185,N,23.64
1183,1989,4,0,0,20,9.26,9.21,17.5,0.0417,9.18,7.8,9.8,42,42.3,,,5,20,N,3.05
1183,1994,23,1,0,115,66.93,10.33,121.1,0.2884,9.49,5.4,19.5,31.8,33.6,,,0,125,N,20.82
1192,1990,3,0,0,15,6.61,8.99,12.6,0.0301,8.93,7.5,9.8,54.3,55,,,0,15,N,2.21
1192,1995,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1193,1990,20,0,0,100,78,11.96,133.3,0.3173,11.25,7,24.3,32.4,36.3,,,0,100,Y,22.56
1193,1995,32,0,0,160,93.7,10.36,169.4,0.4033,9.43,4.6,25.4,28.4,36,,,65,160,Y,29.11
1193,2000,20,0,0,100,53.79,9.93,98.9,0.2354,9.34,4.9,17.8,34.9,39.9,,,0,100,Y,17.07
1194,1990,16,0,0,80,64.18,12.13,109,0.2596,11.08,7,25.3,39.9,44.9,,,0,80,Y,18.43
1194,1995,35,0,0,175,89.88,9.7,166.8,0.397,8.69,4.7,25.8,28.9,40.1,,,100,175,Y,28.85
1194,2000,22,0,0,110,50.6,9.18,95.9,0.2284,8.52,5,21,29,38.4,,,0,110,Y,16.7
1195,1990,18,0,0,90,35.43,8.5,69.3,0.165,8.38,7,11.5,37.7,38.5,,,0,90,Y,12.16
1195,1995,33,0,0,165,56.57,7.93,113.7,0.2707,7.71,5.2,12.4,38.4,39.8,,,75,165,Y,20.09
1195,2000,31,0,0,155,55.61,8.11,110.7,0.2637,7.9,5.7,12.9,43.4,44.7,,,0,155,Y,19.53
1196,1990,16,0,0,80,64.41,12.15,109.4,0.2604,11.59,7,18.5,50.1,55.6,,,40,80,Y,18.48
1196,1995,19,7,0,95,54.43,10.25,98.8,0.2353,9.52,4.6,16.5,47.8,53.9,,,40,130,Y,17
1196,2000,16,0,0,80,40.53,9.64,75.4,0.1795,8.76,4.6,18.4,30.2,43.1,,,10,80,Y,13.06
1197,1987,10,0,0,50,36.72,11.6,63.5,0.1512,11,7.9,20.9,33.4,37.5,,,0,50,Y,10.78
1197,1992,15,0,0,75,48.1,10.84,85.4,0.2034,10.07,4.8,21,29,36.3,,,25,75,Y,14.61
1197,1997,4,0,0,20,9.66,9.41,18.1,0.0432,9.25,7.9,12.2,34.3,34.2,,,0,20,N,3.15
1197,2002,17,0,0,85,65.19,11.86,111.7,0.266,10.74,4.5,21.6,30.8,38.7,,,15,85,Y,18.93
1198,1992,4,0,0,20,16.82,12.42,28.3,0.0674,12.32,10.9,14.8,,,,,0,20,N,4.77
1198,1997,5,0,0,25,15.06,10.51,27.1,0.0645,9.98,4.6,14.4,48,56.5,,,0,25,N,4.65
1198,2002,1,0,0,5,4.06,12.2,6.9,0.0164,12.2,12.2,12.2,44,44,,,0,5,N,1.16
1199,1987,14,0,0,70,74.45,13.96,119.6,0.2848,13.38,7.9,20.4,24.3,23.4,,,5,70,Y,19.92
1199,1992,14,0,0,70,79.61,14.44,126.2,0.3006,13.93,8.7,20.6,25.7,26.1,,,5,70,Y,20.95
1199,1997,7,0,0,35,49.67,16.13,75.4,0.1795,15.63,9,20.6,44.1,45.7,,,0,35,N,12.37
1199,2002,20,0,0,100,94.98,13.2,156.1,0.3716,11.7,5.1,27.8,36.1,45.6,,,0,100,Y,26.15
1200,1992,27,0,0,135,73.98,10.02,135.5,0.3226,9.05,4.8,28.8,29.9,38.6,,,55,135,Y,23.37
1200,2002,19,0,0,95,47.32,9.56,88.3,0.2103,9.42,6.5,12.6,32.3,34.1,,,5,95,Y,15.31
1201,1992,38,0,0,190,85.03,9.06,162.1,0.386,8.77,4.8,13.3,26.7,29.7,,,85,190,Y,28.25
1201,1997,7,0,0,35,13.24,8.33,26.1,0.0621,8.31,7.5,8.8,31.3,31.5,,,0,35,N,4.59
1202,1990,12,0,0,60,25.09,8.76,48.5,0.1154,8.67,7.1,11.2,39.8,42.9,,,120,60,Y,8.48
1202,1995,10,0,0,50,23.69,9.32,44.7,0.1063,9.19,6.3,12.1,42.5,46.2,,,0,50,Y,7.76
1202,2000,47,0,0,235,79.52,7.88,160.2,0.3815,7.37,4.5,20.9,24.4,34.6,,,0,235,Y,28.34
1203,1989,3,0,0,15,32.78,20.02,45.7,0.1088,18.2,7.9,28.3,48,48,,,0,15,N,7.33
1203,1994,13,0,0,65,56.67,12.64,94.7,0.2255,11.17,4.8,27.2,36.5,47.9,,,0,65,Y,15.94
1203,1999,16,0,0,80,55.7,11.3,97.3,0.2317,10.11,4.9,27.6,34.8,42.5,,,0,80,Y,16.57
1204,1989,6,0,0,30,24.23,12.17,41.1,0.0979,11.8,7.1,15.7,,,,,0,30,N,6.95
1204,1994,9,0,0,45,60.85,15.75,93.3,0.222,14.31,4.9,25,35,37.4,,,0,45,N,15.33
1204,1999,22,0,0,110,70.54,10.84,125.3,0.2982,9.87,4.5,18.8,28.8,38.8,,,0,110,Y,21.42
1205,1989,16,0,0,80,101.37,15.24,157.4,0.3746,14.24,7.6,24.1,,,,,0,80,Y,25.96
1205,1994,11,0,0,55,93.23,17.63,136.6,0.3253,17.08,9.8,24,45,45.1,,,0,55,Y,22.2
1205,1999,12,0,0,60,60.43,13.59,98.2,0.2337,12.49,7,25.8,38.2,43.3,,,0,60,Y,16.39
1206,1989,14,0,0,70,52.34,11.71,90.2,0.2147,11.26,7.4,17.7,24.9,27.9,,,0,70,Y,15.3
1206,1994,10,0,0,50,38.34,11.86,65.7,0.1565,11.15,5.5,17.9,27.2,23.1,,,0,50,Y,11.13
1206,1999,12,0,0,60,29.34,9.47,55,0.1309,9.11,5.7,14.3,28,29.1,,,0,60,Y,9.53
1208,1987,28,0,0,140,88.25,10.75,157.2,0.3744,10.53,7,14.5,51,52.8,,,0,140,Y,26.92
1208,1992,39,0,0,195,111.68,10.25,202.8,0.4829,9.76,4.7,16.2,47.3,53.6,,,60,195,Y,34.89
1208,1997,36,0,0,180,102.61,10.22,186.5,0.444,9.77,4.5,16.2,48.2,53.6,,,10,180,Y,32.09
1208,2002,30,0,0,150,82.08,10.02,150.4,0.3581,9.56,4.6,17.5,48.6,56.5,,,0,150,Y,25.94
1209,1987,12,0,0,60,33.03,10.05,60.4,0.1439,9.83,7.3,14.2,36.2,37.1,,,0,60,Y,10.42
1209,1992,25,0,0,125,53.71,8.88,103.2,0.2458,8.52,5.1,14.9,31.8,35.7,,,65,125,Y,18.03
1209,1997,1,0,0,5,0.98,6,2.2,0.0052,6,6,6,,,,,0,5,N,0.4
1209,2002,19,0,0,95,35.01,8.22,69.3,0.1651,7.71,4.7,13.8,43.2,45.4,,,25,95,Y,12.21
1210,1992,1,0,0,5,2.36,9.3,4.5,0.0106,9.3,9.3,9.3,,,,,0,5,N,0.77
1211,2002,1,0,0,5,1.41,7.2,3,0.007,7.2,7.2,7.2,43,43,,,0,5,N,0.53
1217,1987,51,0,0,255,69.12,7.05,145.5,0.3464,6.77,4.5,12,,,,,0,255,Y,26.03
1217,1991,50,0,0,250,78.18,7.57,160,0.3809,7.32,5,12.5,,,,,15,250,Y,28.41
1217,1996,50,0,1,250,89.19,8.09,177.8,0.4234,7.83,5.4,13.1,,,,,0,250,Y,31.36
1217,2001,49,0,0,245,100.78,8.68,195.4,0.4651,8.43,5.8,13.8,,,,,0,245,Y,34.2
1218,1987,27,0,0,135,37.61,7.15,78.7,0.1875,6.94,4.5,11,,,,,0,135,Y,14.07
1218,1991,27,0,0,135,42.37,7.59,86.6,0.2063,7.38,5,11.5,,,,,10,135,Y,15.38
1218,1996,27,0,1,135,48.36,8.1,96.3,0.2294,7.9,5.4,12.1,,,,,0,135,Y,16.99
1219,1987,20,0,0,100,28.33,7.21,59.1,0.1408,7,4.5,11,,,,,0,100,Y,10.55
1219,1991,20,0,0,100,32.1,7.67,65.4,0.1556,7.47,5.1,11.5,,,,,10,100,Y,11.59
1219,1996,20,0,1,100,36.69,8.2,72.7,0.1732,8,5.6,12.1,,,,,0,100,Y,12.81
1219,2001,20,0,0,100,41.93,8.77,81,0.1928,8.57,6.1,12.8,,,,,0,100,Y,14.16
1220,1987,23,0,0,115,37.45,7.73,76,0.181,7.46,4.5,12.5,,,,,0,115,Y,13.47
1220,1991,23,0,0,115,41.03,8.09,81.8,0.1948,7.79,5,13,,,,,10,115,Y,14.43
1220,1996,23,0,1,115,46.74,8.63,90.8,0.2162,8.33,5.4,13.7,,,,,0,115,Y,15.91
1220,2001,23,0,0,115,52.98,9.19,100.4,0.2391,8.9,5.8,14.4,,,,,0,115,Y,17.48
1221,1987,21,0,0,105,41.02,8.46,80.3,0.1913,8.12,5,14,,,,,0,105,Y,14.1
1221,1991,21,0,0,105,45.48,8.91,87.3,0.2078,8.57,5.1,14.5,,,,,10,105,Y,15.24
1221,1996,21,0,1,105,51.39,9.47,96.3,0.2292,9.13,5.6,15.1,,,,,0,105,Y,16.7
1221,2001,21,0,0,105,57.8,10.05,105.8,0.2519,9.71,6.1,15.8,,,,,0,105,Y,18.24
1222,1987,23,0,0,115,24.36,6.23,53.8,0.1282,6.1,4.5,9,,,,,0,170,Y,9.76
1222,1991,29,0,0,145,33.44,6.5,72.7,0.1731,6.37,4.5,9.5,,,,,5,170,Y,13.12
1222,1995,32,1,0,160,40.13,6.78,85.8,0.2042,6.63,4.5,10,,,,,5,170,Y,15.41
1222,2001,33,0,0,165,50.05,7.46,103,0.2453,7.3,5,11,,,,,0,165,Y,18.33
1223,1991,13,0,0,65,13.86,6.25,30.6,0.0728,6.15,4.5,8.2,,,,,0,100,Y,5.54
1223,1996,16,0,0,80,19.76,6.73,42.4,0.1009,6.58,4.5,9,,,,,0,100,Y,7.62
1223,2001,19,1,0,95,27.7,7.31,57.5,0.1369,7.09,4.5,10.2,,,,,0,100,Y,10.24
1224,1987,9,0,0,45,12.55,7.15,26.3,0.0626,6.91,4.5,10,,,,,0,60,N,4.69
1224,1991,11,0,0,55,16.2,7.35,33.5,0.0799,7.07,4.5,10.6,,,,,5,65,Y,5.98
1224,1996,12,0,0,60,20.2,7.86,40.7,0.097,7.54,4.5,11.5,,,,,0,65,Y,7.21
1224,2001,13,0,0,65,25.09,8.41,49.3,0.1173,8.08,5,12.5,,,,,0,65,Y,8.65
1225,1987,26,0,0,130,28.65,6.36,62.8,0.1496,6.23,4.5,9,,,,,0,200,Y,11.36
1225,1991,33,1,0,165,39.08,6.59,84.5,0.2012,6.44,4.5,9.6,,,,,10,210,Y,15.22
1225,1995,39,0,0,195,53.25,7.08,111.9,0.2665,6.89,4.5,10.5,,,,,10,205,Y,20.02
1227,1987,10,0,0,50,17.05,7.91,34.3,0.0817,7.55,4.5,12,,,,,0,50,Y,6.06
1227,1991,10,0,0,50,19.94,8.55,38.9,0.0926,8.22,5.2,12.6,,,,,0,50,Y,6.82
1227,1996,10,0,0,50,24.44,9.47,45.8,0.109,9.15,6,13.5,,,,,0,50,Y,7.94
1227,2001,10,0,0,50,29.19,10.35,52.8,0.1257,10.03,6.8,14.5,,,,,0,50,Y,9.07
1228,1987,37,0,0,185,39.89,6.29,87.9,0.2092,6.16,4.5,9,,,,,0,260,Y,15.91
1228,1991,45,0,0,225,53.84,6.62,116.2,0.2766,6.48,4.5,9.6,,,,,10,270,Y,20.92
1228,1995,52,0,0,260,72.45,7.15,151.7,0.3611,6.97,4.5,10.5,,,,,10,270,Y,27.1
1228,2001,54,0,0,270,98.48,8.18,195.5,0.4655,7.98,5,12,,,,,10,270,Y,34.44
1229,1991,3,0,0,15,2.27,5.27,5.4,0.0128,5.23,4.5,6,,,,,50,50,N,0.99
1230,1987,56,0,0,280,60.47,6.29,133.1,0.317,6.17,4.5,9.5,,,,,0,390,Y,24.11
1230,1991,67,0,0,335,80.86,6.65,174.2,0.4146,6.51,4.5,10.1,,,,,0,390,Y,31.35
1230,1995,78,0,0,390,109.14,7.16,228.3,0.5436,6.98,4.5,11.5,,,,,0,390,Y,40.78
1230,2001,31,0,0,155,60.47,8.46,118.5,0.282,8.24,5.5,13,,,,,0,155,Y,20.79
1231,1987,23,0,0,115,42.85,8.27,84.7,0.2017,8.14,6.4,12.4,48.9,50,,,0,115,Y,14.9
1231,1991,26,0,0,130,51.68,8.54,100.9,0.2401,8.41,5.8,13,50.9,52.5,,,65,130,Y,17.69
1231,1996,36,0,0,180,47.31,6.94,100.2,0.2386,6.66,4.7,13.8,42.2,44.4,,,0,180,Y,17.96
1232,1987,8,0,0,40,18.59,9.23,35.2,0.0838,9.05,7.2,13.2,40.9,43.4,,,0,40,N,6.12
1232,1991,26,2,2,130,41.32,7.63,84.3,0.2007,7.3,4.5,15.2,34.7,38.4,,,100,140,Y,14.95
1232,1996,12,0,0,60,20,7.82,40.4,0.0962,7.78,6.3,8.7,30.4,32.1,,,0,60,Y,7.15
1232,2001,27,0,0,135,33.05,6.7,71,0.169,6.45,4.5,10.3,32.8,36.9,,,0,135,Y,12.77
1234,1991,39,0,0,195,40.97,6.21,90.7,0.2159,6.01,4.5,9.9,29.3,32.1,,,190,200,Y,16.45
1234,2001,21,0,0,105,21.66,6.15,48.1,0.1146,6.07,4.5,8.3,33.5,35.2,,,15,105,Y,8.73
1235,1991,31,5,5,155,51.77,7.83,104.6,0.249,7.56,4.6,11.5,34.8,40.4,,,85,180,Y,18.51
1235,2001,20,0,0,100,42.94,8.87,82.5,0.1965,8.75,6.2,12,47.2,50.5,,,15,100,Y,14.42
1236,1991,3,0,0,15,7.83,9.78,14.5,0.0345,9.67,8.2,11.7,38.7,39.9,,,0,15,N,2.5
1236,1996,16,0,0,80,31.45,8.49,61.5,0.1464,8.35,5.5,11.7,37.6,40.5,,,0,80,Y,10.79
1236,2001,32,0,0,160,48.99,7.49,100.7,0.2397,7.12,4.5,13,33,43.7,,,15,160,Y,17.9
1237,1991,18,0,1,90,54.87,10.57,98.4,0.2343,10.31,5.7,14.3,42.3,44.9,,,15,90,Y,16.88
1237,1996,9,0,0,45,31.89,11.4,55.5,0.1322,11.11,5.7,13.8,47,46.9,,,0,45,N,9.45
1238,1991,9,0,0,45,16.41,8.18,32.6,0.0776,8.04,5.2,10.8,24.6,26.8,,,20,45,N,5.74
1238,1996,19,0,0,95,35.01,8.22,69.4,0.1651,8.07,4.5,11.5,26.3,28.5,,,0,95,Y,12.21
1239,1991,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1239,1996,15,0,0,75,16.99,6.45,37.1,0.0882,6.41,5.3,7.2,30.6,30.7,,,0,75,Y,6.69
1239,2001,29,0,0,145,78.31,9.95,143.9,0.3425,9.3,5.5,17.7,41.1,52.1,,,0,145,Y,24.83
1240,1991,2,0,0,10,3.74,8.28,7.4,0.0176,8.25,7.5,9,32,32,,,10,10,N,1.3
1240,1996,17,0,0,85,27.67,7.73,56.2,0.1337,7.54,4.5,12,34.2,35.9,,,0,85,Y,9.95
1240,2001,16,0,0,80,33.48,8.76,64.7,0.154,8.44,4.6,12.8,33.2,35.9,,,0,80,Y,11.31
1242,1991,5,0,0,25,8.83,8.05,17.6,0.042,7.92,5.3,9.5,,,,,0,25,N,3.11
1242,1996,33,0,0,165,69.18,8.77,133.6,0.3181,8.25,4.5,18.3,33.7,39,,,25,170,Y,23.36
1242,2001,5,0,0,25,7.53,7.43,15.5,0.037,7.4,6.8,8.4,42,39.1,,,0,25,N,2.76
1243,1991,23,0,0,115,32.4,7.19,67.7,0.1611,6.78,4.6,12.4,33.4,37.4,,,90,115,Y,12.09
1243,1996,26,0,0,130,38.49,7.37,79.6,0.1896,7.06,4.6,12.9,42.8,47.9,,,0,140,Y,14.18
1243,2001,32,0,0,160,48.55,7.46,99.9,0.238,7.28,4.7,10.4,49,50.8,,,35,170,Y,17.78
1244,1987,29,0,2,145,102.49,11.38,178.5,0.4251,11.13,7.4,16.9,38.4,42.7,,,0,145,Y,30.38
1244,1991,41,0,0,205,117.55,10.25,213.4,0.5081,9.71,4.5,17.2,34.5,43,,,65,205,Y,36.71
1244,1996,10,0,0,50,25.99,9.76,48.1,0.1145,9.52,5,12.4,38.4,43.3,,,0,50,Y,8.32
1244,2001,14,0,0,70,40.8,10.34,73.8,0.1758,9.89,4.7,15,41.8,47.2,,,0,70,Y,12.69
1245,1987,2,0,0,10,7.99,12.11,13.6,0.0324,12,10.4,13.6,,,,,0,10,N,2.3
1245,1991,17,0,0,85,26.66,7.58,54.5,0.1298,7.05,4.7,13.8,29.9,31,,,85,85,Y,9.68
1245,1996,33,0,0,165,47.96,7.3,99.6,0.2371,6.98,4.5,14.2,35,42.8,,,90,165,Y,17.75
1245,2001,63,0,0,315,78.88,6.78,168.7,0.4016,6.44,4.5,15.7,35.2,41.8,,,170,315,Y,30.3
1246,1987,5,0,0,25,10.53,8.79,20.3,0.0484,8.66,7.3,11.3,35.4,37.2,,,0,25,N,3.55
1246,1991,13,0,0,65,18.96,7.31,39.3,0.0937,7.05,4.6,11.4,26.5,30.2,,,40,65,Y,7.01
1246,1996,5,0,0,25,8.3,7.8,16.8,0.04,7.7,5.7,8.9,38,38,,,0,25,N,2.97
1246,2001,16,0,0,80,26.59,7.81,53.8,0.128,7.52,4.7,12.6,39.5,39.2,,,25,85,N,9.52
1247,1987,11,0,0,55,28.11,9.68,52.2,0.1243,9.32,7,15.1,38.3,46.7,,,0,55,Y,9.03
1247,1992,26,0,0,130,44.17,7.89,88.9,0.2117,7.44,4.7,15.4,30.2,39.9,,,80,130,Y,15.72
1247,1997,5,0,0,25,4.74,5.89,10.7,0.0255,5.82,5,7.6,23.6,24.4,,,0,25,N,1.95
1247,2002,17,0,0,85,38.57,9.12,73.3,0.1746,8.6,5.3,15.8,36,46.5,,,0,85,N,12.77
1248,1987,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1248,1992,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1248,1997,9,0,0,45,17.97,8.56,35,0.0834,8.39,5,11.7,35,40.5,,,0,45,N,6.14
1248,2002,14,0,0,70,25.15,8.12,50.1,0.1192,7.8,4.9,12.2,33.6,38.9,,,50,70,N,8.83
1250,1987,1,0,0,5,6.14,15,9.6,0.0228,15,15,15,,,,,0,5,N,1.58
1250,1991,10,0,0,50,38.32,11.85,65.7,0.1564,10.85,4.5,19.5,,,,,0,50,Y,11.13
1250,1996,28,0,7,140,118.89,12.48,199.7,0.4755,11.2,5.1,28,44.8,45.7,,,5,140,N,33.66
1251,1988,17,0,0,85,42.89,9.62,79.9,0.1901,9.39,7,14.7,40.9,43.7,,,0,85,Y,13.83
1251,1991,37,0,0,185,63.95,7.96,128.3,0.3055,7.5,4.5,15.2,38,43,,,115,185,Y,22.67
1251,1996,33,0,0,165,62.46,8.33,123.1,0.2931,7.76,4.5,18.2,117.1,109.6,,,0,170,Y,21.64
1251,2001,16,0,0,80,16.05,6.06,35.9,0.0854,5.92,4.5,8.4,37.4,46.5,,,0,80,Y,6.52
1252,1987,3,0,0,15,2.25,5.25,5.3,0.0127,5.23,4.8,5.7,,,,,0,20,N,0.98
1252,1991,13,0,0,65,14.48,6.39,31.7,0.0754,6.29,4.6,8.7,86.8,81.9,,,60,65,Y,5.73
1252,1996,27,0,0,135,51.85,8.39,101.9,0.2426,8.12,4.8,13.8,76.9,63.2,,,0,135,Y,17.9
1252,2001,67,0,0,335,96.48,7.27,200.7,0.4778,6.97,4.5,14.7,115.6,108,,,0,335,Y,35.79
1253,1987,17,0,0,85,33.17,8.46,65,0.1547,8.43,7.4,10.1,,,,,0,85,Y,11.4
1253,1991,32,0,0,160,55.47,7.97,111.2,0.2648,7.83,5,10.4,39.8,41.2,,,75,160,Y,19.64
1253,1996,35,0,0,175,61.15,8,122.4,0.2915,7.89,5.2,10.2,61.4,67.2,,,0,175,Y,21.61
1253,2001,21,0,0,105,48.57,9.21,92,0.219,9.03,4.9,12.8,96.2,91.9,,,0,105,Y,16
1259,1987,3,0,0,15,7.89,9.82,14.6,0.0347,9.73,8.4,11.5,28.3,30.1,,,0,15,N,2.52
1259,1992,5,0,0,25,11.76,9.29,22.2,0.0529,8.84,4.6,13.4,23.8,30.4,,,10,25,N,3.86
1259,1997,6,0,0,30,7.52,6.78,16.1,0.0383,6.55,4.6,9.3,31.5,30.3,,,5,30,N,2.89
1259,2002,5,0,0,25,11.37,9.13,21.6,0.0515,8.4,5,14.8,51,46.6,,,0,30,N,3.76
1260,1987,21,0,0,105,59.03,10.15,107.6,0.2562,9.75,7,16,32,33.1,,,0,105,Y,18.53
1260,1992,10,0,0,50,31.83,10.8,56.6,0.1348,10.23,7.4,19,37.2,37.7,,,0,50,N,9.68
1260,1997,19,0,0,95,69.98,11.62,120.9,0.2879,10.83,5.4,19.9,38.1,39.8,,,20,95,N,20.53
1261,1987,11,0,0,55,18.86,7.93,37.9,0.0902,7.82,7,11.8,47.5,50.2,,,0,55,Y,6.7
1261,1992,10,0,0,50,12.96,6.89,27.5,0.0655,6.42,4.7,12.7,37.8,41.1,,,45,50,N,4.94
1261,1997,33,0,0,165,36.4,6.36,79.8,0.19,6.18,4.5,9.7,31.1,35.1,,,0,165,N,14.43
1261,2002,42,0,0,210,44.32,6.22,98,0.2334,6.1,4.5,9.3,40.5,42.9,,,0,215,N,17.77
1262,1987,21,0,0,105,76.36,11.55,132.3,0.3149,11.08,7,17.9,37,40.2,,,0,105,Y,22.47
1262,1992,35,0,1,175,91.94,9.81,169.8,0.4043,9.11,4.8,18.3,33.3,38.7,,,80,175,Y,29.35
1262,1997,15,0,0,75,23.02,7.5,47.3,0.1126,7.29,5.5,12,28.5,29.7,,,0,75,N,8.41
1262,2002,18,0,0,90,35.18,8.47,68.9,0.164,8.16,4.8,12.5,33.3,34,,,0,90,N,12.09
1263,1987,14,0,0,70,71.86,13.72,116.3,0.2769,12.94,7,23.4,42.8,43.7,,,0,70,Y,19.4
1263,1992,13,0,0,65,74.43,14.49,117.9,0.2806,13.82,9.1,23.9,43.7,44.9,,,15,65,Y,19.55
1263,1997,15,0,0,75,44.89,10.48,80.8,0.1924,9.61,5.1,20.9,44,46.6,,,5,75,N,13.87
1263,2002,16,0,0,80,57.76,11.51,100.2,0.2386,10.18,4.5,24.2,38.8,46.1,,,0,85,N,17.03
1271,1987,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1271,1992,0,0,44,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1272,1987,5,0,0,25,14.94,10.47,26.9,0.0641,10.28,7,12.4,41,46.6,,,0,25,N,4.62
1272,1992,14,0,6,70,24.73,8.05,49.4,0.1176,7.69,4.6,13.2,27.4,35.1,,,50,70,Y,8.72
1272,1997,10,0,0,50,25.64,9.7,47.6,0.1133,9.44,6.7,14,37.2,43.4,,,0,50,Y,8.24
1272,2002,15,0,0,75,29.84,8.54,58.2,0.1386,8.15,4.8,14,31.7,39.8,,,0,75,Y,10.21
1273,1987,18,0,0,90,71.81,12.1,122.1,0.2908,11.14,7.6,25.8,33.1,32.2,,,0,90,Y,20.65
1273,1992,23,0,0,115,65.73,10.24,119.4,0.2843,9.33,5.2,25.9,28.7,33.6,,,40,115,Y,20.54
1273,1997,12,0,0,60,51.14,12.5,85.8,0.2044,11.64,8.5,25.9,37.9,37.4,,,0,60,Y,14.46
1273,2002,18,0,0,90,44.71,9.54,83.5,0.1988,9.19,5.3,13.4,31.6,36.5,,,0,90,Y,14.47
1274,1987,9,0,0,45,36.02,12.11,61.2,0.1458,11.66,7.3,16.4,31.6,36.1,,,0,45,N,10.35
1274,1992,22,0,1,110,47.3,8.88,90.9,0.2164,7.75,5,17,19.2,27.7,,,75,110,N,15.87
1274,1997,10,0,0,50,43.5,12.63,72.7,0.1732,11.96,6.3,17.8,29.8,35.6,,,0,50,N,12.24
1274,2002,17,0,0,85,17.03,6.06,38.1,0.0906,6,4.7,7.3,17.6,18.5,,,0,85,N,6.92
1275,1987,1,0,0,5,2.16,8.9,4.1,0.0099,8.9,8.9,8.9,20,20,,,0,5,N,0.72
1275,1992,26,0,0,130,25.77,6.03,57.7,0.1374,5.95,4.6,9.3,16.2,16.9,,,125,130,Y,10.5
1275,1997,23,0,0,115,24.77,6.28,54.6,0.1299,6.18,4.6,9.3,16.6,17.2,,,0,115,Y,9.88
1275,2002,30,0,0,150,31.09,6.16,69,0.1643,6.05,4.7,9.8,18,18.5,,,0,150,Y,12.52
1276,1987,2,2,2,10,7.21,11.5,12.5,0.0298,11.5,11.5,11.5,,,,,0,20,N,2.13
1276,1992,8,0,0,40,18.01,9.09,34.3,0.0817,8.78,4.8,11.5,36.6,38.7,,,0,40,N,5.98
1277,1987,7,0,0,35,19.21,10.03,35.2,0.0837,9.86,6.2,12.6,54.4,58.1,,,0,35,N,6.06
1277,1992,5,2,0,25,13.45,9.93,24.7,0.0589,9.72,6.2,12.6,51.6,56.4,,,0,35,N,4.27
1277,1997,5,0,0,25,13.45,9.93,24.7,0.0589,9.72,6.2,12.6,51.6,56.4,,,0,25,N,4.27
1277,2002,4,1,0,20,12.41,10.66,22.2,0.0528,10.6,9.6,12.6,59,59.3,,,0,25,N,3.8
1278,1987,14,0,0,70,27.67,8.51,54.1,0.1287,8.44,7,11.3,44.2,45.9,,,0,70,Y,9.48
1278,1992,19,0,0,95,32.05,7.87,64.6,0.1539,7.66,4.6,11.3,38.9,42.9,,,15,95,Y,11.43
1278,1997,26,0,0,130,45.24,7.99,90.7,0.2158,7.8,4.6,11.3,35.2,39.6,,,0,130,Y,16.01
1278,2002,18,0,0,90,27.48,7.48,56.5,0.1345,7.3,5,11.4,27.2,30.2,,,0,90,Y,10.05
1284,1987,24,0,0,120,68.31,10.22,124.2,0.2957,9.93,7,15.5,37.6,40.7,,,0,120,Y,21.37
1284,1991,34,0,0,170,88.11,9.75,163.2,0.3885,9.29,5.4,16.8,32.5,39.1,,,60,170,Y,28.22
1284,1996,24,1,0,120,78.63,10.96,139,0.331,10.56,5.6,16.8,37.4,41.5,,,0,125,Y,23.75
1284,2001,32,0,0,160,97.7,10.58,175.2,0.4171,9.98,4.6,18.9,36.8,41.1,,,10,160,Y,30.03
1285,1987,12,0,0,60,29.1,9.43,54.6,0.13,9.13,5.8,13.3,35.5,35.6,,,0,60,Y,9.48
1285,1991,25,0,0,125,44.18,8.05,88.3,0.2101,7.54,4.5,15.5,31.1,33.8,,,70,125,Y,15.57
1285,1996,28,0,0,140,52.64,8.3,103.9,0.2473,7.79,5,18.8,35,39.6,,,0,140,Y,18.27
1285,2001,12,0,0,60,9.84,5.48,22.9,0.0545,5.33,4.6,9.5,26,26.5,,,0,60,Y,4.2
1286,1987,18,0,0,90,41.78,9.23,79.1,0.1883,9.05,7.1,13.8,38.2,39,,,0,90,Y,13.76
1286,1991,24,0,0,120,51.08,8.83,98.3,0.2342,8.55,4.5,14.2,36.9,40,,,35,120,Y,17.19
