PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,BA_PREV_FT2AC,BA_CURR_FT2AC,PAI_BA_SURV_FT2ACY,PAI_BA_MORT_FT2ACY,PAI_BA_INGR_FT2ACY,PAI_BA_NET_FT2ACY,MEAN_ANN_DIA_IN_YR,N_GROWTH_RECS,N_MORT_RECS,NOTES
1142,1990,1995,5,45.78,48.09,0.0584,0,1.0932,1.1516,0.005,12,0,
1142,1995,2000,5,48.09,10.16,0,0,0,0,0,2,0,
1143,1986,1990,4,20.85,10.78,0.5196,0,0,0.5196,0.225,5,0,
1143,1990,1995,5,10.78,12.6,0.0831,0,1.4828,1.5659,0.08,2,0,
1143,1995,2000,5,12.6,23.83,-0.089,0,1.7425,1.6535,-0.06,4,0,
1145,1986,1990,4,1.61,1.34,0.0886,0,0,0.0886,0.25,1,0,
1145,1990,1996,6,1.34,,0,0,0,0,,0,0,
1146,1986,1990,4,81.95,91.91,0.7902,0,1.0799,1.8701,0.0723,28,1,
1146,1990,1995,5,91.91,92.07,0.9131,-0.3578,0,0.5553,0.06,32,1,
1146,1995,2000,5,92.07,,0,0,0,0,,0,0,
1147,1994,1999,5,,0,0,0,0,0,,0,0,
1148,1994,1999,5,,10.01,0,0,2.0024,2.0024,,0,0,
1149,1986,1989,3,34.39,35.07,0.3161,0,0,0.3161,0.0852,9,0,
1149,1989,1994,5,35.07,9.12,0,-0.7594,0.3247,-0.4348,,0,1,
1149,1994,1999,5,9.12,,0,0,0,0,,0,0,
1155,1986,1989,3,0,6.4,0,0,2.1322,2.1322,,0,0,
1155,1989,1994,5,6.4,26.51,0,0,3.4433,3.4433,,0,0,
1155,1994,1999,5,26.51,44.54,-1.341,0,6.2083,4.8673,-0.54,3,0,
1156,1986,1989,3,0,16.61,0,0,5.5356,5.5356,,0,0,
1156,1989,1994,5,16.61,0,0,0,0,0,,0,0,
1156,1994,1999,5,0,15.88,0,0,3.1757,3.1757,,0,0,
1157,1986,1989,3,2.54,22.31,2.182,0,3.4806,5.6626,1.9667,2,0,
1157,1989,1994,5,22.31,19.95,-1.0263,0,3.7235,2.6972,-1.68,1,0,
1157,1994,1999,5,19.95,20.85,0.4015,0,2.139,2.5405,0.37,2,0,
1158,1986,1989,3,1.34,0,0,0,0,0,,0,0,
1158,1989,1994,5,0,20.43,0,0,3.3274,3.3274,,0,0,
1158,1994,1999,5,20.43,32.3,0.2053,0,5.1289,5.3342,0.3,1,0,
1159,1986,1989,3,3.08,15.66,0,0,4.2939,4.2939,,0,0,
1159,1989,1994,5,15.66,1.62,0,0,0.3234,0.3234,,0,0,
1159,1994,1999,5,1.62,7.74,0,0,1.5478,1.5478,,0,0,
1160,1986,1989,3,15.97,16,1.8314,0,0,1.8314,0.6867,5,0,
1160,1989,1994,5,16,2.62,-0.1975,0,0,-0.1975,-0.34,1,0,
1160,1994,1999,5,2.62,,0,0,0,0,,0,0,
1162,1986,1989,3,5.98,12.1,0.0841,0,0,0.0841,0.1667,1,0,
1162,1989,1994,5,12.1,19.45,0,0,0,0,,0,0,
1162,1994,1999,5,19.45,33.82,0,0,6.5679,6.5679,,0,0,
1163,1990,1995,5,,33.21,0,0,6.3493,6.3493,,0,0,
1163,1995,2000,5,33.21,60.88,-0.2098,0,5.8707,5.6609,-0.0388,16,0,
1170,1990,1995,5,,56.44,0,0,11.288,11.288,,0,0,
1170,1995,2000,5,56.44,69.03,1.7881,0,2.2717,4.0599,0.167,20,0,
1171,1986,1989,3,,49.5,0,0,16.5015,16.5015,,0,0,
1171,1989,1994,5,49.5,38.45,0.584,0,0.7244,1.3085,0.0725,16,0,
1171,1994,1999,5,38.45,54.59,-0.0183,0,3.2744,3.2561,0.0024,17,0,
1172,1986,1989,3,,14.77,0,0,4.9239,4.9239,,0,0,
1172,1989,1994,5,14.77,97.25,4.442,0,12.3607,16.8027,0.9486,7,0,
1172,1994,1999,5,97.25,,0,0,0,0,,0,0,
1173,1986,1989,3,,4.18,0,0,1.3931,1.3931,,0,0,
1173,1989,1994,5,4.18,33.28,0.2796,0,5.5415,5.8211,0.27,2,0,
1173,1994,1999,5,33.28,55.4,0.9198,0,6.1318,7.0516,0.1387,15,0,
1174,1986,1989,3,,40.93,0,0,13.642,13.642,,0,0,
1174,1989,1994,5,40.93,37.31,0.901,0,2.6448,3.5459,0.0255,11,0,
1174,1994,1999,5,37.31,,0,0,0,0,,0,0,
1165,1986,1990,4,,54.62,0,0,13.8847,13.8847,,0,0,
1165,1990,1995,5,54.62,54.62,0,0,0.4567,0.4567,,17,0,
1165,1995,2000,5,54.62,57.56,1.1439,0,0.2522,1.3961,0.1844,16,0,
1166,1986,1990,4,,115.69,0,0,28.9235,28.9235,,0,0,
1166,1990,1995,5,115.69,140.48,1.9334,0,1.4545,3.3879,0.1224,25,0,
1166,1995,2000,5,140.48,30.91,1.2343,0,0,1.2343,0.245,16,0,
1167,1986,1990,4,,0,0,0,0.1381,0.1381,,0,0,
1167,1990,1995,5,0,45.74,0,0,0,0,,0,0,
1167,1995,2000,5,45.74,65.81,1.3008,0,0.4922,1.793,0.1487,16,0,
1168,1986,1990,4,0.11,,0,0,0,0,,0,0,
1169,1986,1990,4,49.57,52.61,0.7603,0,0,0.7603,0.1038,14,0,
1169,1990,1995,5,52.61,96.01,0.1253,-2.1525,1.3998,-0.6274,0.0709,11,3,
1169,1995,2000,5,96.01,49.77,0.9926,0,0,0.9926,0.1764,22,0,
1175,1986,1989,3,,0,0,0,0,0,,0,0,
1175,1989,1994,5,0,0,0,0,0,0,,0,0,
1175,1994,1999,5,0,26.16,0,0,4.8137,4.8137,,0,0,
1176,1989,1994,5,0,15.99,0,0,1.4211,1.4211,,0,0,
1176,1994,1999,5,15.99,11.34,0,0,2.2683,2.2683,,0,0,
1177,1986,1989,3,,38.25,0,0,3.8232,3.8232,,0,0,
1177,1989,1994,5,38.25,5.35,0,0,0,0,,0,1,
1177,1994,1999,5,5.35,2.96,-0.9354,0,0.4577,-0.4777,-1.81,1,0,
1178,1986,1989,3,,56.37,0,0,18.7885,18.7885,,0,0,
1178,1989,1994,5,56.37,24.59,-0.17,0,0,-0.17,-0.11,6,0,
1178,1994,1999,5,24.59,40.51,1.2531,0,4.938,6.1911,0.4225,8,0,
1179,1986,1989,3,,8.47,0,0,2.8217,2.8217,,0,0,
1179,1989,1994,5,8.47,21.2,0.0707,0,3.4699,3.5406,0.1,2,0,
1179,1994,1999,5,21.2,21.47,0.0258,-0.5553,2.7415,2.212,0.01,6,3,
1180,1986,1989,3,,24.71,0,0,8.2374,8.2374,,0,0,
1180,1989,1994,5,24.71,1.12,0,-2.8667,0.2234,-2.6433,,0,2,
1180,1994,1999,5,1.12,37.38,0.0363,0,7.2157,7.252,0.1,1,0,
1181,1986,1989,3,,34.97,0,0,11.6571,11.6571,,0,0,
1181,1989,1994,5,34.97,24.59,0,0,0.3231,0.3231,,0,0,
1181,1994,1999,5,24.59,66.58,0.2782,0,12.4211,12.6993,0.6,1,0,
1182,1986,1989,3,,34.49,0,0,11.4966,11.4966,,0,0,
1182,1989,1994,5,34.49,29.39,0,0,0,0,,0,0,
1182,1994,1999,5,29.39,67.63,0,0,13.5267,13.5267,,0,0,
1183,1981,1989,8,,9.26,0,0,0.6548,0.6548,,0,0,
1183,1989,1994,5,9.26,67.13,1.5185,0,8.4162,9.9347,0.94,2,0,
1192,1986,1990,4,,6.61,0,0,1.6536,1.6536,,0,0,
1192,1990,1995,5,6.61,0,0,0,0,0,,0,0,
1192,1995,2000,5,0,,0,0,0,0,,0,0,
1193,1986,1990,4,,78,0,0,19.5006,19.5006,,0,0,
1193,1990,1995,5,78,93.7,1.8023,0,2.5643,4.3666,0.1578,19,0,
1193,1995,2000,5,93.7,53.79,1.4227,0,0.131,1.5536,0.1444,18,0,
1194,1986,1990,4,,64.18,0,0,16.0444,16.0444,,0,0,
1194,1990,1995,5,64.18,89.88,1.032,0,4.1077,5.1397,0.1038,16,0,
1194,1995,2000,5,89.88,50.6,0.5829,0,0.8991,1.4821,0.1046,17,0,
1195,1986,1990,4,,35.43,0,0,8.8578,8.8578,,0,0,
1195,1990,1995,5,35.43,56.57,1.142,0,3.0853,4.2272,0.1311,18,0,
1195,1995,2000,5,56.57,55.61,0.7921,0,3.391,4.1831,0.1229,18,0,
1196,1986,1990,4,,64.41,0,0,16.1027,16.1027,,0,0,
1196,1990,1995,5,64.41,54.43,0.7881,-1.2171,4.3103,3.8813,0.116,10,3,
1196,1995,2000,5,54.43,40.53,0.7626,0,0.4174,1.18,0.2,13,0,
1217,1987,1991,4,69.12,78.18,2.3095,-0.5846,0.5393,2.2642,0.125,47,4,
1217,1991,1996,5,78.18,89.19,2.2017,0,0,2.2017,0.1032,50,0,
1217,1996,2001,5,89.19,100.78,2.3196,-0.159,0,2.1606,0.114,45,1,
1218,1987,1991,4,37.61,42.37,1.2459,-0.4125,0.3548,1.1883,0.125,25,2,
1218,1991,1996,5,42.37,48.36,1.1994,0,0,1.1994,0.1037,27,0,
1218,1996,2001,5,48.36,,0,0,0,0,,0,0,
1219,1987,1991,4,28.33,32.1,0.917,-0.3443,0.3688,0.9415,0.125,18,2,
1219,1991,1996,5,32.1,36.69,0.917,0,0,0.917,0.106,20,0,
1219,1996,2001,5,36.69,41.93,-0.115,0,0,-0.115,-0.0078,18,0,
1220,1987,1991,4,37.45,41.03,1.1164,-0.5761,0.3548,0.8951,0.125,21,2,
1220,1991,1996,5,41.03,46.74,1.1414,0,0,1.1414,0.1087,23,0,
1220,1996,2001,5,46.74,52.98,0.8102,0,0,0.8102,0.0705,21,0,
1221,1987,1991,4,41.02,45.48,1.1232,-0.3767,0.3688,1.1154,0.125,19,2,
1221,1991,1996,5,45.48,51.39,1.1812,0,0,1.1812,0.1133,21,0,
1221,1996,2001,5,51.39,57.8,0.1858,0,0,0.1858,0.0116,19,0,
1222,1987,1991,4,28.47,35.65,1.7601,-0.0614,0.0984,1.7972,0.175,33,1,
1222,1991,1995,4,35.65,40.64,1.3166,-0.0984,0.1261,1.3442,0.118,32,1,
1222,1995,2001,6,40.64,50.05,1.5695,0,0,1.5695,0.1227,33,0,
1223,1987,1991,4,,16.36,0,0,4.0908,4.0908,,0,0,
1223,1991,1996,5,16.36,21.36,0.9998,0,0,0.9998,0.155,20,0,
1223,1996,2001,5,21.36,27.7,1.335,-0.0668,0,1.2682,0.1863,19,1,
1224,1987,1991,4,13.63,16.92,0.7409,0,0.0835,0.8245,0.1792,12,0,
1224,1991,1996,5,16.92,20.68,0.7514,0,0,0.7514,0.1477,13,0,
1224,1996,2001,5,20.68,25.09,0.8817,0,0,0.8817,0.1585,13,0,
1225,1987,1991,4,33.76,42.41,2.0689,-0.0614,0.1533,2.1609,0.1731,39,1,
1225,1991,1995,4,42.41,54.17,2.8647,0,0.2293,3.094,0.2038,39,0,
1225,1995,2001,6,54.17,,0,0,0,0,,0,0,
1227,1987,1991,4,17.05,19.94,0.724,0,0,0.724,0.1675,10,0,
1227,1991,1996,5,19.94,24.44,0.8996,0,0,0.8996,0.186,10,0,
1227,1996,2001,5,24.44,29.19,0.9496,0,0,0.9496,0.176,10,0,
1228,1987,1991,4,45.4,57.54,2.8812,0,0.1533,3.0346,0.1774,52,0,
1228,1991,1995,4,57.54,73.37,3.8817,0,0.2293,4.111,0.2062,52,0,
1228,1995,2001,6,73.37,98.48,4.1015,0,0.2365,4.338,0.1862,52,0,
1229,1987,1991,4,,4.86,0,0,1.216,1.216,,0,0,
1230,1987,1991,4,68.58,85.78,4.2996,0,0,4.2996,0.1753,78,0,
1230,1991,1995,4,85.78,109.14,5.8408,0,0,5.8408,0.2048,78,0,
1230,1995,2001,6,109.14,60.47,0,0,10.0789,10.0789,,0,0,
1231,1987,1991,4,42.85,51.68,1.2344,0,0.5354,1.7698,0.1174,23,0,
1231,1991,1996,5,51.68,47.31,0.267,0,4.9848,5.2519,0.035,10,0,
1232,1987,1991,4,18.59,41.32,0.6979,-0.9305,5.9129,5.6804,0.2938,6,2,
1232,1991,1996,5,41.32,20,-0.4847,0,0.433,-0.0518,-0.0111,10,0,
1232,1996,2001,5,20,33.05,-0.5178,0,2.9327,2.4149,-0.1889,9,0,
1234,1987,1991,4,,41.5,0,0,10.375,10.375,,0,0,
1234,1991,2001,10,41.5,21.66,-0.09,0,0.8697,0.7796,-0.005,12,0,
1235,1987,1991,4,,51.77,0,0,18.0089,18.0089,,0,0,
1235,1991,2001,10,51.77,42.94,0.903,0,0.3623,1.2653,0.1178,18,0,
