PLOT,MEASYEAR,SPCD,SPECIES,N_LIVE,TPA,BA_FT2_AC,BA_PCT,QMD_IN
1194,1990,999,Unknown/Other,1,5,5.35,8.3,14
1194,1990,531,Am. beech,3,15,4.45,6.9,7.37
1194,1995,371,Yellow birch,3,15,26.17,29.1,17.89
1194,1995,261,Hemlock,8,40,19.82,22.1,9.53
1194,1995,541,White ash,11,55,19.73,22,8.11
1194,1995,531,Am. beech,7,35,9.31,10.4,6.98
1194,1995,97,Red spruce,5,25,9.19,10.2,8.21
1194,1995,999,Unknown/Other,1,5,5.65,6.3,14.4
1194,2000,261,Hemlock,10,50,23.09,45.6,9.2
1194,2000,541,White ash,8,40,16.85,33.3,8.79
1194,2000,371,Yellow birch,1,5,4.9,9.7,13.4
1194,2000,531,Am. beech,2,10,3.09,6.1,7.53
1194,2000,97,Red spruce,1,5,2.67,5.3,9.9
1195,1990,97,Red spruce,15,75,29.14,82.2,8.44
1195,1990,241,N. white cedar,3,15,6.29,17.8,8.77
1195,1995,97,Red spruce,28,140,47.83,84.6,7.91
1195,1995,241,N. white cedar,4,20,8,14.1,8.56
1195,1995,12,Balsam fir,1,5,0.74,1.3,5.2
1195,2000,97,Red spruce,25,125,47.39,85.2,8.34
1195,2000,12,Balsam fir,4,20,4.51,8.1,6.43
1195,2000,241,N. white cedar,2,10,3.7,6.7,8.24
1196,1990,97,Red spruce,7,35,39.74,61.7,14.43
1196,1990,129,White pine,4,20,11.86,18.4,10.43
1196,1990,371,Yellow birch,2,10,6.72,10.4,11.1
1196,1990,12,Balsam fir,2,10,4.55,7.1,9.14
1196,1990,531,Am. beech,1,5,1.53,2.4,7.5
1196,1995,97,Red spruce,8,40,30.8,56.6,11.88
1196,1995,129,White pine,3,15,11.06,20.3,11.63
1196,1995,371,Yellow birch,2,10,6.96,12.8,11.3
1196,1995,316,Red maple,4,20,3.29,6,5.49
1196,1995,12,Balsam fir,1,5,1.34,2.5,7
1196,1995,531,Am. beech,1,5,0.98,1.8,6
1196,2000,97,Red spruce,4,20,14.79,36.5,11.65
1196,2000,129,White pine,1,5,9.23,22.8,18.4
1196,2000,371,Yellow birch,3,15,7.62,18.8,9.65
1196,2000,316,Red maple,5,25,5.47,13.5,6.33
1196,2000,531,Am. beech,2,10,2.08,5.1,6.17
1196,2000,12,Balsam fir,1,5,1.34,3.3,7
1197,1987,261,Hemlock,5,25,14.46,39.4,10.3
1197,1987,371,Yellow birch,1,5,11.91,32.4,20.9
1197,1987,531,Am. beech,4,20,10.35,28.2,9.74
1197,1992,261,Hemlock,6,30,19.52,40.6,10.92
1197,1992,531,Am. beech,8,40,16.55,34.4,8.71
1197,1992,371,Yellow birch,1,5,12.03,25,21
1197,1997,261,Hemlock,2,10,6.03,62.4,10.51
1197,1997,531,Am. beech,2,10,3.63,37.6,8.15
1197,2002,531,Am. beech,9,45,27.79,42.6,10.64
1197,2002,261,Hemlock,7,35,24.68,37.9,11.37
1197,2002,371,Yellow birch,1,5,12.72,19.5,21.6
1198,1992,261,Hemlock,4,20,16.82,100,12.42
1198,1997,531,Am. beech,2,10,8.01,53.2,12.12
1198,1997,261,Hemlock,2,10,4.64,30.8,9.22
1198,1997,999,Unknown/Other,1,5,2.41,16,9.4
1198,2002,261,Hemlock,1,5,4.06,100,12.2
1199,1987,261,Hemlock,4,20,32.16,43.2,17.17
1199,1987,371,Yellow birch,3,15,20.43,27.4,15.8
1199,1987,97,Red spruce,4,20,9.62,12.9,9.39
1199,1987,531,Am. beech,2,10,6.81,9.1,11.18
1199,1987,316,Red maple,1,5,5.42,7.3,14.1
1199,1992,261,Hemlock,4,20,33.89,42.6,17.63
1199,1992,371,Yellow birch,3,15,21.63,27.2,16.26
1199,1992,97,Red spruce,4,20,10.97,13.8,10.03
1199,1992,531,Am. beech,2,10,7.55,9.5,11.76
1199,1992,316,Red maple,1,5,5.58,7,14.3
1199,1997,261,Hemlock,3,15,25.54,51.4,17.67
1199,1997,371,Yellow birch,2,10,18.51,37.3,18.42
1199,1997,531,Am. beech,2,10,5.63,11.3,10.16
1199,2002,261,Hemlock,6,30,43.98,46.3,16.39
1199,2002,371,Yellow birch,3,15,19.97,21,15.62
1199,2002,97,Red spruce,6,30,15.5,16.3,9.73
1199,2002,316,Red maple,1,5,5.73,6,14.5
1199,2002,531,Am. beech,2,10,5.7,6,10.22
1199,2002,541,White ash,1,5,2.31,2.4,9.2
1199,2002,999,Unknown/Other,1,5,1.79,1.9,8.1
1200,1992,261,Hemlock,6,30,34.08,46.1,14.43
1200,1992,531,Am. beech,10,50,15.94,21.5,7.65
1200,1992,371,Yellow birch,6,30,15.92,21.5,9.86
1200,1992,541,White ash,3,15,5.97,8.1,8.55
1200,1992,97,Red spruce,2,10,2.06,2.8,6.15
1200,2002,371,Yellow birch,6,30,18.23,38.5,10.55
1200,2002,531,Am. beech,6,30,13.51,28.6,9.09
1200,2002,261,Hemlock,4,20,8.19,17.3,8.66
1200,2002,541,White ash,3,15,7.39,15.6,9.5
1201,1992,261,Hemlock,38,190,85.03,100,9.06
1201,1997,261,Hemlock,7,35,13.24,100,8.33
1202,1990,12,Balsam fir,5,25,12.67,50.5,9.64
1202,1990,375,Paper birch,3,15,4.6,18.3,7.5
1202,1990,97,Red spruce,2,10,4.43,17.7,9.01
1202,1990,371,Yellow birch,1,5,2.02,8,8.6
1202,1990,316,Red maple,1,5,1.37,5.5,7.1
1202,1995,12,Balsam fir,4,20,11.69,49.4,10.35
1202,1995,97,Red spruce,2,10,5.41,22.8,9.96
1202,1995,375,Paper birch,2,10,3.72,15.7,8.26
1202,1995,316,Red maple,1,5,1.79,7.6,8.1
1202,1995,261,Hemlock,1,5,1.08,4.6,6.3
1202,2000,316,Red maple,15,75,22.05,27.7,7.34
1202,2000,97,Red spruce,3,15,15.44,19.4,13.74
1202,2000,375,Paper birch,11,55,15.4,19.4,7.16
1202,2000,12,Balsam fir,5,25,13.14,16.5,9.82
1202,2000,371,Yellow birch,5,25,5.21,6.6,6.18
1202,2000,999,Unknown/Other,6,30,5.17,6.5,5.62
1202,2000,261,Hemlock,2,10,3.12,3.9,7.56
1203,1989,97,Red spruce,1,5,21.84,66.6,28.3
1203,1989,999,Unknown/Other,1,5,9.23,28.2,18.4
1203,1989,12,Balsam fir,1,5,1.7,5.2,7.9
1203,1994,97,Red spruce,8,40,26.77,47.2,11.08
1203,1994,371,Yellow birch,3,15,25.94,45.8,17.81
1203,1994,12,Balsam fir,1,5,2.21,3.9,9
1203,1994,375,Paper birch,1,5,1.75,3.1,8
