species_idx,SPCD
1,15
2,20
3,62
4,64
5,65
6,81
7,101
8,103
9,104
10,108
11,109
12,113
13,116
14,117
15,119
16,122
17,127
18,133
19,137
20,142
21,201
22,202
23,212
24,231
25,251
26,264
27,312
28,333
29,352
30,361
31,431
32,492
33,604
34,631
35,746
36,747
37,768
38,801
39,805
40,807
41,811
42,815
43,818
44,821
45,839
46,981
