species_idx,SPCD
1,11
2,15
3,17
4,19
5,20
6,21
7,22
8,41
9,42
10,64
11,73
12,81
13,93
14,98
15,101
16,103
17,108
18,116
19,117
20,119
21,122
22,202
23,211
24,231
25,242
26,263
27,264
28,312
29,351
30,352
31,361
32,431
33,492
34,542
35,631
36,746
37,747
38,768
39,805
40,815
41,818
42,981
