cn,t1,variant,oBA,dBA,cBA,oTPH,dTPH,cTPH,oQMD,dQMD,cQMD,oVOL,dVOL,cVOL
222442187010661,74948310010538,ne,13.949955103247824,17.13857355957031,17.10891537475586,1719.8806066233697,1380.6663202420898,1528.3562770327514,10.161751345797839,12.570951433181763,11.937794828414917,66.5106286082489,104.27267197009277,102.77365467791748
1184860102290487,451063161489998,ne,53.89242663286606,63.505995068359375,64.81969272460937,10561.437754414837,8509.322916847705,9229.58261378584,8.059974283706014,9.747313828468323,9.45556746482849,87.90683441983643,104.33661263311767,102.64843576837157
611077764126144,15806294020004,ne,45.06330348120341,41.601452282714845,44.047377551269534,1476.4400959352256,850.8170492403991,1284.175168402881,19.712191329050007,24.94947032928467,20.89647886276245,256.83305463299854,333.6036210236816,341.6844988491211
570428845126144,14520641020004,ne,24.31765196523347,45.761680541992185,46.02504998779297,719.3098046681378,640.4569058759033,785.552512572528,20.745988732806648,30.1599928855896,27.310816020965575,221.34637010238959,444.98376745190427,444.7443206342773
247056409010661,75976921010538,ne,23.72263890630333,25.524416119384764,25.008467755126954,7143.339716316646,6320.185225941357,6597.65030111499,6.502227423397421,7.170315117835998,6.946630854606629,43.061738147983334,45.46180714401245,44.796207284729
171929092020004,144978105010661,ne,24.289939699630676,27.12327448120117,26.601678607177735,542.1452154391668,608.3407852389313,658.2450545135742,23.882880856518607,23.82444694519043,22.682239532470703,161.7498411181547,204.50685063952636,200.1027358724365
610880133126144,15802412020004,ne,28.3912150291524,32.47491184082031,32.05249422607422,854.4344396135381,1043.3548829756653,1163.0820697951171,20.56761457971215,19.90596640586853,18.730564556121827,157.48714553454292,219.36263979492185,215.2994167409668
70409074010538,52787461010538,ne,26.177813772131604,27.532755725097655,26.841387719726562,3054.4038079015195,3226.699457916138,3380.4371921925294,10.445633144131754,10.422471866607665,10.05405261516571,89.92509994679814,85.81820877374267,81.88873801556396
816546052290487,171871824020004,ne,46.5528141471247,45.96760794677734,45.834215307617185,912.6317053475102,862.403356582727,986.0899757681763,25.483349000350955,26.049291763305664,24.325506477355958,361.0312601531851,422.8929126474609,419.7171617614746
168989994020004,145021373010661,ne,20.995589383395252,23.48821908569336,21.631437341308594,1610.278334867099,1693.8396612015015,1616.22709494906,12.88382653109182,13.286603002548217,13.053188228607178,69.29964308647767,86.58853461553954,81.22779311846924
171138017020004,145024295010661,ne,23.285926613558985,25.273051135253905,24.832578656005857,1979.4784287619154,1816.2851731042235,1919.624661118762,12.237781194593945,13.309506158828736,12.832989702224731,115.1231469082812,129.55557642822265,127.47194537878417
724937162290487,168989300020004,ne,31.699154178636185,29.394107678222657,29.274206701660155,912.6317053475101,702.1606304898743,806.9108995862732,21.02845519141487,23.085381107330324,21.490916900634765,176.39551880205397,221.33262320654296,219.32606570153808
375519269489998,222469142010661,ne,36.53661105176923,40.39323903808594,40.49439322509765,1091.082690590008,1058.0572307864318,1205.45489617912,20.647458716618626,22.045749797821045,20.679835109710694,198.9668341943357,285.9039546741943,284.9466794068603
144992387010661,62287775010538,ne,29.093162170567503,29.10889442138672,28.96920614013672,1053.2622039910573,1390.8856600480224,1497.606709173999,18.75247185812245,16.322712497711183,15.692587442398072,202.60319726036502,244.89488979870603,242.85010272338866
168989589020004,145022731010661,ne,15.310173477909972,18.58173126831055,19.513260327148437,3423.603901796338,3188.147157614575,3718.6436776020264,7.545353789532799,8.613887372016906,8.173306221961976,4.567273784580927,8.001463999832152,7.8961369469261165
