variant,def_BA,cal_BA,def_TPH,cal_TPH,n
CR,18.980800760081685,18.88100563227106,-5.211469275003541,-5.423154651339451,25
CS,15.62940732344613,15.53159851483052,1.2750706226067618,1.1053198440605227,29
LS,16.504543782563683,16.68899786511478,-9.647262647879677,-10.19729646155921,36
NE,13.633776982065296,13.366991768081068,-10.879995191444635,-11.062669965019328,91
PN,18.760833147697703,18.582389928645988,-11.057584200876677,-15.14464785726627,53
SN,34.86924160989834,35.0573670764276,-2.3918035152504777,-2.620219942183567,59
UT,11.7970603796429,11.853070711520244,21.875978286140842,20.9146897216738,22
