variant,arm,n,BA%,TPH%,QMD%
ne,default,51,10.4,-11.3,12.1
ne,SEED,51,11.7,-1.3,3.3
ne,SEED+BAI0.85,51,10.5,-0.9,2.3
sn,default,45,16.8,-21.6,23.6
sn,SEED,45,22.1,1.0,9.1
sn,SEED+BAI0.85,45,20.2,1.7,7.8
kt,default,26,8.1,-49.4,30.3
kt,SEED,26,12.2,-21.0,8.8
kt,SEED+BAI0.85,26,7.3,-21.2,6.3
