species_idx,SPCD
1,11
2,15
3,17
4,19
5,20
6,21
7,22
8,42
9,73
10,81
11,93
12,98
13,108
14,116
15,117
16,119
17,122
18,202
19,231
20,242
21,263
22,264
23,312
24,351
25,361
26,375
27,431
28,492
29,542
30,747
31,768
32,805
33,815
34,818
