variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-6424.6495052,-6424.37145,5.3947204357735705,5.369013510000515,-6434.0958200000005,-6416.365155,1.0015107097558322,1538.4761659385754,2448.798284473086
b0[1],-1.673123764,-1.67077775,0.09135119409319663,0.09175366620000003,-1.8253390699999998,-1.527805145,1.0012414030439054,1759.7068396546772,2590.0988054794666
b0[2],-2.0877544065,-2.0894562,0.07838081574545916,0.07900716095999974,-2.2125933399999997,-1.954398115,1.0013594239852346,2547.9695440576656,3094.4125416704896
b0[3],-1.842083072865,-1.83275735,0.4843587064676128,0.47750150091000004,-2.67470154,-1.055898190000001,0.9997208347467794,3001.1300038459467,3220.2161666846177
b0[4],-1.505241353805,-1.5045131,0.28391677011829547,0.27957380786999997,-1.9768489649999998,-1.0360102200000005,1.0010172979354455,4109.290944830019,3110.721727724679
b0[5],-0.85792493195,-0.8571960249999999,0.1680634599746891,0.16449067454400002,-1.1411163300000002,-0.5874546785000001,1.0008153667203918,1807.3082313014045,2833.7792062485332
b0[6],-1.8194795781,-1.81821005,0.09993812204135406,0.09932945568000011,-1.98971022,-1.6595256600000003,1.000314172728411,2166.520741630755,2601.977678053896
b0[7],-1.208734295545725,-1.22131085,0.5514969967269573,0.537297316395,-2.10194708,-0.28606283350000056,1.0002711191908893,5993.523648072964,2951.983349419271
b0[8],-2.452670349725,-2.4429534000000004,0.3579073589178396,0.35055328287000076,-3.05632951,-1.8748678749999999,1.0001596433108566,2808.0732580945123,2880.1208352765693
b0[9],-0.60036611715,-0.60286107,0.11053635346174,0.11045461179899999,-0.775804057,-0.41086152099999995,1.001283763535816,2688.2031610377426,3288.952938145561
b0[10],-1.6278631439025,-1.6295028,0.19059390124723988,0.18503989601999993,-1.940541685,-1.3118564,1.000545089631267,2639.7761215157147,2786.601446632753
b0[11],-0.9679910132925,-0.9688101499999999,0.11650414929907828,0.11763089247000011,-1.159695415,-0.7765284015,1.0010527032844236,2752.887032637731,3112.4638591099397
b0[12],-1.4862875026,-1.48893035,0.0847038177399699,0.08497707224999994,-1.619540435,-1.34499411,1.0009398167649701,2359.6155756608746,2675.9006623983896
b0[13],-2.56728821635,-2.5628444999999997,0.35789912311829497,0.35753262236999994,-3.175650915,-1.97882196,1.001048063400302,2645.668995411877,2527.340478104219
b0[14],-1.437930395775,-1.44106965,0.10804846743110033,0.10758449834999993,-1.6101781200000003,-1.255722865,1.001185385578784,2915.974630009083,3198.626423866112
b0[15],-1.4570296228875,-1.4581458500000002,0.15685708798188927,0.15518715198000024,-1.714434795,-1.1966778999999999,1.0017891239459338,2021.672748887135,2387.629055048755
b0[16],-2.1974328213,-2.1961775,0.11976535367851793,0.11908258026,-2.395275155,-2.005026205,1.0010384665416092,2671.812720943122,2494.5136096054275
b0[17],-1.6581698986675,-1.6605636499999998,0.42706580070236033,0.40672121321999966,-2.36926882,-0.9749440140000001,1.0012298159508375,4046.0532308161373,2441.502277690273
b0[18],-0.53591597957844,-0.53563605,0.2601947321956114,0.251529769113,-0.966114583,-0.10525412500000005,1.001040565286752,3328.3479973378044,2939.2943936702027
b0[19],-1.778960922935,-1.7771436999999999,0.33455215178512593,0.3380726819400002,-2.33594508,-1.23573378,1.001756786710414,3134.8758440750667,3290.222108596024
b0[20],-0.475515201772705,-0.48068689,0.367103931374658,0.369514054119,-1.0662088650000001,0.12539228099999944,1.0017407533612614,2887.117195998229,3120.810831328473
b1[1],0.332289810105,0.33190032,0.038171108423272954,0.039207179088000046,0.26909727050000004,0.39307953649999994,1.000326434388535,1880.8705543200492,2946.140711663643
b1[2],0.39499220474,0.3950762,0.03568644846845362,0.035743380708000025,0.336482414,0.4536389245,1.0006145317483297,2506.7382806022656,3130.5100597170117
b1[3],-0.1942040155387496,-0.1853499,0.19532642684242693,0.19166581852109998,-0.5250729974999999,0.11376822149999999,0.9998582970921976,5320.573307866565,3141.7590422133158
b1[4],0.264125047542918,0.261437215,0.14600704473888285,0.144200656026,0.027939511350000005,0.5089683774999999,1.0016627268386522,4104.307827553171,2876.886345166082
b1[5],0.014125247140196,0.0130171035,0.05669588197504052,0.0571443996207,-0.07852168224999999,0.10743197749999989,1.0014903623701776,1967.4752153334964,2627.297449136844
b1[6],0.215727301551,0.215514975,0.04199122970451903,0.040342250234999995,0.14625663049999998,0.284651433,1.0009643047182157,2341.477120776917,2839.0176014468448
b1[7],0.086105471195042,0.0797123555,0.2548974274465716,0.2501424402477,-0.320787171,0.507259009,1.0026967350383769,6921.046370605578,2626.661278160842
b1[8],0.2334753734152975,0.235122105,0.14175499640302686,0.13995216935699997,-3.3646072849999965e-4,0.4628891929999999,1.0003917044037558,4015.64153947945,2769.852648072687
