component,variant,subset,arm,n,rmse,bias,r2,picp,mwidth,wr2
hg,ne,all,pure_sf,44065,0.314557529929433,-0.0658003890413911,0.11412965099031,0.927538863043232,1.54902516512071,0.206765297392197
hg,ne,all,hybrid,44065,0.314557529929433,-0.0658003890413911,0.11412965099031,0.927538863043232,1.54902516512071,0.206765297392197
hg,ne,all,legA_style,44065,0.318153007081206,-0.081840708625699,0.0937624385012494,0.924611369567684,1.47411400033865,0.144490917258746
hg,ne,all,global_only,44065,0.318153007081206,-0.081840708625699,0.0937624385012494,0.924611369567684,1.47411400033865,0.144490917258746
hg,ne,region,pure_sf,36376,0.335877799870454,-0.0692014080076053,0.0521319153742477,0.938805806025951,1.77299286613774,0.273949306307944
hg,ne,region,hybrid,36376,0.335877799870454,-0.0692014080076053,0.0521319153742477,0.938805806025951,1.77299286613774,0.273949306307944
hg,ne,region,legA_style,36376,0.338213747851745,-0.081963369370899,0.0389016867193509,0.941142511546074,1.70238679318391,0.265758617276534
hg,ne,region,global_only,36376,0.338213747851745,-0.081963369370899,0.0389016867193509,0.941142511546074,1.70238679318391,0.265758617276534
