VARIANT,LAT,LON,n,BA_RMSE_calib,BA_RMSE_default,VOL_RMSE_calib,VOL_RMSE_default,VOL_r2_calib,VOL_r2_default,BA_win_rate,VOL_win_rate,mean_ClimateSI,BA_RMSE_reduction,VOL_RMSE_reduction
AK,57.4667791884354,-138.080635340816,1470,30.1095383757,44.9729466618792,1017.80519947306,1585.16827982537,0.931937417538634,0.8349065514046,70.4081632653061,75.578231292517,62.6164761904762,33.0496651640974,35.7919778974385
WC,45.194729751246,-122.12116745401,4414,44.6872546549422,59.2176667610315,1748.11608244666,2518.15159985696,0.892374719785875,0.776674917413742,77.8658812868147,81.4907113729044,71.6603919347531,24.5372925021273,30.5793947216696
BM,44.8132808614925,-118.610888106269,3350,24.1485664362753,26.9580950049761,614.338014551045,795.71731887026,0.882136819372009,0.802266160972257,63.6716417910448,72,67.7763880597015,10.4218364397862,22.7944396857835
PN,45.9510880463673,-123.491336185104,2739,50.2495944482458,57.8047766157692,2002.73033730672,2536.63672249496,0.843473993561475,0.748893414539392,70.1350857977364,75.2464403066813,68.4132858707558,13.0701693006151,21.0478063513606
SO,42.8068428900812,-121.278514443155,3448,27.1424327240176,29.8946194882513,663.583880692529,826.774874685642,0.887529202577429,0.82540867585494,63.8921113689095,71.5197215777262,67.260469837587,9.20629468227658,19.7382623722283
TT,43.4645809341022,-111.246461695222,607,25.6224857212345,27.1531927483702,543.53312974977,670.944305050253,0.859533657246304,0.785960870603551,65.5683690280066,73.1466227347611,62.964118616145,5.63730034004034,18.9898288638041
EC,47.515846662707,-120.273503601872,2778,33.9962860186844,37.3735557394622,965.015497055621,1147.84832108576,0.877085495750608,0.826098405055855,61.699064074874,66.3066954643629,68.7574082073434,9.03652235907499,15.9283087034705
IE,47.5144049378773,-115.520834392857,3976,33.2223818583758,37.1886962121433,1012.61875454321,1198.00751220693,0.824839331042684,0.754832022386632,67.6307847082495,73.4657947686117,67.1234657947686,10.6653761969542,15.4747575265364
WS,37.9310287344199,-119.753271496165,2086,38.8403105039652,43.0960102757695,1180.56212522214,1384.89558443664,0.882262869045369,0.837979556136249,63.7104506232023,66.7305848513902,67.7135282837967,9.87492750389705,14.7544306957711
NC,40.5638751791511,-123.546433263421,1602,52.0429105423176,59.001634212353,1953.77707101909,2282.01730209461,0.870541731864818,0.823389043947491,68.1023720349563,72.9088639200999,68.9467540574282,11.7941202187557,14.3837748633297
CA,40.7122310338518,-122.477008285453,2186,36.3562565084609,39.8812006971853,1210.50995414017,1402.39226101009,0.86636698722441,0.820643945113454,58.9661482159195,65.1418115279049,68.9805215004575,8.83861099240469,13.682498984394
NE,42.5008738165487,-74.7645018903097,50989,21.654886803296,22.0700136562087,525.812544613772,592.762205491403,0.878200332730236,0.845209170995838,64.3432897291573,73.2001019827806,51.7255009904097,1.88095421860299,11.2945225349058
CS,38.7637541518303,-91.0510339245046,21445,16.460773031415,16.4116279389899,440.835718969289,495.447449881714,0.876871101622426,0.844474489259312,60.2005129400793,71.8489158311961,59.3945432501749,-0.29945287943336,11.0227090532939
CI,44.4830346391097,-115.117037274245,1258,26.7970617990249,28.6485380749428,696.924260627934,750.090290725596,0.790448521461147,0.757257035594398,61.9236883942766,62.1621621621622,63.4488553259142,6.46272515223828,7.08795071140472
LS,45.9345881248602,-90.373722733224,65257,19.9160350808384,19.6573811793461,459.682798313355,492.734469187956,0.87081794777826,0.85157346005906,59.7805599399298,67.7766369891353,49.7485054476914,-1.31581058093404,6.70780571309961
EM,46.4524584274128,-109.386175418491,2466,25.6572172765301,26.8533598276489,529.35002983411,561.430064907997,0.813773075719528,0.790517418083349,60.8272506082725,66.0989456609895,58.927396593674,4.45434969328212,5.71398595818767
CR,37.8563691696925,-105.070871426084,8097,28.2034750013272,27.569288150918,573.281649542918,595.540793892565,0.800012650658016,0.784181100127557,58.3919970359392,70.1617883166605,62.9867592935655,-2.30033814053383,3.73763553696415
UT,39.5718514551821,-111.566043210084,1428,28.7733027675552,27.7905900892703,597.103182657848,597.601927320852,0.744272649124192,0.743845265979506,55.952380952381,64.5658263305322,65.2119257703081,-3.53613462372751,0.083457673110332
SN,33.7029022027589,-85.4644005818751,230821,31.0055634468351,30.8309255513713,770.060780374223,760.516707932802,0.684919730504625,0.692681491160681,43.3504750434319,55.9606794875683,59.7814172201498,-0.566437407702147,-1.25494579433545
