CN,SPCD,SW,DBH,HT,TPA,FVS_BdFt,FIA_VOLBFNET,FVS_MCuFt,FIA_VOLCFNET,BF_ratio,CF_ratio,BF_per_CF_FVS,BF_per_CF_FIA
1167709554290487,12,True,10.3,43.0,6.018,42.000001987851554,39.588132,10.200000989868935,9.223887,1.0609240665321504,1.1058245823988233,4.117646854109887,4.2919142439624425
71878708010538,97,True,11.9,58.0,6.018,83.00000308319832,84.390445,18.5000000304263,19.739466,0.983523704409881,0.9372087385963885,4.486486645767088,4.275214182592376
1837995066290487,97,True,10.7,60.0,6.018,61.999999553747614,62.403057,15.100000545644967,16.417266,0.993541062479481,0.9197634091842677,4.105960086976898,3.8010626738946662
201975222010661,241,True,11.6,45.0,6.018,52.00000077079958,39.247207,13.000000192699895,11.565175,1.3249350653359762,1.1240642871984121,4.0,3.3935679313110265
245482952010661,241,True,11.4,50.0,6.018,52.00000077079958,39.253935,13.700000310348253,12.705958,1.3247079756666327,1.0782343456784802,3.7956204082361618,3.0894116760027064
233189247020004,241,True,11.1,55.0,6.018,30.999999776873807,38.333966,13.999999817442205,13.786978,0.8086822995792767,1.015450943451292,2.214285727222066,2.7804473177515767
75247808010538,97,True,12.1,68.0,6.018,98.99999707907527,96.867102,21.79999967950965,23.481547,1.0220187766025588,0.9283885631346883,4.541284336445554,4.125243622151471
300769052489998,97,True,10.2,52.0,6.018,47.00000137932557,48.440995,12.200001507116022,11.140131,0.9702526007016488,1.0951398603046967,3.852458653542902,4.348332618350717
233159329020004,129,True,10.3,60.0,6.018,52.00000077079958,46.586998,13.500000638952285,13.857354,1.116191276604678,0.974212006054856,3.8518517266407497,3.3618970836712405
1735129596290487,241,True,10.6,37.0,6.018,26.00000038539979,25.096269,9.100000261666173,8.079306,1.0360105872868908,1.1263343982349687,2.8571428173386995,3.1062406845340425
233195541020004,97,True,10.3,52.0,6.018,47.00000137932557,49.674904,12.40000117851199,13.280383,0.9461518311001783,0.9337081000233194,3.790322331643972,3.740472243910435
201992125010661,129,True,12.1,68.0,6.018,98.99999707907527,81.507599,20.899999890465324,20.835683,1.214610641138813,1.003086862593625,4.736841990331278,3.9119235496143805
169613670020004,97,True,11.7,59.0,6.018,78.0000036917243,80.892001,18.100000687634363,19.370511,0.9642486615175252,0.934410077650216,4.309392305438568,4.176038567077554
1167688468290487,97,True,11.2,64.0,6.018,78.0000036917243,73.75447,17.600000241381974,19.059667,1.0575630696244487,0.9234159359332968,4.431818330793367,3.8696620460367956
70259131010538,97,True,12.2,62.0,6.018,94.00000275865114,93.474099,20.599999115608902,22.177561,1.0056261976769751,0.9288667548072082,4.563107125933129,4.214805180786111
1203370753290487,129,True,12.0,76.0,6.018,104.00000154159916,84.822392,22.40000122922249,23.56216,1.2260913549997408,0.9506769001323516,4.642856956897097,3.5999412617518938
75309495010538,94,True,10.1,56.0,6.018,47.00000137932557,43.938855,12.399999910749523,12.386093,1.0696683238406093,1.0011227842992558,3.7903227191623934,3.5474346107364116
1536421940290487,12,True,11.3,55.0,6.018,61.999999553747614,65.973807,14.699999935090561,15.451151,0.9397668919386086,0.9513854298032918,4.21768706309628,4.269831224871209
1837996949290487,97,True,10.0,50.0,6.018,42.000001987851554,43.43255,11.300000450309229,12.037175,0.9670167187478413,0.938758508562784,3.716814187091666,3.6082012598470987
245497868010661,97,True,12.2,63.0,6.018,94.00000275865114,94.31599,20.899999890465324,22.505422,0.9966496959704408,0.9286650963694582,4.497607811066754,4.190811885242588
300802687489998,129,True,13.2,51.0,6.018,94.00000275865114,88.817323,20.000000101420998,18.557316,1.0583521275309224,1.0777420668711466,4.700000114098621,4.7861082389285174
1536417345290487,241,True,14.2,57.0,6.018,104.00000154159916,78.592886,23.90000003245472,21.065357,1.3232750040709687,1.1345642056982335,4.351464493739481,3.730906910336245
72015415010538,97,True,13.3,46.0,6.018,94.00000275865114,98.936301,19.29999998377264,19.874143,0.9501062987856311,0.9711110553935653,4.870466468273883,4.978141749307127
245441845010661,95,True,14.7,60.0,6.018,161.00000170387275,145.594356,30.900001208938292,27.485143,1.1058121078805607,1.1242437854130245,5.210355838345439,5.297202055670585
75909928010538,97,True,13.0,74.0,6.018,130.0000044625239,122.181897,27.200000949300538,28.887023,1.063987445394827,0.9415993108497382,4.779411761964181,4.22964654405544
1735130913290487,129,True,13.3,76.0,6.018,140.00000324547193,114.58842,27.700001395552924,28.423654,1.2217639727074685,0.9745404794032788,5.054151487080723,4.031445781038568
639415398126144,71,True,13.7,55.0,6.018,125.0,83.711397,23.600001793123234,17.449188,1.493225587908896,1.3524985685937496,5.296609767056185,4.797437966740917
1167697008290487,129,True,13.7,60.0,6.018,130.0000044625239,108.518602,24.50000158216756,23.584313,1.1979513379883375,1.038826171539004,5.306122288463238,4.601304350056751
