PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
65168045010538,36,2004,2010,6,ne,dg_only,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,dg_hg_organon,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,dg_hg_clim,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,full_dg_hg_organon_crw,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,full_dg_hg_clim_crw,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
65168045010538,36,2004,2010,6,ne,hg_organon_crw,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864,581.49814810404,1269.067480323954
247056940010661,24,2012,2019,7,ne,hg_organon_crw,52.77355194091797,124.54698944091797,8.814098358154297,1091.4744873046875,2941.27294921875,72.70805488944526,934.288203203282,2453.506850757968
171929084020004,33,2014,2021,7,ne,dg_only,90.19153594970703,171.1001739501953,9.830913543701172,2385.98876953125,3985.2158203125,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,dg_hg_organon,90.20223236083984,171.10008239746094,9.831501960754395,2486.33935546875,4244.041015625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,dg_hg_clim,90.18612670898438,171.10028076171875,9.830617904663086,2397.6416015625,4069.144775390625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,full_dg_hg_organon_crw,90.20223236083984,171.10008239746094,9.831501960754395,2486.33935546875,4244.041015625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,full_dg_hg_clim_crw,90.18612670898438,171.10028076171875,9.830617904663086,2397.6416015625,4069.144775390625,130.6981312106349,2301.495456133962,4642.618655911598
171929084020004,33,2014,2021,7,ne,hg_organon_crw,90.20223236083984,171.10008239746094,9.831501960754395,2486.33935546875,4244.041015625,130.6981312106349,2301.495456133962,4642.618655911598
168990062010661,36,2010,2015,5,ne,dg_only,141.4488525390625,158.55870056152344,12.789128303527832,4350.23876953125,17442.568359375,164.23947759328027,4271.18459801562,17789.069366542975
168990062010661,36,2010,2015,5,ne,dg_hg_organon,141.433837890625,158.5650177001953,12.78819751739502,4430.259765625,17981.43359375,164.23947759328027,4271.18459801562,17789.069366542975
168990062010661,36,2010,2015,5,ne,dg_hg_clim,141.4466094970703,158.55955505371094,12.788993835449219,4348.30810546875,17534.3359375,164.23947759328027,4271.18459801562,17789.069366542975
168990062010661,36,2010,2015,5,ne,full_dg_hg_organon_crw,141.433837890625,158.5650177001953,12.78819751739502,4430.259765625,17981.43359375,164.23947759328027,4271.18459801562,17789.069366542975
168990062010661,36,2010,2015,5,ne,full_dg_hg_clim_crw,141.4466094970703,158.55955505371094,12.788993835449219,4348.30810546875,17534.3359375,164.23947759328027,4271.18459801562,17789.069366542975
168990062010661,36,2010,2015,5,ne,hg_organon_crw,141.433837890625,158.5650177001953,12.78819751739502,4430.259765625,17981.43359375,164.23947759328027,4271.18459801562,17789.069366542975
58336932010538,42,2002,2007,5,ne,hg_organon_crw,150.49217224121094,160.23080444335938,13.122611999511719,5194.5205078125,21081.984375,147.81730553223446,4299.626768064382,16607.94188931
222518005010661,23,2011,2016,5,ne,dg_only,97.82026672363281,190.1112823486328,9.712851524353027,2466.5986328125,6310.13525390625,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,dg_hg_organon,97.81525421142578,190.1114501953125,9.71259880065918,2558.214111328125,6548.20166015625,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,dg_hg_clim,97.81761169433594,190.11138916015625,9.71271800994873,2494.255126953125,6291.20849609375,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,full_dg_hg_organon_crw,97.81525421142578,190.1114501953125,9.71259880065918,2558.214111328125,6548.20166015625,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,full_dg_hg_clim_crw,97.81761169433594,190.11138916015625,9.71271800994873,2494.255126953125,6291.20849609375,113.84453714782113,2175.64570506311,5961.701839711436
222518005010661,23,2011,2016,5,ne,hg_organon_crw,97.81525421142578,190.1114501953125,9.71259880065918,2558.214111328125,6548.20166015625,113.84453714782113,2175.64570506311,5961.701839711436
306265316489998,36,2016,2023,7,ne,dg_only,103.76045227050781,294.857177734375,8.03242015838623,2232.93115234375,1854.9383544921875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,dg_hg_organon,103.76325988769531,294.85693359375,8.032530784606934,2344.89453125,1943.5633544921875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,dg_hg_clim,103.76045227050781,294.857177734375,8.03242015838623,2232.93115234375,1854.9383544921875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,full_dg_hg_organon_crw,103.76325988769531,294.85693359375,8.032530784606934,2344.89453125,1943.5633544921875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,full_dg_hg_clim_crw,103.76045227050781,294.857177734375,8.03242015838623,2232.93115234375,1854.9383544921875,139.8301726657132,2339.356193147208,2107.886274399906
306265316489998,36,2016,2023,7,ne,hg_organon_crw,103.76325988769531,294.85693359375,8.032530784606934,2344.89453125,1943.5633544921875,139.8301726657132,2339.356193147208,2107.886274399906
15806956020004,36,2013,2020,7,ne,dg_only,62.95619201660156,106.14512634277344,10.428106307983398,1367.700439453125,4941.845703125,60.45728271635707,1022.125460194906,3473.5677360199297
15806956020004,36,2013,2020,7,ne,dg_hg_organon,62.95171356201172,106.1452407836914,10.427728652954102,1396.348876953125,4944.716796875,60.45728271635707,1022.125460194906,3473.5677360199297
15806956020004,36,2013,2020,7,ne,dg_hg_clim,62.956050872802734,106.14510345458984,10.428099632263184,1366.6363525390625,4911.74658203125,60.45728271635707,1022.125460194906,3473.5677360199297
15806956020004,36,2013,2020,7,ne,full_dg_hg_organon_crw,62.95171356201172,106.1452407836914,10.427728652954102,1396.348876953125,4944.716796875,60.45728271635707,1022.125460194906,3473.5677360199297
15806956020004,36,2013,2020,7,ne,full_dg_hg_clim_crw,62.956050872802734,106.14510345458984,10.428099632263184,1366.6363525390625,4911.74658203125,60.45728271635707,1022.125460194906,3473.5677360199297
15806956020004,36,2013,2020,7,ne,hg_organon_crw,62.95171356201172,106.1452407836914,10.427728652954102,1396.348876953125,4944.716796875,60.45728271635707,1022.125460194906,3473.5677360199297
247104235010661,42,2013,2019,6,ne,hg_organon_crw,56.22124481201172,119.02730560302734,9.306002616882324,1348.7078857421875,3203.62353515625,,,
168997422010661,42,2010,2016,6,ne,hg_organon_crw,58.62630844116211,124.52074432373047,9.29098892211914,1189.7301025390625,3651.148681640625,90.07323793044282,1152.400569355766,0.0
264094692489998,34,2015,2021,6,ne,hg_organon_crw,61.42118835449219,118.1848373413086,9.761456489562988,1494.28857421875,4112.46142578125,,,
222095078010661,42,2011,2017,6,ne,hg_organon_crw,41.519615173339844,71.20843505859375,10.339445114135742,1308.7369384765625,5028.3388671875,121.33171079794222,653.349061683218,0.0
68314232010538,42,2005,2010,5,ne,hg_organon_crw,86.94377136230469,130.87359619140625,11.036449432373047,2230.239990234375,6787.654296875,85.43051133133258,1281.546259787714,3429.262261509192
222518063010661,23,2011,2016,5,ne,dg_only,51.19670486450195,118.97415161132812,8.882411003112793,970.7412109375,2308.0048828125,118.7231359156662,1073.581528818476,2755.308030180712
222518063010661,23,2011,2016,5,ne,dg_hg_organon,51.19004821777344,118.97422790527344,8.881834030151367,1003.544189453125,2247.46240234375,118.7231359156662,1073.581528818476,2755.308030180712
222518063010661,23,2011,2016,5,ne,dg_hg_clim,51.196685791015625,118.97412872314453,8.88241195678711,970.7409057617188,2308.00439453125,118.7231359156662,1073.581528818476,2755.308030180712
222518063010661,23,2011,2016,5,ne,full_dg_hg_organon_crw,51.19004821777344,118.97422790527344,8.881834030151367,1003.544189453125,2247.46240234375,118.7231359156662,1073.581528818476,2755.308030180712
222518063010661,23,2011,2016,5,ne,full_dg_hg_clim_crw,51.196685791015625,118.97412872314453,8.88241195678711,970.7409057617188,2308.00439453125,118.7231359156662,1073.581528818476,2755.308030180712
222518063010661,23,2011,2016,5,ne,hg_organon_crw,51.19004821777344,118.97422790527344,8.881834030151367,1003.544189453125,2247.46240234375,118.7231359156662,1073.581528818476,2755.308030180712
375840652489998,42,2017,2024,7,ne,hg_organon_crw,87.16171264648438,82.51432037353516,13.916644096374512,2673.393798828125,12674.4501953125,92.50330828016808,2140.574482822014,9813.803074349176
171000830010661,24,2008,2013,5,ne,hg_organon_crw,62.47201919555664,35.57004165649414,17.944725036621094,1878.3446044921875,10848.6220703125,64.11581829788176,1208.595313598242,5996.798253493088
122562416010661,42,2007,2012,5,ne,hg_organon_crw,141.245849609375,225.31167602539062,10.720925331115723,4047.92578125,13927.2939453125,147.20353270102603,3645.965953544226,11865.065848819337
70445152010538,23,2005,2010,5,ne,dg_only,59.00485610961914,88.92850494384766,11.029597282409668,1479.3858642578125,6926.26025390625,83.67791077338723,1516.626350168002,6208.308371830122
70445152010538,23,2005,2010,5,ne,dg_hg_organon,59.0074577331543,88.92855834960938,11.02983570098877,1522.338623046875,6981.15380859375,83.67791077338723,1516.626350168002,6208.308371830122
70445152010538,23,2005,2010,5,ne,dg_hg_clim,59.00445556640625,88.92850494384766,11.029561996459961,1479.961181640625,6926.197265625,83.67791077338723,1516.626350168002,6208.308371830122
70445152010538,23,2005,2010,5,ne,full_dg_hg_organon_crw,59.0074577331543,88.92855834960938,11.02983570098877,1522.338623046875,6981.15380859375,83.67791077338723,1516.626350168002,6208.308371830122
70445152010538,23,2005,2010,5,ne,full_dg_hg_clim_crw,59.00445556640625,88.92850494384766,11.029561996459961,1479.961181640625,6926.197265625,83.67791077338723,1516.626350168002,6208.308371830122
70445152010538,23,2005,2010,5,ne,hg_organon_crw,59.0074577331543,88.92855834960938,11.02983570098877,1522.338623046875,6981.15380859375,83.67791077338723,1516.626350168002,6208.308371830122
