PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS
39637246010690,35,2010,2015,5,pn,default,68.47892761230469,77.5342025756836,12.725298881530762,1877.099609375,9945.59765625,87.74206636493567
39637246010690,35,2010,2015,5,pn,calibrated,68.49005889892578,77.55084228515625,12.72497272491455,1877.3876953125,9947.037109375,87.74206636493567
39637246010690,35,2010,2015,5,pn,hg_bayes,68.54855346679688,77.53416442871094,12.731771469116211,2133.8642578125,11616.5791015625,87.74206636493567
39637246010690,35,2010,2015,5,pn,hg_organon,68.54855346679688,77.53416442871094,12.731771469116211,2133.8642578125,11616.5791015625,87.74206636493567
39637246010690,35,2010,2015,5,pn,hg_conus_sp,68.47899627685547,77.5342025756836,12.72530460357666,1921.74755859375,10142.033203125,87.74206636493567
39637246010690,35,2010,2015,5,pn,hg_conus_clim,68.54854583740234,77.53416442871094,12.731770515441895,2126.17626953125,11566.0458984375,87.74206636493567
4804667010690,32,2004,2016,12,pn,default,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
4804667010690,32,2004,2016,12,pn,calibrated,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
4804667010690,32,2004,2016,12,pn,hg_bayes,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
4804667010690,32,2004,2016,12,pn,hg_organon,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
4804667010690,32,2004,2016,12,pn,hg_conus_sp,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
4804667010690,32,2004,2016,12,pn,hg_conus_clim,122.10369110107422,129.38446044921875,13.154050827026367,1304.744140625,6642.01220703125,118.88038658680881
37259185010690,35,2009,2018,9,pn,default,120.65044403076172,183.3370361328125,10.984380722045898,1111.9727783203125,5616.54541015625,106.35388934482815
