variant,config,n,MCuFt_obs_mean,MCuFt_pred_mean,MCuFt_bias_pct,MCuFt_RMSE,MCuFt_MAE,BdFt_obs_mean,BdFt_pred_mean,BdFt_bias_pct,BdFt_RMSE,BdFt_MAE,BA_obs_mean,BA_pred_mean,BA_bias_pct,BA_RMSE
ne,default,125,1766.8411695009665,2381.1162021484374,34.7668507645749,1087.295128738939,646.4233751402511,5538.2521005346625,8549.123625854492,54.365013918907025,6085.832817974408,3184.5905358492705,98.05578371222154,89.68929911994934,-8.532372365536878,34.77470050298888
ne,calibrated,125,1766.8411695009665,2338.6898236083985,32.36559482417693,997.1051370000794,610.3619355033711,5538.2521005346625,8426.85435986328,52.157290908619935,5718.719967427395,3064.4401072604032,98.05578371222154,88.04574670791627,-10.20851256840002,33.908908278300885
ne,greg_dg,125,1766.8411695009665,2619.8971510925294,48.28141863099688,1409.8976162237177,865.9677163807734,5538.2521005346625,10185.870895385742,83.9185127452468,9119.542881234998,4716.020842170612,98.05578371222154,97.32941540908813,-0.7407704835292434,37.3482931313947
ne,hg_bayes,125,1766.8411695009665,2459.040029876709,39.17719783330891,1147.1675542719736,710.554960627608,5538.2521005346625,8839.039479614257,59.59980367742626,6365.537338321959,3411.94589571896,98.05578371222154,89.68762125015259,-8.534083503557735,34.77297834511405
ne,hg_organon,125,1766.8411695009665,2459.040029876709,39.17719783330891,1147.1675542719736,710.554960627608,5538.2521005346625,8839.039479614257,59.59980367742626,6365.537338321959,3411.94589571896,98.05578371222154,89.68762125015259,-8.534083503557735,34.77297834511405
ne,hg_conus_sp,125,1766.8411695009665,2381.131781311035,34.767732516871966,1078.215922128698,641.5103481344119,5538.2521005346625,8598.899346679687,55.263776198442656,6124.090154624687,3218.957788412747,98.05578371222154,89.69390592002868,-8.52767422341314,34.7728197789104
ne,hg_conus_clim,125,1766.8411695009665,2385.497269744873,35.01481123052176,1088.4945644734294,649.3605779905929,5538.2521005346625,8578.041462036133,54.887161261727506,6107.773305340199,3205.5011703707546,98.05578371222154,89.68982554244995,-8.531835505312337,34.77449202145801
sn,default,109,1856.415087377556,2337.7729134515885,25.929428679337946,1245.3361842201466,780.8771463270033,6176.653651888056,7601.794268406859,23.073021361383475,6301.588236382135,3507.8020417073762,93.80965476440124,94.09104502091714,0.2999587379599576,49.10471877651967
sn,calibrated,109,1856.415087377556,2294.174207004932,23.580885686819745,1200.585158269471,763.9297420758289,6176.653651888056,7521.023944959728,21.765350120622852,6208.500030239974,3482.8071859971296,93.80965476440124,92.19012534290279,-1.726399511399793,47.794037485712565
sn,hg_bayes,109,1856.415087377556,2820.6182076690393,51.93898319656269,1661.129737304005,1086.4956991970075,6176.653651888056,8948.887030645248,44.882448247843506,7576.0268572706445,4166.222613209464,93.80965476440124,94.10598309543154,0.3158825515076363,49.112337577711855
