PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS
65956858010661,27,2002,2007,5,em,default,92.12545776367188,124.42985534667969,11.65101432800293,1658.115966796875,3098.61767578125,
65956858010661,27,2002,2007,5,em,calibrated,92.22935485839844,124.62639617919922,11.648393630981445,1660.1593017578125,3098.613525390625,
65956858010661,27,2002,2007,5,em,hg_bayes,92.12545776367188,124.42985534667969,11.65101432800293,1693.9453125,3098.61767578125,
65956858010661,27,2002,2007,5,em,hg_organon,92.12545776367188,124.42985534667969,11.65101432800293,1693.9453125,3098.61767578125,
65956858010661,27,2002,2007,5,em,hg_conus_sp,92.12545776367188,124.42985534667969,11.65101432800293,1669.583740234375,3098.61767578125,
65956858010661,27,2002,2007,5,em,hg_conus_clim,92.12545776367188,124.42985534667969,11.65101432800293,1658.115966796875,3098.61767578125,
102146602010661,27,2008,2013,5,em,default,99.53011322021484,130.60780334472656,11.82031536102295,2508.147705078125,10324.916015625,110.748020832425
102146602010661,27,2008,2013,5,em,calibrated,99.47325897216797,130.71408081054688,11.812131881713867,2505.9482421875,10306.6220703125,110.748020832425
102146602010661,27,2008,2013,5,em,hg_bayes,99.53011322021484,130.60780334472656,11.82031536102295,2551.470703125,10465.1650390625,110.748020832425
102146602010661,27,2008,2013,5,em,hg_organon,99.53011322021484,130.60780334472656,11.82031536102295,2551.470703125,10465.1650390625,110.748020832425
102146602010661,27,2008,2013,5,em,hg_conus_sp,99.53011322021484,130.60780334472656,11.82031536102295,2531.57177734375,10423.5419921875,110.748020832425
102146602010661,27,2008,2013,5,em,hg_conus_clim,99.53011322021484,130.60780334472656,11.82031536102295,2508.147705078125,10324.916015625,110.748020832425
231736927020004,27,2015,2020,5,em,default,31.547948837280273,65.36396026611328,9.407033920288086,531.2191772460938,1942.8875732421875,77.35456369182717
231736927020004,27,2015,2020,5,em,calibrated,31.506628036499023,65.15853881835938,9.415677070617676,531.15966796875,1941.9873046875,77.35456369182717
231736927020004,27,2015,2020,5,em,hg_bayes,31.547948837280273,65.36396026611328,9.407033920288086,542.4535522460938,1978.83837890625,77.35456369182717
231736927020004,27,2015,2020,5,em,hg_organon,31.547948837280273,65.36396026611328,9.407033920288086,542.4535522460938,1978.83837890625,77.35456369182717
231736927020004,27,2015,2020,5,em,hg_conus_sp,31.547948837280273,65.36396026611328,9.407033920288086,538.692138671875,1971.651611328125,77.35456369182717
