PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,model,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
40395284010690,30,2012,2022,10,em,fvs_base,115.05695343017578,270.5334777832031,8.830438613891602,2374.092529296875,11606.873046875,132.23354125473818,2138.3432019968245,5833.5729944399245
40395284010690,30,2012,2022,10,em,fvs_regional,113.21760559082031,265.4700927734375,8.84271240234375,2335.331298828125,11416.404296875,132.23354125473818,2138.3432019968245,5833.5729944399245
40395284010690,30,2012,2022,10,em,organon,95.23275756835938,215.48130798339844,9.001699447631836,2010.245361328125,9823.33203125,132.23354125473818,2138.3432019968245,5833.5729944399245
40395284010690,30,2012,2022,10,em,conus_spdep,95.41886138916016,215.7537078857422,9.004807472229004,2153.76171875,10504.0185546875,132.23354125473818,2138.3432019968245,5833.5729944399245
40395284010690,30,2012,2022,10,em,conus_climate,95.24168395996094,215.5087127685547,9.001553535461426,2013.9854736328125,9882.45703125,132.23354125473818,2138.3432019968245,5833.5729944399245
31452978010690,30,2008,2021,13,em,fvs_base,198.2321014404297,334.4284973144531,10.424896240234375,2619.564697265625,11850.5234375,,,
31452978010690,30,2008,2021,13,em,fvs_regional,198.7343292236328,334.125732421875,10.44282341003418,2628.08251953125,11892.44921875,,,
31452978010690,30,2008,2021,13,em,organon,145.5662078857422,216.04563903808594,11.11460018157959,2061.388916015625,9253.3076171875,,,
31452978010690,30,2008,2021,13,em,conus_spdep,146.541015625,217.4731903076172,11.115094184875488,2703.686767578125,13494.953125,,,
31452978010690,30,2008,2021,13,em,conus_climate,145.5438995361328,215.98277282714844,11.115365028381348,2032.447265625,9112.7890625,,,
66700333010661,46,2001,2006,5,em,fvs_base,46.12043380737305,53.63014602661133,12.55678653717041,725.3909301757812,3454.49755859375,39.54409428273684,532.931511870358,1336.302275791016
66700333010661,46,2001,2006,5,em,fvs_regional,46.1304817199707,53.64201354980469,12.556764602661133,725.5527954101562,3455.269287109375,39.54409428273684,532.931511870358,1336.302275791016
66700333010661,46,2001,2006,5,em,organon,39.9084358215332,46.0548095703125,12.60466194152832,631.7134399414062,2980.8212890625,39.54409428273684,532.931511870358,1336.302275791016
