PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS
65168045010538,36,2004,2010,6,ne,default,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864
65168045010538,36,2004,2010,6,ne,calibrated,35.701087951660156,59.63995361328125,10.476309776306152,732.7276611328125,1158.1298828125,36.14014914653864
65168045010538,36,2004,2010,6,ne,greg_dg,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864
65168045010538,36,2004,2010,6,ne,hg_organon,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864
65168045010538,36,2004,2010,6,ne,hg_conus_sp,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864
65168045010538,36,2004,2010,6,ne,hg_conus_clim,35.417144775390625,59.08415222167969,10.483529090881348,728.1835327148438,1154.6148681640625,36.14014914653864
247056940010661,24,2012,2019,7,ne,default,52.779449462890625,124.54708862304688,8.814586639404297,945.5091552734375,2611.32080078125,72.70805488944526
247056940010661,24,2012,2019,7,ne,calibrated,52.77439880371094,124.52769470214844,8.814848899841309,945.4551391601562,2611.25048828125,72.70805488944526
247056940010661,24,2012,2019,7,ne,hg_organon,52.77355194091797,124.54698944091797,8.814098358154297,1091.4744873046875,2941.27294921875,72.70805488944526
247056940010661,24,2012,2019,7,ne,hg_conus_sp,52.779483795166016,124.54696655273438,8.814598083496094,1009.1595458984375,2819.6279296875,72.70805488944526
247056940010661,24,2012,2019,7,ne,hg_conus_clim,52.77906036376953,124.54705047607422,8.814555168151855,975.433837890625,2809.55517578125,72.70805488944526
171929084020004,33,2014,2021,7,ne,default,90.19153594970703,171.1001739501953,9.830913543701172,2385.98876953125,3985.2158203125,130.6981312106349
171929084020004,33,2014,2021,7,ne,calibrated,90.09290313720703,170.75401306152344,9.835489273071289,2383.994384765625,3983.90380859375,130.6981312106349
171929084020004,33,2014,2021,7,ne,greg_dg,99.93563079833984,171.0940399169922,10.348536491394043,2663.750732421875,5271.3447265625,130.6981312106349
171929084020004,33,2014,2021,7,ne,hg_organon,90.20223236083984,171.10008239746094,9.831501960754395,2486.33935546875,4244.041015625,130.6981312106349
171929084020004,33,2014,2021,7,ne,hg_conus_sp,90.18370819091797,171.10037231445312,9.83048152923584,2358.165283203125,3870.1298828125,130.6981312106349
171929084020004,33,2014,2021,7,ne,hg_conus_clim,90.18612670898438,171.10028076171875,9.830617904663086,2397.6416015625,4069.144775390625,130.6981312106349
168990062010661,36,2010,2015,5,ne,default,141.4488525390625,158.55870056152344,12.789128303527832,4350.23876953125,17442.568359375,164.23947759328027
168990062010661,36,2010,2015,5,ne,calibrated,140.2735595703125,156.05203247070312,12.837767601013184,4324.00634765625,17393.9765625,164.23947759328027
168990062010661,36,2010,2015,5,ne,greg_dg,146.64247131347656,154.24951171875,13.202444076538086,4528.42822265625,18290.279296875,164.23947759328027
168990062010661,36,2010,2015,5,ne,hg_organon,141.433837890625,158.5650177001953,12.78819751739502,4430.259765625,17981.43359375,164.23947759328027
168990062010661,36,2010,2015,5,ne,hg_conus_sp,141.4473419189453,158.5592041015625,12.789036750793457,4296.58837890625,17358.919921875,164.23947759328027
168990062010661,36,2010,2015,5,ne,hg_conus_clim,141.4466094970703,158.55955505371094,12.788993835449219,4348.30810546875,17534.3359375,164.23947759328027
58336932010538,42,2002,2007,5,ne,default,150.4932098388672,160.23052978515625,13.12266731262207,5165.525390625,21051.74609375,147.81730553223446
58336932010538,42,2002,2007,5,ne,calibrated,144.87222290039062,151.3603057861328,13.247164726257324,5006.6845703125,20624.779296875,147.81730553223446
58336932010538,42,2002,2007,5,ne,hg_organon,150.49217224121094,160.23080444335938,13.122611999511719,5194.5205078125,21081.984375,147.81730553223446
58336932010538,42,2002,2007,5,ne,hg_conus_sp,150.4968719482422,160.22898864746094,13.122889518737793,5085.234375,20861.419921875,147.81730553223446
58336932010538,42,2002,2007,5,ne,hg_conus_clim,150.4932098388672,160.23052978515625,13.12266731262207,5165.525390625,21051.74609375,147.81730553223446
222518005010661,23,2011,2016,5,ne,default,97.82026672363281,190.1112823486328,9.712851524353027,2466.5986328125,6310.13525390625,113.84453714782113
222518005010661,23,2011,2016,5,ne,calibrated,97.49099731445312,189.08006286621094,9.722898483276367,2460.72998046875,6304.14013671875,113.84453714782113
222518005010661,23,2011,2016,5,ne,greg_dg,104.77288055419922,190.106201171875,10.05223274230957,2663.906494140625,7193.45166015625,113.84453714782113
222518005010661,23,2011,2016,5,ne,hg_organon,97.81525421142578,190.1114501953125,9.71259880065918,2558.214111328125,6548.20166015625,113.84453714782113
222518005010661,23,2011,2016,5,ne,hg_conus_sp,97.81940460205078,190.11146545410156,9.712804794311523,2472.586181640625,6319.1044921875,113.84453714782113
222518005010661,23,2011,2016,5,ne,hg_conus_clim,97.81761169433594,190.11138916015625,9.71271800994873,2494.255126953125,6291.20849609375,113.84453714782113
306265316489998,36,2016,2023,7,ne,default,103.76045227050781,294.857177734375,8.03242015838623,2232.93115234375,1854.9383544921875,139.8301726657132
306265316489998,36,2016,2023,7,ne,calibrated,102.70887756347656,291.22491455078125,8.04129409790039,2214.526611328125,1851.354248046875,139.8301726657132
