species_idx,SPCD
1,11
2,15
3,17
4,19
5,20
6,21
7,22
8,41
9,42
10,64
11,65
12,66
13,72
14,73
15,81
16,93
17,98
18,101
19,103
20,108
21,113
22,116
23,117
24,119
25,122
26,202
27,231
28,242
29,263
30,264
31,312
32,322
33,351
34,352
35,361
36,374
37,375
38,431
39,475
40,492
41,542
42,544
43,631
44,745
45,746
46,747
47,749
48,763
49,768
50,805
51,815
52,818
53,981
