scale,key,engine,scenario,year,total_TgC,total_lo,total_hi,mean_MgC_ha,n_plots
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2080,0.063,0.063,0.063,151.36,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2105,0.076,0.076,0.076,175.87,2
ecoregion,Algonquin/Southern Laurentians,default,reserve (no harvest),2125,0.084,0.084,0.084,188.56,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2030,0.023,0.023,0.023,39.6,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2055,0.036,0.036,0.036,91.79,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2080,0.041,0.041,0.041,101.05,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2105,0.038,0.038,0.038,86.86,2
ecoregion,Algonquin/Southern Laurentians,default,managed (harvest),2125,0.034,0.034,0.034,72.94,2
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2030,26.552,20.166,33.856,5.99,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2055,69.436,56.139,87.707,15.18,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2080,113.739,86.399,149.845,24.2,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2105,154.123,111.271,211.99,31.42,1276
ecoregion,Arizona/New Mexico Mountains,default,reserve (no harvest),2125,178.899,124.213,249.203,35.12,1276
ecoregion,Arizona/New Mexico Mountains,default,managed (harvest),2030,26.552,19.504,33.615,5.99,1276
ecoregion,Arizona/New Mexico Mountains,default,managed (harvest),2055,56.405,44.591,73.546,12.24,1276
ecoregion,Arizona/New Mexico Mountains,default,managed (harvest),2080,73.041,51.248,95.749,15.26,1276
ecoregion,Arizona/New Mexico Mountains,default,managed (harvest),2105,77.617,53.368,111.732,15.0,1276
ecoregion,Arizona/New Mexico Mountains,default,managed (harvest),2125,71.942,42.438,117.637,12.82,1276
ecoregion,Arizona/New Mexico Plateau,default,reserve (no harvest),2030,0.969,0.248,2.223,0.63,538
ecoregion,Arizona/New Mexico Plateau,default,reserve (no harvest),2055,2.481,0.705,5.29,1.57,538
ecoregion,Arizona/New Mexico Plateau,default,reserve (no harvest),2080,4.03,1.176,8.361,2.66,538
ecoregion,Arizona/New Mexico Plateau,default,reserve (no harvest),2105,5.458,1.757,11.29,3.67,538
ecoregion,Arizona/New Mexico Plateau,default,reserve (no harvest),2125,6.405,1.893,12.579,4.23,538
ecoregion,Arizona/New Mexico Plateau,default,managed (harvest),2030,0.969,0.217,2.027,0.63,538
ecoregion,Arizona/New Mexico Plateau,default,managed (harvest),2055,2.007,0.502,4.202,1.26,538
ecoregion,Arizona/New Mexico Plateau,default,managed (harvest),2080,2.573,0.687,5.648,1.74,538
ecoregion,Arizona/New Mexico Plateau,default,managed (harvest),2105,2.739,0.891,6.038,1.9,538
ecoregion,Arizona/New Mexico Plateau,default,managed (harvest),2125,2.61,0.762,5.635,1.72,538
ecoregion,Arkansas Valley,default,reserve (no harvest),2030,51.581,43.452,64.962,47.36,231
ecoregion,Arkansas Valley,default,reserve (no harvest),2055,121.303,98.73,151.54,110.03,231
ecoregion,Arkansas Valley,default,reserve (no harvest),2080,167.044,134.413,199.275,152.51,231
ecoregion,Arkansas Valley,default,reserve (no harvest),2105,194.252,157.178,228.332,177.29,231
ecoregion,Arkansas Valley,default,reserve (no harvest),2125,206.896,166.368,252.365,188.67,231
ecoregion,Arkansas Valley,default,managed (harvest),2030,51.581,40.112,61.737,47.36,231
ecoregion,Arkansas Valley,default,managed (harvest),2055,94.888,77.285,111.978,85.63,231
ecoregion,Arkansas Valley,default,managed (harvest),2080,92.027,73.253,109.409,84.11,231
ecoregion,Arkansas Valley,default,managed (harvest),2105,72.229,57.866,84.436,65.77,231
ecoregion,Arkansas Valley,default,managed (harvest),2125,55.485,46.754,66.574,50.45,231
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,reserve (no harvest),2030,0.92,0.244,1.834,39.43,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,reserve (no harvest),2055,2.591,0.652,5.338,78.17,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,reserve (no harvest),2080,3.611,0.681,7.629,107.71,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,reserve (no harvest),2105,4.615,1.426,9.361,137.81,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,reserve (no harvest),2125,5.398,1.012,10.582,158.53,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,managed (harvest),2030,0.92,0.207,1.889,39.43,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,managed (harvest),2055,1.984,0.368,3.78,51.52,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,managed (harvest),2080,1.701,0.423,3.357,47.44,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,managed (harvest),2105,1.592,0.364,3.41,46.45,12
ecoregion,Aspen Parkland/Northern Glaciated Plains,default,managed (harvest),2125,1.54,0.344,3.15,42.35,12
ecoregion,Atlantic Coastal Pine Barrens,default,reserve (no harvest),2030,22.539,14.365,32.913,39.73,100
ecoregion,Atlantic Coastal Pine Barrens,default,reserve (no harvest),2055,56.387,39.59,77.904,104.35,100
ecoregion,Atlantic Coastal Pine Barrens,default,reserve (no harvest),2080,77.719,58.273,102.707,150.36,100
ecoregion,Atlantic Coastal Pine Barrens,default,reserve (no harvest),2105,91.442,72.348,120.855,175.68,100
ecoregion,Atlantic Coastal Pine Barrens,default,reserve (no harvest),2125,99.041,74.342,131.688,188.41,100
ecoregion,Atlantic Coastal Pine Barrens,default,managed (harvest),2030,22.539,14.474,33.341,39.73,100
ecoregion,Atlantic Coastal Pine Barrens,default,managed (harvest),2055,44.713,33.952,59.908,83.91,100
ecoregion,Atlantic Coastal Pine Barrens,default,managed (harvest),2080,42.918,33.926,53.304,86.72,100
ecoregion,Atlantic Coastal Pine Barrens,default,managed (harvest),2105,34.467,26.46,43.686,67.46,100
ecoregion,Atlantic Coastal Pine Barrens,default,managed (harvest),2125,27.819,19.241,37.143,52.43,100
