scale,key,engine,scenario,year,total_TgC,total_lo,total_hi,mean_MgC_ha,n_plots
ecoregion,Columbia Plateau,default,managed (harvest),2125,11.048,7.736,14.768,31.49,50
ecoregion,Cross Timbers,default,reserve (no harvest),2030,43.001,31.316,52.199,41.8,388
ecoregion,Cross Timbers,default,reserve (no harvest),2055,133.363,99.606,167.428,105.13,388
ecoregion,Cross Timbers,default,reserve (no harvest),2080,202.592,150.499,261.275,157.76,388
ecoregion,Cross Timbers,default,reserve (no harvest),2105,243.218,187.844,313.914,192.76,388
ecoregion,Cross Timbers,default,reserve (no harvest),2125,260.423,195.425,325.773,209.27,388
ecoregion,Cross Timbers,default,managed (harvest),2030,43.001,32.13,52.657,41.8,388
ecoregion,Cross Timbers,default,managed (harvest),2055,106.277,81.322,131.929,76.95,388
ecoregion,Cross Timbers,default,managed (harvest),2080,109.069,80.403,139.897,77.64,388
ecoregion,Cross Timbers,default,managed (harvest),2105,81.196,62.532,100.745,60.0,388
ecoregion,Cross Timbers,default,managed (harvest),2125,57.561,43.943,73.235,43.92,388
ecoregion,Driftless Area,default,reserve (no harvest),2030,64.62,57.208,73.657,48.23,393
ecoregion,Driftless Area,default,reserve (no harvest),2055,142.359,127.993,155.333,104.98,393
ecoregion,Driftless Area,default,reserve (no harvest),2080,197.021,177.79,220.283,145.38,393
ecoregion,Driftless Area,default,reserve (no harvest),2105,230.981,207.054,258.982,170.89,393
ecoregion,Driftless Area,default,reserve (no harvest),2125,249.12,221.123,274.107,184.62,393
ecoregion,Driftless Area,default,managed (harvest),2030,64.62,56.558,73.973,48.23,393
ecoregion,Driftless Area,default,managed (harvest),2055,118.565,103.899,132.972,87.14,393
ecoregion,Driftless Area,default,managed (harvest),2080,129.466,112.841,148.095,95.32,393
ecoregion,Driftless Area,default,managed (harvest),2105,115.773,102.201,130.16,85.67,393
ecoregion,Driftless Area,default,managed (harvest),2125,99.903,87.552,111.869,74.18,393
ecoregion,East Central Texas Plains,default,reserve (no harvest),2030,35.671,29.555,43.872,41.19,205
ecoregion,East Central Texas Plains,default,reserve (no harvest),2055,108.937,85.701,134.208,101.53,205
ecoregion,East Central Texas Plains,default,reserve (no harvest),2080,160.261,126.729,196.366,140.28,205
ecoregion,East Central Texas Plains,default,reserve (no harvest),2105,187.094,147.923,236.811,157.86,205
ecoregion,East Central Texas Plains,default,reserve (no harvest),2125,196.493,151.468,246.477,163.72,205
ecoregion,East Central Texas Plains,default,managed (harvest),2030,35.671,28.765,43.297,41.19,205
ecoregion,East Central Texas Plains,default,managed (harvest),2055,81.867,63.92,97.765,70.27,205
ecoregion,East Central Texas Plains,default,managed (harvest),2080,71.064,54.677,90.088,55.7,205
ecoregion,East Central Texas Plains,default,managed (harvest),2105,44.202,30.493,60.584,31.18,205
ecoregion,East Central Texas Plains,default,managed (harvest),2125,27.457,19.392,39.432,18.92,205
ecoregion,Eastern Cascades Slopes and Foothills,default,reserve (no harvest),2030,40.535,34.721,47.213,30.52,753
ecoregion,Eastern Cascades Slopes and Foothills,default,reserve (no harvest),2055,112.545,99.232,130.686,74.17,753
ecoregion,Eastern Cascades Slopes and Foothills,default,reserve (no harvest),2080,170.98,144.011,196.51,112.02,753
ecoregion,Eastern Cascades Slopes and Foothills,default,reserve (no harvest),2105,207.402,175.482,237.952,137.31,753
ecoregion,Eastern Cascades Slopes and Foothills,default,reserve (no harvest),2125,226.006,195.758,263.284,150.16,753
ecoregion,Eastern Cascades Slopes and Foothills,default,managed (harvest),2030,40.535,34.814,47.29,30.52,753
ecoregion,Eastern Cascades Slopes and Foothills,default,managed (harvest),2055,77.386,66.22,91.101,47.89,753
ecoregion,Eastern Cascades Slopes and Foothills,default,managed (harvest),2080,67.922,59.351,78.159,44.29,753
ecoregion,Eastern Cascades Slopes and Foothills,default,managed (harvest),2105,45.11,39.228,51.852,31.31,753
ecoregion,Eastern Cascades Slopes and Foothills,default,managed (harvest),2125,32.182,27.511,38.416,22.57,753
ecoregion,Eastern Corn Belt Plains,default,reserve (no harvest),2030,40.754,25.355,59.559,40.65,168
ecoregion,Eastern Corn Belt Plains,default,reserve (no harvest),2055,93.779,61.373,135.734,97.1,168
ecoregion,Eastern Corn Belt Plains,default,reserve (no harvest),2080,136.833,92.287,204.459,142.56,168
ecoregion,Eastern Corn Belt Plains,default,reserve (no harvest),2105,162.534,92.728,244.931,173.23,168
ecoregion,Eastern Corn Belt Plains,default,reserve (no harvest),2125,175.88,109.076,261.309,188.54,168
ecoregion,Eastern Corn Belt Plains,default,managed (harvest),2030,40.754,22.233,59.893,40.65,168
ecoregion,Eastern Corn Belt Plains,default,managed (harvest),2055,63.202,38.522,86.962,68.89,168
ecoregion,Eastern Corn Belt Plains,default,managed (harvest),2080,59.194,34.757,86.538,67.21,168
ecoregion,Eastern Corn Belt Plains,default,managed (harvest),2105,40.782,23.83,60.741,52.4,168
ecoregion,Eastern Corn Belt Plains,default,managed (harvest),2125,29.991,18.711,43.793,39.81,168
ecoregion,Eastern Great Lakes Lowlands,default,reserve (no harvest),2030,71.577,50.805,92.79,58.46,197
ecoregion,Eastern Great Lakes Lowlands,default,reserve (no harvest),2055,141.31,113.83,174.429,121.57,197
ecoregion,Eastern Great Lakes Lowlands,default,reserve (no harvest),2080,193.27,158.313,243.341,166.19,197
ecoregion,Eastern Great Lakes Lowlands,default,reserve (no harvest),2105,226.793,181.96,275.852,195.97,197
ecoregion,Eastern Great Lakes Lowlands,default,reserve (no harvest),2125,243.397,195.661,299.041,211.41,197
ecoregion,Eastern Great Lakes Lowlands,default,managed (harvest),2030,71.577,54.098,95.335,58.46,197
ecoregion,Eastern Great Lakes Lowlands,default,managed (harvest),2055,112.093,93.197,138.258,97.61,197
ecoregion,Eastern Great Lakes Lowlands,default,managed (harvest),2080,118.207,96.573,150.853,102.17,197
ecoregion,Eastern Great Lakes Lowlands,default,managed (harvest),2105,103.565,82.584,126.113,90.27,197
ecoregion,Eastern Great Lakes Lowlands,default,managed (harvest),2125,86.497,70.063,105.838,76.33,197
ecoregion,Edwards Plateau,default,reserve (no harvest),2030,15.807,10.322,24.984,27.26,521
ecoregion,Edwards Plateau,default,reserve (no harvest),2055,54.242,38.888,74.054,83.07,521
ecoregion,Edwards Plateau,default,reserve (no harvest),2080,110.813,75.698,137.741,156.58,521
ecoregion,Edwards Plateau,default,reserve (no harvest),2105,165.623,122.896,203.675,223.49,521
ecoregion,Edwards Plateau,default,reserve (no harvest),2125,194.822,146.16,254.854,258.44,521
ecoregion,Edwards Plateau,default,managed (harvest),2030,15.807,9.799,23.269,27.26,521
ecoregion,Edwards Plateau,default,managed (harvest),2055,42.247,31.462,54.4,62.39,521
ecoregion,Edwards Plateau,default,managed (harvest),2080,66.758,48.711,84.752,88.56,521
ecoregion,Edwards Plateau,default,managed (harvest),2105,70.914,50.398,90.117,88.31,521
ecoregion,Edwards Plateau,default,managed (harvest),2125,57.148,44.266,73.435,69.73,521
ecoregion,Erie Drift Plain,default,reserve (no harvest),2030,32.053,22.231,45.192,44.34,98
ecoregion,Erie Drift Plain,default,reserve (no harvest),2055,71.944,48.826,96.03,105.26,98
ecoregion,Erie Drift Plain,default,reserve (no harvest),2080,100.95,72.03,129.63,152.52,98
ecoregion,Erie Drift Plain,default,reserve (no harvest),2105,118.62,83.443,153.28,183.32,98
ecoregion,Erie Drift Plain,default,reserve (no harvest),2125,127.305,93.108,169.019,198.31,98
ecoregion,Erie Drift Plain,default,managed (harvest),2030,32.053,22.362,41.574,44.34,98
ecoregion,Erie Drift Plain,default,managed (harvest),2055,50.904,35.73,66.019,75.68,98
ecoregion,Erie Drift Plain,default,managed (harvest),2080,47.408,33.259,64.569,74.19,98
ecoregion,Erie Drift Plain,default,managed (harvest),2105,35.534,24.35,51.229,58.4,98
ecoregion,Erie Drift Plain,default,managed (harvest),2125,27.024,17.191,38.467,44.98,98
ecoregion,Flint Hills,default,reserve (no harvest),2030,0.328,0.096,0.563,31.04,13
ecoregion,Flint Hills,default,reserve (no harvest),2055,1.068,0.334,2.214,75.66,13
ecoregion,Flint Hills,default,reserve (no harvest),2080,1.496,0.514,2.737,104.01,13
ecoregion,Flint Hills,default,reserve (no harvest),2105,1.821,0.657,3.364,124.38,13
ecoregion,Flint Hills,default,reserve (no harvest),2125,1.979,0.604,3.664,134.83,13
ecoregion,Flint Hills,default,managed (harvest),2030,0.328,0.101,0.666,31.04,13
ecoregion,Flint Hills,default,managed (harvest),2055,0.777,0.207,1.822,48.57,13
ecoregion,Flint Hills,default,managed (harvest),2080,0.515,0.223,0.923,34.69,13
ecoregion,Flint Hills,default,managed (harvest),2105,0.392,0.16,0.681,25.69,13
ecoregion,Flint Hills,default,managed (harvest),2125,0.283,0.116,0.463,19.21,13
ecoregion,High Plains,default,reserve (no harvest),2030,2.321,0.915,4.03,19.39,49
ecoregion,High Plains,default,reserve (no harvest),2055,6.016,2.856,10.064,62.9,49
ecoregion,High Plains,default,reserve (no harvest),2080,8.895,4.799,15.196,111.62,49
ecoregion,High Plains,default,reserve (no harvest),2105,10.842,5.637,16.372,148.23,49
ecoregion,High Plains,default,reserve (no harvest),2125,11.824,6.299,19.432,166.31,49
ecoregion,High Plains,default,managed (harvest),2030,2.321,1.055,3.844,19.39,49
ecoregion,High Plains,default,managed (harvest),2055,3.669,2.046,5.776,45.28,49
ecoregion,High Plains,default,managed (harvest),2080,2.826,1.575,4.327,55.33,49
ecoregion,High Plains,default,managed (harvest),2105,1.915,0.977,2.933,46.83,49
ecoregion,High Plains,default,managed (harvest),2125,1.344,0.706,2.185,34.78,49
ecoregion,Huron/Erie Lake Plains,default,reserve (no harvest),2030,12.018,6.752,18.418,52.21,85
ecoregion,Huron/Erie Lake Plains,default,reserve (no harvest),2055,29.434,17.723,42.493,108.95,85
ecoregion,Huron/Erie Lake Plains,default,reserve (no harvest),2080,41.841,25.029,62.1,147.66,85
ecoregion,Huron/Erie Lake Plains,default,reserve (no harvest),2105,49.375,26.912,76.82,173.91,85
ecoregion,Huron/Erie Lake Plains,default,reserve (no harvest),2125,54.339,27.792,83.373,187.5,85
ecoregion,Huron/Erie Lake Plains,default,managed (harvest),2030,12.018,6.367,20.017,52.21,85
ecoregion,Huron/Erie Lake Plains,default,managed (harvest),2055,24.639,14.359,36.315,87.43,85
ecoregion,Huron/Erie Lake Plains,default,managed (harvest),2080,27.097,15.175,40.191,90.69,85
ecoregion,Huron/Erie Lake Plains,default,managed (harvest),2105,23.954,12.079,36.19,80.67,85
ecoregion,Huron/Erie Lake Plains,default,managed (harvest),2125,21.439,10.983,36.612,68.71,85
ecoregion,Idaho Batholith,default,reserve (no harvest),2030,46.458,40.667,51.795,23.48,734
ecoregion,Idaho Batholith,default,reserve (no harvest),2055,117.535,103.274,131.286,54.71,734
ecoregion,Idaho Batholith,default,reserve (no harvest),2080,171.516,151.626,196.057,78.9,734
ecoregion,Idaho Batholith,default,reserve (no harvest),2105,210.76,188.197,238.206,97.56,734
ecoregion,Idaho Batholith,default,reserve (no harvest),2125,235.407,205.98,257.801,109.52,734
ecoregion,Idaho Batholith,default,managed (harvest),2030,46.458,40.227,53.022,23.48,734
ecoregion,Idaho Batholith,default,managed (harvest),2055,75.935,65.91,85.113,33.76,734
ecoregion,Idaho Batholith,default,managed (harvest),2080,61.627,53.573,71.177,27.68,734
ecoregion,Idaho Batholith,default,managed (harvest),2105,45.616,40.143,52.026,21.59,734
ecoregion,Idaho Batholith,default,managed (harvest),2125,37.69,32.316,42.976,18.14,734
ecoregion,Interior Plateau,default,reserve (no harvest),2030,250.091,214.319,287.254,45.02,896
ecoregion,Interior Plateau,default,reserve (no harvest),2055,522.376,447.483,584.192,102.28,896
ecoregion,Interior Plateau,default,reserve (no harvest),2080,729.186,637.155,826.18,146.52,896
ecoregion,Interior Plateau,default,reserve (no harvest),2105,860.19,755.054,963.66,174.32,896
ecoregion,Interior Plateau,default,reserve (no harvest),2125,925.647,809.794,1028.765,188.05,896
ecoregion,Interior Plateau,default,managed (harvest),2030,250.091,213.815,286.597,45.02,896
ecoregion,Interior Plateau,default,managed (harvest),2055,384.104,340.583,435.447,77.14,896
ecoregion,Interior Plateau,default,managed (harvest),2080,378.87,333.295,420.233,78.09,896
ecoregion,Interior Plateau,default,managed (harvest),2105,302.496,267.295,347.417,62.35,896
ecoregion,Interior Plateau,default,managed (harvest),2125,236.623,205.685,265.953,48.46,896
ecoregion,Interior River Valleys and Hills,default,reserve (no harvest),2030,110.004,87.705,133.663,42.34,421
ecoregion,Interior River Valleys and Hills,default,reserve (no harvest),2055,245.492,208.921,293.042,97.0,421
ecoregion,Interior River Valleys and Hills,default,reserve (no harvest),2080,339.477,277.047,407.996,137.46,421
ecoregion,Interior River Valleys and Hills,default,reserve (no harvest),2105,392.517,321.876,480.453,162.33,421
ecoregion,Interior River Valleys and Hills,default,reserve (no harvest),2125,416.924,340.178,511.115,173.93,421
ecoregion,Interior River Valleys and Hills,default,managed (harvest),2030,110.004,88.603,133.662,42.34,421
ecoregion,Interior River Valleys and Hills,default,managed (harvest),2055,181.522,153.054,216.202,72.67,421
ecoregion,Interior River Valleys and Hills,default,managed (harvest),2080,170.455,140.005,204.767,71.33,421
ecoregion,Interior River Valleys and Hills,default,managed (harvest),2105,125.314,106.948,146.791,55.33,421
ecoregion,Interior River Valleys and Hills,default,managed (harvest),2125,92.267,77.298,111.879,41.78,421
ecoregion,Klamath Mountains,default,reserve (no harvest),2030,106.375,85.731,126.773,50.04,687
ecoregion,Klamath Mountains,default,reserve (no harvest),2055,333.414,285.44,381.307,149.81,687
ecoregion,Klamath Mountains,default,reserve (no harvest),2080,557.048,471.036,652.597,245.76,687
ecoregion,Klamath Mountains,default,reserve (no harvest),2105,709.965,623.684,846.732,312.48,687
ecoregion,Klamath Mountains,default,reserve (no harvest),2125,798.471,692.659,921.734,351.91,687
ecoregion,Klamath Mountains,default,managed (harvest),2030,106.375,88.336,128.913,50.04,687
ecoregion,Klamath Mountains,default,managed (harvest),2055,235.565,208.279,276.368,103.52,687
ecoregion,Klamath Mountains,default,managed (harvest),2080,241.024,209.531,282.094,103.07,687
ecoregion,Klamath Mountains,default,managed (harvest),2105,171.86,141.396,203.884,74.55,687
ecoregion,Klamath Mountains,default,managed (harvest),2125,134.743,111.902,164.611,59.24,687
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,reserve (no harvest),2030,6.744,4.838,8.868,61.03,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,reserve (no harvest),2055,16.62,11.901,20.731,133.21,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,reserve (no harvest),2080,23.469,16.398,29.993,183.91,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,reserve (no harvest),2105,26.516,18.674,32.654,208.87,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,reserve (no harvest),2125,28.018,20.644,36.366,220.64,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,managed (harvest),2030,6.744,4.816,9.245,61.03,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,managed (harvest),2055,14.241,10.431,18.35,110.14,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,managed (harvest),2080,16.198,11.47,20.062,120.88,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,managed (harvest),2105,13.704,10.464,17.202,102.45,50
ecoregion,Lake Manitoba and Lake Agassiz Plain,default,managed (harvest),2125,11.466,8.726,14.782,85.16,50
ecoregion,Madrean Archipelago,default,reserve (no harvest),2030,0.902,0.197,1.882,4.89,83
ecoregion,Madrean Archipelago,default,reserve (no harvest),2055,3.304,0.637,7.187,13.91,83
ecoregion,Madrean Archipelago,default,reserve (no harvest),2080,7.518,1.531,15.606,27.48,83
ecoregion,Madrean Archipelago,default,reserve (no harvest),2105,12.88,2.177,28.204,42.48,83
ecoregion,Madrean Archipelago,default,reserve (no harvest),2125,16.588,2.612,35.277,51.37,83
ecoregion,Madrean Archipelago,default,managed (harvest),2030,0.902,0.199,1.923,4.89,83
ecoregion,Madrean Archipelago,default,managed (harvest),2055,2.862,0.505,6.75,11.51,83
ecoregion,Madrean Archipelago,default,managed (harvest),2080,5.673,1.438,10.672,19.44,83
ecoregion,Madrean Archipelago,default,managed (harvest),2105,8.253,1.609,17.858,24.9,83
ecoregion,Madrean Archipelago,default,managed (harvest),2125,8.724,1.623,21.049,24.03,83
ecoregion,Middle Atlantic Coastal Plain,default,reserve (no harvest),2030,203.927,170.6,237.598,56.65,966
ecoregion,Middle Atlantic Coastal Plain,default,reserve (no harvest),2055,436.154,377.892,494.783,119.5,966
ecoregion,Middle Atlantic Coastal Plain,default,reserve (no harvest),2080,588.941,519.785,679.858,159.33,966
ecoregion,Middle Atlantic Coastal Plain,default,reserve (no harvest),2105,677.622,591.211,767.56,181.91,966
ecoregion,Middle Atlantic Coastal Plain,default,reserve (no harvest),2125,720.243,627.738,819.035,192.45,966
ecoregion,Middle Atlantic Coastal Plain,default,managed (harvest),2030,203.927,171.343,231.811,56.65,966
ecoregion,Middle Atlantic Coastal Plain,default,managed (harvest),2055,320.958,276.043,370.763,87.86,966
ecoregion,Middle Atlantic Coastal Plain,default,managed (harvest),2080,292.402,253.027,336.921,78.62,966
ecoregion,Middle Atlantic Coastal Plain,default,managed (harvest),2105,216.151,186.66,245.209,57.42,966
ecoregion,Middle Atlantic Coastal Plain,default,managed (harvest),2125,161.827,139.512,190.351,42.56,966
ecoregion,Middle Rockies,default,reserve (no harvest),2030,174.262,154.435,195.127,28.89,2469
ecoregion,Middle Rockies,default,reserve (no harvest),2055,343.949,314.461,371.734,54.8,2469
ecoregion,Middle Rockies,default,reserve (no harvest),2080,510.915,475.867,541.193,79.66,2469
ecoregion,Middle Rockies,default,reserve (no harvest),2105,665.331,628.79,702.1,101.65,2469
ecoregion,Middle Rockies,default,reserve (no harvest),2125,772.776,721.287,826.784,116.23,2469
ecoregion,Middle Rockies,default,managed (harvest),2030,174.262,155.491,198.682,28.89,2469
ecoregion,Middle Rockies,default,managed (harvest),2055,181.832,170.422,192.979,28.18,2469
ecoregion,Middle Rockies,default,managed (harvest),2080,181.486,171.658,194.851,26.71,2469
ecoregion,Middle Rockies,default,managed (harvest),2105,171.551,160.296,183.07,23.88,2469
ecoregion,Middle Rockies,default,managed (harvest),2125,157.058,146.609,169.381,20.99,2469
ecoregion,Mississippi Alluvial Plain,default,reserve (no harvest),2030,74.686,62.645,86.946,38.0,520
ecoregion,Mississippi Alluvial Plain,default,reserve (no harvest),2055,178.031,152.813,200.415,89.0,520
ecoregion,Mississippi Alluvial Plain,default,reserve (no harvest),2080,239.58,205.654,266.26,120.52,520
ecoregion,Mississippi Alluvial Plain,default,reserve (no harvest),2105,265.734,228.959,299.843,134.18,520
ecoregion,Mississippi Alluvial Plain,default,reserve (no harvest),2125,278.702,239.619,321.92,140.64,520
ecoregion,Mississippi Alluvial Plain,default,managed (harvest),2030,74.686,65.721,85.224,38.0,520
ecoregion,Mississippi Alluvial Plain,default,managed (harvest),2055,138.463,120.038,160.757,68.71,520
ecoregion,Mississippi Alluvial Plain,default,managed (harvest),2080,126.676,110.244,145.558,63.63,520
ecoregion,Mississippi Alluvial Plain,default,managed (harvest),2105,85.806,74.09,98.761,43.44,520
ecoregion,Mississippi Alluvial Plain,default,managed (harvest),2125,62.984,51.428,74.681,31.66,520
ecoregion,Mississippi Valley Loess Plains,default,reserve (no harvest),2030,97.359,79.955,117.864,51.17,387
ecoregion,Mississippi Valley Loess Plains,default,reserve (no harvest),2055,204.439,165.018,247.683,108.99,387
ecoregion,Mississippi Valley Loess Plains,default,reserve (no harvest),2080,277.818,226.47,340.929,148.56,387
ecoregion,Mississippi Valley Loess Plains,default,reserve (no harvest),2105,318.544,266.48,375.233,170.51,387
ecoregion,Mississippi Valley Loess Plains,default,reserve (no harvest),2125,337.874,282.902,407.697,181.3,387
ecoregion,Mississippi Valley Loess Plains,default,managed (harvest),2030,97.359,78.553,118.233,51.17,387
ecoregion,Mississippi Valley Loess Plains,default,managed (harvest),2055,153.108,127.625,182.427,81.94,387
ecoregion,Mississippi Valley Loess Plains,default,managed (harvest),2080,145.941,118.579,185.068,78.31,387
ecoregion,Mississippi Valley Loess Plains,default,managed (harvest),2105,110.042,90.787,131.413,59.03,387
ecoregion,Mississippi Valley Loess Plains,default,managed (harvest),2125,83.321,66.815,103.259,45.02,387
ecoregion,Mojave Basin and Range,default,reserve (no harvest),2030,0.256,0.022,0.547,3.28,63
ecoregion,Mojave Basin and Range,default,reserve (no harvest),2055,1.499,0.099,3.994,8.71,63
ecoregion,Mojave Basin and Range,default,reserve (no harvest),2080,2.822,0.157,7.901,14.75,63
ecoregion,Mojave Basin and Range,default,reserve (no harvest),2105,4.098,0.272,11.332,21.0,63
ecoregion,Mojave Basin and Range,default,reserve (no harvest),2125,4.883,0.159,14.852,24.01,63
ecoregion,Mojave Basin and Range,default,managed (harvest),2030,0.256,0.014,0.577,3.28,63
ecoregion,Mojave Basin and Range,default,managed (harvest),2055,1.34,0.063,3.675,5.7,63
ecoregion,Mojave Basin and Range,default,managed (harvest),2080,1.969,0.077,5.674,7.24,63
ecoregion,Mojave Basin and Range,default,managed (harvest),2105,2.244,0.138,6.235,8.01,63
ecoregion,Mojave Basin and Range,default,managed (harvest),2125,2.124,0.085,5.946,6.27,63
ecoregion,Nebraska Sand Hills,default,reserve (no harvest),2030,0.451,0.206,0.881,16.69,5
ecoregion,Nebraska Sand Hills,default,reserve (no harvest),2055,1.381,0.614,2.111,46.06,5
ecoregion,Nebraska Sand Hills,default,reserve (no harvest),2080,2.346,0.876,3.887,73.98,5
ecoregion,Nebraska Sand Hills,default,reserve (no harvest),2105,3.231,1.176,5.363,99.26,5
ecoregion,Nebraska Sand Hills,default,reserve (no harvest),2125,3.881,1.16,6.935,116.54,5
ecoregion,Nebraska Sand Hills,default,managed (harvest),2030,0.451,0.174,0.889,16.69,5
ecoregion,Nebraska Sand Hills,default,managed (harvest),2055,0.913,0.42,1.475,28.73,5
ecoregion,Nebraska Sand Hills,default,managed (harvest),2080,0.93,0.242,1.861,26.82,5
ecoregion,Nebraska Sand Hills,default,managed (harvest),2105,0.849,0.21,1.769,24.25,5
ecoregion,Nebraska Sand Hills,default,managed (harvest),2125,0.794,0.137,1.844,21.39,5
ecoregion,North Cascades,default,reserve (no harvest),2030,29.225,23.114,36.781,30.94,389
ecoregion,North Cascades,default,reserve (no harvest),2055,79.0,61.869,97.178,73.35,389
ecoregion,North Cascades,default,reserve (no harvest),2080,127.448,103.73,156.865,115.02,389
ecoregion,North Cascades,default,reserve (no harvest),2105,165.782,130.616,198.843,147.89,389
ecoregion,North Cascades,default,reserve (no harvest),2125,189.196,152.896,231.588,167.05,389
ecoregion,North Cascades,default,managed (harvest),2030,29.225,23.652,36.32,30.94,389
ecoregion,North Cascades,default,managed (harvest),2055,57.122,46.796,69.531,50.18,389
ecoregion,North Cascades,default,managed (harvest),2080,62.808,51.377,76.351,54.3,389
ecoregion,North Cascades,default,managed (harvest),2105,54.216,43.859,65.823,46.53,389
ecoregion,North Cascades,default,managed (harvest),2125,45.229,35.852,56.516,37.85,389
ecoregion,North Central Appalachians,default,reserve (no harvest),2030,111.254,91.867,131.659,51.7,490
ecoregion,North Central Appalachians,default,reserve (no harvest),2055,252.237,215.621,292.764,114.75,490
ecoregion,North Central Appalachians,default,reserve (no harvest),2080,360.248,304.837,422.596,164.04,490
ecoregion,North Central Appalachians,default,reserve (no harvest),2105,444.538,373.808,510.73,202.11,490
ecoregion,North Central Appalachians,default,reserve (no harvest),2125,487.516,396.662,565.526,221.78,490
ecoregion,North Central Appalachians,default,managed (harvest),2030,111.254,91.17,130.248,51.7,490
ecoregion,North Central Appalachians,default,managed (harvest),2055,195.328,161.815,229.826,87.69,490
ecoregion,North Central Appalachians,default,managed (harvest),2080,203.119,166.297,236.386,91.28,490
ecoregion,North Central Appalachians,default,managed (harvest),2105,183.428,152.178,215.614,81.89,490
ecoregion,North Central Appalachians,default,managed (harvest),2125,151.517,123.365,180.883,67.55,490
ecoregion,North Central Hardwood Forests,default,reserve (no harvest),2030,129.386,116.929,143.544,54.27,737
ecoregion,North Central Hardwood Forests,default,reserve (no harvest),2055,272.245,247.84,296.251,112.73,737
ecoregion,North Central Hardwood Forests,default,reserve (no harvest),2080,374.326,341.45,416.078,154.24,737
ecoregion,North Central Hardwood Forests,default,reserve (no harvest),2105,442.363,403.4,482.036,182.39,737
ecoregion,North Central Hardwood Forests,default,reserve (no harvest),2125,477.294,434.997,520.887,196.93,737
ecoregion,North Central Hardwood Forests,default,managed (harvest),2030,129.386,116.012,143.015,54.27,737
ecoregion,North Central Hardwood Forests,default,managed (harvest),2055,225.591,205.813,247.409,93.05,737
ecoregion,North Central Hardwood Forests,default,managed (harvest),2080,246.33,223.441,275.358,100.83,737
ecoregion,North Central Hardwood Forests,default,managed (harvest),2105,225.441,206.118,247.448,92.42,737
ecoregion,North Central Hardwood Forests,default,managed (harvest),2125,195.256,176.561,214.554,80.15,737
ecoregion,Northeastern Coastal Zone,default,reserve (no harvest),2030,57.79,49.02,66.403,41.49,301
ecoregion,Northeastern Coastal Zone,default,reserve (no harvest),2055,144.085,124.626,162.364,102.52,301
ecoregion,Northeastern Coastal Zone,default,reserve (no harvest),2080,204.526,176.827,229.136,145.11,301
ecoregion,Northeastern Coastal Zone,default,reserve (no harvest),2105,244.025,209.503,275.175,173.62,301
ecoregion,Northeastern Coastal Zone,default,reserve (no harvest),2125,263.352,226.238,294.913,187.47,301
ecoregion,Northeastern Coastal Zone,default,managed (harvest),2030,57.79,48.901,66.47,41.49,301
ecoregion,Northeastern Coastal Zone,default,managed (harvest),2055,117.36,102.367,132.207,82.81,301
ecoregion,Northeastern Coastal Zone,default,managed (harvest),2080,124.44,106.568,141.24,86.58,301
ecoregion,Northeastern Coastal Zone,default,managed (harvest),2105,107.789,92.624,122.25,74.89,301
ecoregion,Northeastern Coastal Zone,default,managed (harvest),2125,88.438,77.384,102.059,61.19,301
ecoregion,Northern Allegheny Plateau,default,reserve (no harvest),2030,57.193,45.071,69.014,48.48,312
ecoregion,Northern Allegheny Plateau,default,reserve (no harvest),2055,134.129,108.201,162.999,104.93,312
ecoregion,Northern Allegheny Plateau,default,reserve (no harvest),2080,188.821,155.01,230.857,148.37,312
ecoregion,Northern Allegheny Plateau,default,reserve (no harvest),2105,228.149,183.974,280.33,181.25,312
ecoregion,Northern Allegheny Plateau,default,reserve (no harvest),2125,248.098,191.892,306.503,197.97,312
ecoregion,Northern Allegheny Plateau,default,managed (harvest),2030,57.193,46.532,72.438,48.48,312
ecoregion,Northern Allegheny Plateau,default,managed (harvest),2055,107.846,87.386,137.873,83.56,312
ecoregion,Northern Allegheny Plateau,default,managed (harvest),2080,113.772,92.088,133.623,90.61,312
ecoregion,Northern Allegheny Plateau,default,managed (harvest),2105,102.007,81.159,122.294,84.2,312
ecoregion,Northern Allegheny Plateau,default,managed (harvest),2125,85.548,66.637,102.849,71.78,312
ecoregion,Northern Appalachian and Atlantic Maritime Highlands,default,reserve (no harvest),2030,675.81,632.45,720.617,71.54,2903
ecoregion,Northern Appalachian and Atlantic Maritime Highlands,default,reserve (no harvest),2055,1361.978,1270.915,1450.228,143.16,2903
ecoregion,Northern Appalachian and Atlantic Maritime Highlands,default,reserve (no harvest),2080,1868.871,1747.865,1975.355,197.33,2903
ecoregion,Northern Appalachian and Atlantic Maritime Highlands,default,reserve (no harvest),2105,2233.495,2117.17,2374.245,237.1,2903
ecoregion,Northern Appalachian and Atlantic Maritime Highlands,default,reserve (no harvest),2125,2408.347,2281.339,2546.823,255.86,2903
