scale,key,year,treemap_TgC,fiadb_TgC,tm_over_fia
fortyp,982,2125,29.831,37.892,0.787
fortyp,983,2030,1.217,1.902,0.64
fortyp,983,2075,7.159,8.275,0.865
fortyp,983,2125,9.897,10.512,0.941
fortyp,991,2030,0.009,0.009,1.0
fortyp,991,2075,0.169,0.169,1.0
fortyp,991,2125,0.236,0.236,1.0
fortyp,992,2030,4.39,5.133,0.855
fortyp,992,2075,10.189,10.725,0.95
fortyp,992,2125,12.848,12.684,1.013
fortyp,995,2030,21.768,23.297,0.934
fortyp,995,2075,55.792,58.987,0.946
fortyp,995,2125,67.17,69.331,0.969
fortyp,999,2030,2.727,2.176,1.253
fortyp,999,2075,14.814,12.843,1.153
fortyp,999,2125,22.644,20.998,1.078
