year,BA_base,BA_greg,n,greg_minus_base_pct
0,85.20456692620357,85.20456692620357,600,0.0
5,73.23439208238466,73.21534123991691,600,-0.02601351895748347
10,63.45390206139029,63.9648261247524,600,0.805189352843586
15,55.370354547598595,56.523929143591886,600,2.0833794643695693
20,48.618269433453015,50.39067199312089,600,3.64554843338033
25,42.92375297002001,45.24408698250328,600,5.405710945415009
30,38.079308129452315,40.86441605825489,600,7.3139667331519655
35,33.92596102665454,37.09451663503703,600,9.3396193136373
40,30.34050874666314,33.81839000352754,600,11.462831048430916
45,27.226365628046707,30.948235453293208,600,13.670094187718133
50,24.506948412361524,28.41620538976234,600,15.951626908509553
55,22.120860930179337,26.168942478209907,600,18.299837247779994
60,20.018360813990796,24.163843100101218,600,20.708400276276127
65,18.158744717232917,22.36643346874232,600,23.171693952590473
70,16.508395686818314,20.748487018763367,600,25.684454215806667
75,15.039311125587012,19.286647931991958,600,28.241564862494084
80,13.727982132871285,17.961407613686173,600,30.83792971057316
85,12.55453178076283,16.756332284285143,600,33.468396726357305
90,11.502045805160352,15.65747228299856,600,36.12771630568443
95,10.556047540134536,14.65290460663096,600,38.81052118153127
100,9.704081972688323,13.73237461430249,600,41.51132124555012
