ST,year,mean,rel_lo,rel_hi,ndraw
WA,2055,44.575,0.9567,1.0346,30
WA,2060,48.7,0.9552,1.035,30
WA,2065,52.673,0.9544,1.0348,30
WA,2070,56.515,0.9545,1.0379,30
WA,2075,60.183,0.953,1.0349,30
WA,2080,63.631,0.9545,1.0344,30
WA,2085,66.801,0.9577,1.0293,30
WA,2090,69.611,0.9621,1.0269,30
WA,2095,72.065,0.9667,1.0252,30
WA,2100,74.071,0.9713,1.0232,30
WA,2105,75.681,0.9741,1.0207,30
WA,2110,76.934,0.9773,1.0186,30
WA,2115,77.991,0.9802,1.0184,30
WA,2120,78.87,0.9808,1.019,30
WA,2125,79.604,0.9789,1.0213,30
