species_idx,SPCD
1,11
2,15
3,17
4,19
5,20
6,21
7,22
8,64
9,73
10,81
11,93
12,101
13,108
14,116
15,117
16,119
17,122
18,202
19,263
20,264
21,746
22,747
23,815
24,818
