species_idx,SPCD
1,15
2,18
3,19
4,51
5,59
6,62
7,63
8,65
9,66
10,69
11,93
12,96
13,102
14,106
15,108
16,113
17,114
18,118
19,122
20,133
21,134
22,140
23,143
24,202
25,313
26,322
27,353
28,475
29,606
30,745
31,746
32,748
33,749
34,756
35,757
36,803
37,810
38,814
39,829
40,843
41,846
42,847
