PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,variant,config,BA_PRED_ft2ac,TPA_PRED,QMD_PRED_in,MCuFt_PRED,BdFt_PRED,BA_OBS_PREV,BA_OBS_CURR
1100,1990,2000,10,NE,default,66.64042663574219,210.72216796875,7.614652633666992,715.5684204101562,1118.440185546875,56.11,58.91
1100,1990,2000,10,NE,calibrated,58.58629608154297,180.1768341064453,7.721202850341797,681.0755615234375,1065.961181640625,56.11,58.91
1100,1990,2000,10,ACD,default,67.33031463623047,208.65966796875,7.691699981689453,695.5848999023438,1115.253173828125,56.11,58.91
1100,1990,2000,10,ACD,calibrated,67.33031463623047,208.65966796875,7.691699981689453,695.5848999023438,1115.253173828125,56.11,58.91
1101,1990,2000,10,NE,default,98.93951416015625,238.03602600097656,8.729711532592773,1982.6373291015625,3933.62353515625,91.26,84.94
1101,1990,2000,10,NE,calibrated,92.82109832763672,226.75918579101562,8.663174629211426,1889.8580322265625,3712.648193359375,91.26,84.94
1101,1990,2000,10,ACD,default,99.3310317993164,237.70327758789062,8.753084182739258,1958.6767578125,3926.04296875,91.26,84.94
1101,1990,2000,10,ACD,calibrated,99.3310317993164,237.70327758789062,8.753084182739258,1958.6767578125,3926.04296875,91.26,84.94
1102,1990,2000,10,NE,default,70.13504028320312,141.46432495117188,9.534112930297852,1054.8330078125,3064.36865234375,63.52,73.87
1102,1990,2000,10,NE,calibrated,63.94743347167969,127.40430450439453,9.593027114868164,995.8177490234375,2965.0205078125,63.52,73.87
1102,1990,2000,10,ACD,default,69.9899673461914,140.6687469482422,9.551142692565918,1031.1522216796875,3110.841064453125,63.52,73.87
1102,1990,2000,10,ACD,calibrated,69.9899673461914,140.6687469482422,9.551142692565918,1031.1522216796875,3110.841064453125,63.52,73.87
1104,1990,2000,10,NE,default,61.71832275390625,151.58938598632812,8.639904022216797,887.2645874023438,419.6856689453125,53.86,50.97
1104,1990,2000,10,NE,calibrated,55.94917678833008,136.46304321289062,8.67013168334961,825.8013916015625,417.98822021484375,53.86,50.97
1104,1990,2000,10,ACD,default,61.50888442993164,150.3882598876953,8.6596097946167,826.5414428710938,419.5705261230469,53.86,50.97
1104,1990,2000,10,ACD,calibrated,61.50888442993164,150.3882598876953,8.6596097946167,826.5414428710938,419.5705261230469,53.86,50.97
1105,1986,2000,14,NE,default,27.339733123779297,105.50963592529297,6.892667770385742,425.5265197753906,0.0,19.9,51.92
1105,1986,2000,14,NE,calibrated,27.339733123779297,105.50963592529297,6.892667770385742,425.5265197753906,0.0,19.9,51.92
1105,1986,2000,14,ACD,default,27.339733123779297,105.50963592529297,6.892667770385742,406.120849609375,0.0,19.9,51.92
1105,1986,2000,14,ACD,calibrated,27.339733123779297,105.50963592529297,6.892667770385742,406.120849609375,0.0,19.9,51.92
1106,1990,2000,10,NE,default,134.72842407226562,374.237548828125,8.12441635131836,2399.29638671875,4425.951171875,120.36,94.47
1106,1990,2000,10,NE,calibrated,124.85955047607422,336.168701171875,8.252171516418457,2301.02001953125,4348.6943359375,120.36,94.47
1106,1990,2000,10,ACD,default,135.5749969482422,373.199462890625,8.161234855651855,2374.3388671875,4549.39599609375,120.36,94.47
1106,1990,2000,10,ACD,calibrated,135.5749969482422,373.199462890625,8.161234855651855,2374.3388671875,4549.39599609375,120.36,94.47
1107,1986,2000,14,NE,default,21.09989356994629,58.53779983520508,8.129395484924316,367.0634460449219,0.0,13.96,63.74
1107,1986,2000,14,NE,calibrated,21.09989356994629,58.53779983520508,8.129395484924316,367.0634460449219,0.0,13.96,63.74
1107,1986,2000,14,ACD,default,20.74481773376465,57.53225326538086,8.130840301513672,346.450927734375,0.0,13.96,63.74
1107,1986,2000,14,ACD,calibrated,20.74481773376465,57.53225326538086,8.130840301513672,346.450927734375,0.0,13.96,63.74
1109,1990,2000,10,NE,default,65.62448120117188,116.8834228515625,10.145946502685547,1150.2552490234375,3896.63232421875,59.44,67.57
1109,1990,2000,10,NE,calibrated,59.11997985839844,101.1090316772461,10.354007720947266,1083.7598876953125,3740.93310546875,59.44,67.57
1109,1990,2000,10,ACD,default,65.66167449951172,116.39751434326172,10.169987678527832,1151.586181640625,3917.28271484375,59.44,67.57
1109,1990,2000,10,ACD,calibrated,65.66167449951172,116.39751434326172,10.169987678527832,1151.586181640625,3917.28271484375,59.44,67.57
