"predictor","n","bias_pct","RMSE","R2"
"zero growth",6,-5.96,2.93,0.775
"FIA prior PAI",6,6.37,2.57,0.827
"AGM / AcadianGY",6,19.29,4.01,0.578
"FVS-NE default",6,10.18,3.15,0.739
"FVS-NE calibrated",6,4.63,2.66,0.815
"FVS-ACD default",6,8.14,2.92,0.776
