PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,variant,config,BA_PRED_ft2ac,TPA_PRED,QMD_PRED_in,BA_OBS_PREV,BA_OBS_CURR
1100,1990,2000,10,ACD,osm,47.1140931,647.1867955632347,3.655911614173228,56.11,58.92
1101,1990,2000,10,ACD,osm,87.9554601,562.1743208245962,5.359583070866142,91.26,84.95
1102,1990,2000,10,ACD,osm,46.1286615,598.6760754458126,3.7611842519685035,63.52,73.87
1104,1990,2000,10,ACD,osm,48.451009049999996,570.1196354442957,3.9500586614173225,53.86,50.97
1105,1986,2000,14,ACD,osm,39.0972693,1244.881427389498,2.401288464566929,19.9,51.92
1106,1990,2000,10,ACD,osm,105.33662894999999,435.14511646948637,6.6666519685039365,120.36,94.47
1107,1986,2000,14,ACD,osm,18.180614024999997,954.1972683772811,1.8703387401574803,13.96,63.74
1109,1990,2000,10,ACD,osm,54.0986184,576.1576666321398,4.152001574803149,59.44,67.57
1114,1986,1995,9,ACD,osm,72.7544721,369.3680787404504,6.013610236220472,78.01,66.79
1115,1986,2000,14,ACD,osm,56.9131467,497.89381060054666,4.581134645669291,34.16,57.39
1117,1986,1995,9,ACD,osm,53.81846099999999,381.1741348556394,5.0914212598425195,49.95,69.13
1119,1986,1995,9,ACD,osm,38.50581284999999,550.815927966848,3.582572440944882,27.31,40.41
1130,1986,1999,13,ACD,osm,75.83742584999999,547.0014420402659,5.04525,66.54,49.26
1133,1986,1999,13,ACD,osm,25.064900099999996,1033.781735065181,2.1098602362204724,23.27,41.44
1134,1986,1999,13,ACD,osm,31.207620794999997,874.2839136679365,2.559995472440945,27.08,31.77
1146,1986,1995,9,ACD,osm,79.06871459999999,517.150007983596,5.298210236220473,81.95,92.07
1163,1995,2000,5,ACD,osm,37.92787619999999,464.52068067945186,3.8717905511811024,33.21,60.88
1165,1990,2000,10,ACD,osm,59.01160845,550.5621900691665,4.436092913385827,54.62,57.13
1166,1990,1995,5,ACD,osm,105.91973774999998,267.7919016022472,8.521672440944881,115.69,140.48
1169,1986,1995,9,ACD,osm,54.985170149999995,431.9270562424308,4.834512598425197,49.57,96.01
