"PLOT","YEAR_PREV","YEAR_CURR","PERIOD_YR","BA_PREV_FT2AC","BA_CURR_FT2AC","TPA_PREV","TPA_CURR","QMD_PREV","QMD_CURR","SDI_obs_curr","CurtisRD_obs_curr","tree_list_file","tree_count_prev"
1240,1996,2001,5,27.67,33.48,85,80,7.73,8.76,64.7,11.31,"pair_input_long_v16/pair_1240_1996_tree.csv",17
1243,1991,2001,10,32.4,48.55,115,160,7.19,7.46,99.9,17.78,"pair_input_long_v16/pair_1243_1991_tree.csv",23
1244,1987,2001,14,102.49,40.8,145,70,11.38,10.34,73.8,12.69,"pair_input_long_v16/pair_1244_1987_tree.csv",29
1245,1991,2001,10,26.66,78.88,85,315,7.58,6.78,168.7,30.3,"pair_input_long_v16/pair_1245_1991_tree.csv",17
1247,1987,1992,5,28.11,44.17,55,130,9.68,7.89,88.9,15.72,"pair_input_long_v16/pair_1247_1987_tree.csv",11
1251,1988,2001,13,42.89,16.05,85,80,9.62,6.06,35.9,6.52,"pair_input_long_v16/pair_1251_1988_tree.csv",17
1252,1991,2001,10,14.48,96.48,65,335,6.39,7.27,200.7,35.79,"pair_input_long_v16/pair_1252_1991_tree.csv",13
1253,1987,2001,14,33.17,48.57,85,105,8.46,9.21,92,16,"pair_input_long_v16/pair_1253_1987_tree.csv",17
1262,1987,1992,5,76.36,91.94,105,175,11.55,9.81,169.8,29.35,"pair_input_long_v16/pair_1262_1987_tree.csv",21
1263,1987,1992,5,71.86,74.43,70,65,13.72,14.49,117.9,19.55,"pair_input_long_v16/pair_1263_1987_tree.csv",14
1272,1992,2002,10,24.73,29.84,70,75,8.05,8.54,58.2,10.21,"pair_input_long_v16/pair_1272_1992_tree.csv",14
1273,1987,2002,15,71.81,44.71,90,90,12.1,9.54,83.5,14.47,"pair_input_long_v16/pair_1273_1987_tree.csv",18
1275,1992,2002,10,25.77,31.09,130,150,6.03,6.16,69,12.52,"pair_input_long_v16/pair_1275_1992_tree.csv",26
1278,1987,2002,15,27.67,27.48,70,90,8.51,7.48,56.5,10.05,"pair_input_long_v16/pair_1278_1987_tree.csv",14
1284,1987,2001,14,68.31,97.7,120,160,10.22,10.58,175.2,30.03,"pair_input_long_v16/pair_1284_1987_tree.csv",24
1285,1987,1996,9,29.1,52.64,60,140,9.43,8.3,103.9,18.27,"pair_input_long_v16/pair_1285_1987_tree.csv",12
1286,1987,2001,14,41.78,55.7,90,120,9.23,9.22,105.4,18.34,"pair_input_long_v16/pair_1286_1987_tree.csv",18
1287,1996,2001,5,33.44,37.71,50,75,11.07,9.6,70.3,12.17,"pair_input_long_v16/pair_1287_1996_tree.csv",10
