"predictor","n","bias_pct","RMSE","R2"
"zero growth",6,3.21,12.25,0.313
"FIA prior PAI",6,13.54,14.36,0.055
"AGM / AcadianGY",6,18.53,16.19,-0.202
"FVS-NE default",6,15.57,18.3,-0.536
"FVS-NE calibrated",6,5.7,14.03,0.098
"FVS-ACD default",6,15.94,18.7,-0.603
"OSM-ACD",6,-9.67,14.28,0.065
