"PLOT","YEAR_PREV","YEAR_CURR","tree_idx","SP","DBH_cm","HT_m","EXPF_ha"
1100,1990,2000,1,"YB",48.1583422072658,7.47716529336081,12.3552690735
1100,1990,2000,2,"RS",29.4823912672695,17.1057485324036,12.3552690735
1100,1990,2000,3,"BF",27.2271207830279,13.9160237583398,12.3552690735
1100,1990,2000,4,"YB",26.9757301098159,4.34171317479602,12.3552690735
1100,1990,2000,5,"OH",25.2084962811299,6.68494675234848,12.3552690735
1100,1990,2000,6,"OH",24.2174725216072,5.74310039131259,12.3552690735
1100,1990,2000,7,"RS",23.9301865157378,16.5205562208781,12.3552690735
1100,1990,2000,8,"PB",23.1624313975455,8.45640360152903,12.3552690735
1100,1990,2000,9,"PB",21.5194799846421,4.09744620324241,12.3552690735
1100,1990,2000,10,"RS",21.5160685059589,15.0896414124781,12.3552690735
1100,1990,2000,11,"RS",20.7482490263893,13.665444576072,12.3552690735
1100,1990,2000,12,"PB",20.3228816967802,10.5582892940234,12.3552690735
1100,1990,2000,13,"RS",19.168110038228,13.6602996249413,12.3552690735
1100,1990,2000,14,"PB",18.5982968281235,8.439016469234,12.3552690735
1100,1990,2000,15,"PB",18.2968574627339,10.8510891498318,12.3552690735
1100,1990,2000,16,"RS",18.2728430467104,9.66149386178134,12.3552690735
1100,1990,2000,17,"BF",17.9963837257347,14.4958987641235,12.3552690735
1100,1990,2000,18,"PB",17.5458212789302,10.2472086562252,12.3552690735
1100,1990,2000,19,"PB",17.1010578427563,6.59201409854689,12.3552690735
1100,1990,2000,20,"PB",17.0589667826057,8.42937395150108,12.3552690735
1100,1990,2000,21,"PB",16.8408371897811,6.58952783247733,12.3552690735
1100,1990,2000,22,"PB",16.8204957076196,7.20435349012677,12.3552690735
1100,1990,2000,23,"PB",16.5960197158607,5.96632515837009,12.3552690735
1100,1990,2000,24,"PB",16.3257804968689,6.58505343926291,12.3552690735
1100,1990,2000,25,"BF",15.8133593196604,7.44720723307908,12.3552690735
1100,1990,2000,26,"OH",15.5697880717335,6.89921638625119,12.3552690735
1100,1990,2000,27,"BF",15.4997798830373,8.09298480454506,12.3552690735
1100,1990,2000,28,"PB",15.3065532417632,7.19767942940297,12.3552690735
1100,1990,2000,29,"PB",15.1190484027433,4.70109905020443,12.3552690735
1100,1990,2000,30,"PB",15.1136273039015,4.69983167896512,12.3552690735
1100,1990,2000,31,"PB",15.0902292555042,5.33167552977199,12.3552690735
1100,1990,2000,32,"PB",15.0502949122404,6.57630502782033,12.3552690735
1100,1990,2000,33,"PB",15.0348675632484,7.19215502131282,12.3552690735
1100,1990,2000,34,"BF",14.9243723030275,8.73330189137573,12.3552690735
1100,1990,2000,35,"PB",14.5882587852624,4.69300954418255,12.3552690735
1100,1990,2000,36,"PB",14.5477419744105,5.95062536052344,12.3552690735
1100,1990,2000,37,"OH",14.4120415451321,5.00060732560404,12.3552690735
