SurveyID,Cords_PRED_ac,BdFt_intl_PRED_ac
1,8.689556421752608,1936.3978438052497
2,24.859562260750806,7103.85585830627
3,8.391577130833213,2540.6010162627344
4,9.115055165677637,2445.8450718036456
5,8.233441835358168,844.6097473216521
6,23.638252554243252,6061.895475126455
7,2.572833505092263,401.88113326052144
8,12.627358215783904,4126.788448858939
9,18.543849723727323,6129.172956376509
10,13.868751150186565,4869.472626065505
11,13.61801473275721,4781.4362839458645
12,11.32224168432569,3975.364858052131
13,26.624056381393814,9118.832403987246
14,4.956452056257721,1581.6678432339193
15,8.17266445822335,2869.5132986650874
16,25.009585642360058,8609.62441033104
18,14.700752244431653,4451.43805180299
19,17.272009426030586,5599.533238394663
20,23.569264721847404,8057.340827849594
21,18.65550510973944,6369.700166231731
22,21.266450205851555,7342.7786884164725
23,18.408948421412845,5763.1635757968625
25,18.252183252899933,6069.943184804575
26,18.43177962320457,6264.343412176038
27,12.581063375230041,4298.108444328278
28,22.171096577681396,7725.002652430862
29,10.94771624889899,3843.8648162800896
30,14.751324825005206,5179.354049668495
31,15.39979403145032,5001.532681444489
32,3.607838842120487,1231.9085111941606
33,12.169341563982181,4065.1002369277858
34,42.69638068003082,14991.1736609886
35,11.916526853245182,4184.024984028309
36,14.49569510757686,5089.599615549209
37,9.453690930521043,3319.295926716277
38,21.29957900786448,5688.471469207982
39,12.536518198563268,3332.6938221363885
40,7.722884845454319,2273.030451364563
41,11.821048846488951,3507.9308147071206
42,14.601276143055083,4668.854613445886
43,9.864639903191405,2005.7800588191624
44,5.7577335674386685,1183.9015258656411
45,6.8611541690300335,2111.41551161665
46,10.978621721711919,2609.5131995661286
47,7.666361481286263,2205.013674264509
48,13.736722992791512,2651.570805438097
49,20.545026348916867,3860.2510122530675
50,14.746247541172208,5020.099526049449
51,9.798025570159982,2542.8495109193145
52,17.678118861341602,3647.6027673407043
53,17.102769528814015,4881.239680130862
54,10.59389268843247,3613.633672401579
55,4.889322274949235,1292.1891829332951
56,9.217602625070647,2635.8008445962123
57,11.308187582547895,2548.337240135699
58,21.473830403982305,7512.560197806402
59,14.336175057978632,4149.704168521236
60,9.110792749256264,3006.7416788592154
61,14.913732442858086,5236.3771688257275
63,13.781629061668593,4838.883092763639
64,11.813283157472084,4147.774975290198
65,16.651936167732558,5787.158555710172
66,6.030401181799321,1911.1547122308864
67,11.434320943499499,4014.717131273157
68,7.63089021813138,1495.7223180540789
69,3.1018374148460333,1029.5306960995008
70,17.312536882763695,5967.133733966408
71,7.879360572415991,2649.381714811405
72,10.487439573723622,3682.2565614407386
73,8.502436382641159,2921.1411174458644
