"predictor","n","bias_pct","RMSE","R2"
"zero growth",6,-25.05,1340.22,0.48
"AGM / AcadianGY",6,16.72,934.15,0.748
"FVS-NE default",6,-11.09,1043.55,0.685
"FVS-NE calibrated",6,-14.29,1128.16,0.632
"FVS-ACD default",6,-10.14,1067.64,0.67
