SurveyID,PLOT,YEAR_PREV,Cords_PRED_ac,BdFt_intl_PRED_ac
1,1100,1990,8.689556421752608,1936.3978438052495
2,1101,1990,24.85956226075081,7103.85585830627
3,1102,1990,8.391577130833213,2540.6010162627344
4,1104,1990,9.115055165677637,2445.8450718036456
5,1105,1986,8.233441835358168,844.6097473216521
6,1106,1990,23.63825255424325,6061.895475126455
7,1107,1986,2.572833505092263,401.88113326052144
8,1109,1990,12.627358215783904,4126.788448858939
9,1114,1986,18.543849723727323,6129.172956376509
10,1115,1986,13.868751150186563,4869.472626065505
11,1117,1986,13.61801473275721,4781.4362839458645
12,1119,1986,11.32224168432569,3975.364858052131
13,1130,1986,26.62405638139381,9118.832403987246
14,1133,1986,4.956452056257721,1581.6678432339193
15,1134,1986,8.17266445822335,2869.5132986650874
16,1146,1986,25.009585642360054,8609.62441033104
17,1150,1994,,
18,1163,1995,14.700752244431651,4451.43805180299
19,1165,1990,17.272009426030586,5599.533238394663
20,1166,1990,23.569264721847404,8057.340827849594
21,1169,1986,18.65550510973944,6369.700166231731
22,1170,1995,21.266450205851555,7342.778688416472
23,1171,1989,18.408948421412845,5763.163575796863
24,1178,1994,,
25,1193,1990,18.252183252899933,6069.943184804575
26,1194,1990,18.43177962320457,6264.343412176038
27,1195,1990,12.58106337523004,4298.108444328278
28,1196,1990,22.1710965776814,7725.002652430862
29,1197,1987,10.94771624889899,3843.8648162800896
30,1199,1987,14.751324825005206,5179.354049668495
31,1200,1992,15.39979403145032,5001.532681444489
32,1202,1990,3.607838842120487,1231.9085111941606
33,1203,1994,12.16934156398218,4065.1002369277858
34,1205,1989,42.69638068003082,14991.1736609886
35,1206,1989,11.916526853245182,4184.024984028309
36,1208,1987,14.49569510757686,5089.599615549209
37,1209,1987,9.453690930521043,3319.295926716277
38,1217,1987,21.29957900786448,5688.471469207982
39,1218,1987,12.536518198563268,3332.6938221363885
40,1219,1987,7.722884845454319,2273.030451364563
41,1220,1987,11.821048846488951,3507.9308147071206
42,1221,1987,14.601276143055085,4668.854613445886
43,1222,1987,9.864639903191405,2005.7800588191624
44,1223,1991,5.7577335674386685,1183.9015258656411
45,1224,1991,6.8611541690300335,2111.41551161665
46,1225,1987,10.97862172171192,2609.5131995661286
47,1227,1987,7.666361481286263,2205.013674264509
48,1228,1987,13.736722992791512,2651.570805438097
49,1230,1987,20.545026348916867,3860.251012253068
50,1231,1987,14.746247541172208,5020.099526049449
51,1232,1991,9.798025570159982,2542.8495109193145
52,1234,1991,17.678118861341602,3647.602767340704
53,1235,1991,17.102769528814015,4881.239680130862
54,1236,1996,10.59389268843247,3613.633672401579
55,1239,1996,4.889322274949235,1292.1891829332951
56,1240,1996,9.217602625070649,2635.8008445962123
57,1243,1991,11.308187582547896,2548.337240135699
58,1244,1987,21.473830403982305,7512.560197806402
59,1245,1991,14.336175057978632,4149.704168521236
60,1247,1987,9.110792749256264,3006.7416788592154
61,1251,1988,14.913732442858086,5236.377168825728
62,1252,1991,,
63,1253,1987,13.781629061668593,4838.883092763639
64,1262,1987,11.813283157472084,4147.774975290198
65,1263,1987,16.651936167732558,5787.158555710172
66,1272,1992,6.030401181799321,1911.1547122308864
67,1273,1987,11.4343209434995,4014.717131273157
68,1275,1992,7.63089021813138,1495.7223180540789
69,1278,1987,3.1018374148460333,1029.5306960995008
70,1284,1987,17.312536882763695,5967.133733966408
71,1285,1987,7.879360572415991,2649.381714811405
72,1286,1987,10.487439573723622,3682.2565614407386
73,1287,1996,8.502436382641159,2921.1411174458644
