"predictor","n","bias_pct","RMSE","R2"
"zero growth",8,-30.78,1252.86,0.615
"AGM / AcadianGY",8,10.37,871.73,0.814
"FVS-NE default",8,-17.88,1019.43,0.745
"FVS-NE calibrated",8,-20.84,1084.92,0.711
"FVS-ACD default",8,-17.01,1037.98,0.736
