species_idx,SPCD
1,17
2,19
3,65
4,66
5,72
6,73
7,93
8,101
9,108
10,113
11,119
12,122
13,202
14,231
15,242
16,263
17,264
18,351
19,375
20,475
21,544
22,742
23,745
24,746
25,747
26,749
