fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,WB,101,6,53.4613832350708,-0.0654514442528323,1.22439535158058,conus_htdbh
2,LM,113,6,45.4768303502727,-0.0846439902885189,1.09646932362652,conus_htdbh
3,DF,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,PM,133,4,3.47301482353042,-9.52932267356753,,conus_htdbh
5,BS,96,3,108.661471268195,-0.074068005352311,1.32902955881822,conus_htdbh
6,AS,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
7,LP,108,3,75.4722860888433,-0.162048795459456,1.45651682371468,conus_htdbh
8,ES,93,2,6.34153938530047,-5.38019071389928,-0.346288526148882,conus_htdbh
9,AF,19,5,4.86417179244512,-11.1689662425416,2.01282727686487,conus_htdbh
10,PP,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,UJ,65,2,2.93358346952484,-3.67736471927477,-0.661402656156051,conus_htdbh
12,RM,66,4,3.08370326195617,-6.00909089979847,,conus_htdbh
13,BI,322,4,3.84769906672085,-5.91709328642341,,conus_htdbh
14,MM,321,6,27.1099166406306,-0.205858295984719,1.2608062208517,conus_htdbh
15,NC,749,6,64.2986346863947,-0.0623275118449028,1.17863508050759,conus_htdbh
16,MC,475,5,2.82326172064322,-6.69229050327335,1.67629056284919,conus_htdbh
17,OS,299,,,,,native_fallback
18,OH,998,4,2.6502919183639,-0.559940419816323,,conus_htdbh
