fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,BF,12,2,5.16620794288406,-3.66931521845556,-0.45205672664804,conus_htdbh
2,TA,71,5,4.64309758679862,-7.64652812986049,1.907896972154,conus_htdbh
3,WS,94,6,84.8528979621777,-0.0550088575597485,1.1829959711412,conus_htdbh
4,RS,97,2,6.18928437580362,-4.78911897444744,-0.314806005876445,conus_htdbh
5,NS,91,6,98.0746324664844,-0.0428283328880711,1.33651579085261,conus_htdbh
6,BS,95,5,4.54860071955731,-6.56115183682452,1.15849065759449,conus_htdbh
7,PI,90,1,4.44729103207195,-5.56564650069738,,conus_htdbh
8,RN,125,6,81.5983644442848,-0.0387203598284333,1.43936830766127,conus_htdbh
9,WP,129,6,119.557148917212,-0.055766421429091,1.01064303388876,conus_htdbh
10,LP,131,5,5.12358039716932,-14.6188636258103,3.89991706965602,conus_htdbh
11,VP,132,5,4.84443474499266,-9.68483956081692,2.61709312624028,conus_htdbh
12,WC,241,5,4.29897058336359,-7.95157406171565,2.06586744877633,conus_htdbh
13,AW,43,3,87.2650086489097,-0.0887018861598106,0.938272093476085,conus_htdbh
14,RC,68,2,5.99369538213628,-4.07649579140111,-0.239129684461209,conus_htdbh
15,JU,57,5,3.9608303704461,-11.9366135446312,7.25730989403742,conus_htdbh
16,EH,261,2,8.39962340686573,-6.52310447874615,-0.152348026691194,conus_htdbh
17,HM,260,,,,,native_fallback
18,OP,100,,,,,native_fallback
19,JP,105,5,4.80174975800959,-11.5220283528299,3.08061384182069,conus_htdbh
20,SP,110,5,4.95608979030198,-11.6823427621771,2.95818585483651,conus_htdbh
21,TM,123,5,4.60870905684167,-9.76812215794682,2.53211545148401,conus_htdbh
22,PP,126,6,116.244771423034,-0.0572119754090533,0.937415611048893,conus_htdbh
23,PD,128,5,5.06668937980111,-16.5363853815677,4.23376880296317,conus_htdbh
24,SC,130,5,4.74679808871495,-11.8267422069234,2.79224739795629,conus_htdbh
25,OS,299,,,,,native_fallback
26,RM,316,6,96.3922448635395,-0.136953203364767,0.849299083187643,conus_htdbh
27,SM,318,3,86.8722151320408,-0.118466921733072,0.912923449941275,conus_htdbh
28,BM,314,2,5.25279544171297,-3.08902071644383,-0.407961448658565,conus_htdbh
29,SV,317,3,94.597403448077,-0.0780278849482925,0.76768780170989,conus_htdbh
30,YB,371,5,4.4395708047223,-5.58056802970323,1.87552552701953,conus_htdbh
31,SB,372,3,86.5942690929821,-0.111339234928666,0.836642957386161,conus_htdbh
32,RB,373,2,5.26245487905325,-2.83295398771554,-0.381509468183578,conus_htdbh
33,PB,375,3,73.4146454771709,-0.125431847449098,0.874657743908028,conus_htdbh
34,GB,379,4,4.25477239578336,-3.88939144010032,,conus_htdbh
35,HI,400,2,7.16465643663271,-4.82944235512607,-0.156743767080729,conus_htdbh
36,PH,403,5,5.04752531090925,-11.512380469404,3.28729433431041,conus_htdbh
37,SL,405,6,109.376396002375,-0.072134742058345,1.07547937408899,conus_htdbh
38,SH,407,5,4.97546634829028,-10.7912423082463,2.97457486133052,conus_htdbh
39,MH,409,3,138.405849863886,-0.0501488378929495,0.889984615240066,conus_htdbh
40,AB,531,2,7.84986632788297,-5.48439795206407,-0.154149330236053,conus_htdbh
41,AS,540,2,8.13606218879613,-5.56472946357305,-0.110078422262995,conus_htdbh
42,WA,541,3,108.923208769068,-0.0737459295532818,0.872822507398674,conus_htdbh
43,BA,543,3,87.7421887305523,-0.0869744056319589,0.829859092962405,conus_htdbh
44,GA,544,3,103.04238294783,-0.0741987271862411,0.844796506505631,conus_htdbh
45,PA,545,5,4.90456022422093,-10.320735460161,3.21947125467444,conus_htdbh
46,YP,621,3,135.098354542823,-0.062642538179953,0.850584503390729,conus_htdbh
47,SU,611,3,124.134999027986,-0.070035992314386,0.934832871873784,conus_htdbh
48,CT,651,3,107.520572696666,-0.0905660163033707,0.955470299832218,conus_htdbh
49,QA,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
50,BP,741,2,5.76723614612927,-3.39037269947814,-0.278983663828942,conus_htdbh
51,EC,742,3,106.116502576543,-0.075306544995367,0.905899993245578,conus_htdbh
52,BT,743,5,4.70806708736084,-5.87819752755009,1.59409245774162,conus_htdbh
53,PY,744,5,5.04316365270177,-13.1513293049915,3.97082726930252,conus_htdbh
54,BC,762,2,8.1938930702471,-5.7655592189344,-0.145207868392094,conus_htdbh
55,WO,802,5,4.90901329962587,-11.1083568538124,3.33901573812732,conus_htdbh
56,BR,823,6,69.5277527857319,-0.0724916075266451,1.16136484335445,conus_htdbh
57,CK,826,3,85.9306508175669,-0.0833231527715573,0.881696433946908,conus_htdbh
58,PO,835,6,70.3582838116662,-0.107834988789248,1.00713422673808,conus_htdbh
59,OK,800,5,9.19778398014453,-344.981041719773,46.4967706003396,conus_htdbh
60,SO,806,6,111.343552755355,-0.0967093731455395,0.898090487712869,conus_htdbh
61,QI,817,5,4.77410518854086,-11.6318504543919,3.5013353432991,conus_htdbh
62,WK,827,3,108.440971463434,-0.0622528098749927,0.788351635886084,conus_htdbh
63,PN,830,5,4.99316586885481,-12.8211862940761,3.85048107395382,conus_htdbh
64,CO,832,3,90.082306403104,-0.0971867933691378,0.928111235825358,conus_htdbh
65,SW,804,5,4.86483113984375,-12.4146904972433,3.62034764048845,conus_htdbh
66,SN,825,5,5.01086674595273,-13.5941110992941,4.33305357175866,conus_htdbh
67,RO,833,6,101.491400486567,-0.111462321882721,0.889732821651076,conus_htdbh
68,SK,812,3,101.279703527971,-0.0816216607376459,0.935956768629348,conus_htdbh
69,BO,837,3,95.8445309290689,-0.0818423531571508,0.898755793429172,conus_htdbh
70,CB,813,3,126.165750844236,-0.0567057199641913,0.844710165923384,conus_htdbh
72,BU,330,5,6.09966545338436,-69.0153727611017,16.4302541048105,conus_htdbh
73,YY,332,5,4.94234238840679,-10.671134367943,2.7532063913117,conus_htdbh
74,WR,374,2,18.6711305769443,-16.5853212778024,-0.0520268804257012,conus_htdbh
75,HK,462,5,4.80793196243877,-12.0274905047119,3.78523205296343,conus_htdbh
76,PS,521,3,119.943921392711,-0.0594261606448371,0.887362160186024,conus_htdbh
77,HY,591,6,75.6352746116384,-0.107378277290573,0.912994429164558,conus_htdbh
78,BN,601,5,4.65732873290113,-8.82340703136603,2.74937597806778,conus_htdbh
79,WN,602,6,94.1761872112372,-0.0868548700989347,1.01201922264673,conus_htdbh
80,OO,641,6,66.2006528948916,-0.154421327592592,0.744171420162487,conus_htdbh
81,MG,650,2,5.05101812843336,-2.82876972642368,-0.324112597297341,conus_htdbh
82,MV,653,3,84.7170715097382,-0.110177488570966,0.906015944286258,conus_htdbh
83,AP,660,5,3.86311699243363,-5.79595723492354,2.7648405882708,conus_htdbh
84,WT,691,3,97.2860690499266,-0.09753312973419,0.982197981151822,conus_htdbh
85,BG,693,5,4.86869792072567,-11.5978433923744,3.54523350966317,conus_htdbh
86,SD,711,6,74.4646439757339,-0.151319920425201,0.908941559198755,conus_htdbh
87,PW,712,6,66.6842727979808,-0.14156488979967,1.03343210882826,conus_htdbh
88,SY,731,6,115.686190579391,-0.111413425288538,0.883160433034918,conus_htdbh
89,WL,831,3,116.610679281676,-0.0575415980309809,0.816446723208764,conus_htdbh
90,BK,901,5,4.84925742380529,-10.034091670256,2.99806760236697,conus_htdbh
91,BL,922,5,4.67884394905377,-9.89070680782591,3.34423851323384,conus_htdbh
92,SS,931,2,6.49492130142947,-4.18645455760346,-0.225601889816008,conus_htdbh
93,BW,951,6,101.888431612198,-0.089152075574901,1.00775221404168,conus_htdbh
94,WB,952,6,108.725563880459,-0.0952433118431214,1.03487304147242,conus_htdbh
95,EL,970,2,7.61090061882829,-5.16404517633371,-0.114442219767265,conus_htdbh
