fvs_index,JSP,SPCD,model_id,B1,B2,B3,source
1,WB,101,6,53.4613832350708,-0.0654514442528323,1.22439535158058,conus_htdbh
2,WL,73,6,129.287605111401,-0.0562134070030147,1.15627303107274,conus_htdbh
3,DF,202,2,8.75697395121902,-7.19229321466618,-0.178306360243103,conus_htdbh
4,LM,113,6,45.4768303502727,-0.0846439902885189,1.09646932362652,conus_htdbh
5,LL,72,5,4.52699379401801,-9.22380746646572,1.92807096915182,conus_htdbh
6,RM,66,4,3.08370326195617,-6.00909089979847,,conus_htdbh
7,LP,108,3,75.4722860888433,-0.162048795459456,1.45651682371468,conus_htdbh
8,ES,93,2,6.34153938530047,-5.38019071389928,-0.346288526148882,conus_htdbh
9,AF,19,5,4.86417179244512,-11.1689662425416,2.01282727686487,conus_htdbh
10,PP,122,2,12.6867867164646,-11.3266186554789,-0.10026651436029,conus_htdbh
11,GA,544,3,103.04238294783,-0.0741987271862411,0.844796506505631,conus_htdbh
12,AS,746,5,4.6565777738317,-7.12923186598056,1.92747619077869,conus_htdbh
13,CW,747,6,171.1586435167,-0.0446347742231565,0.938044563028798,conus_htdbh
14,BA,741,2,5.76723614612927,-3.39037269947814,-0.278983663828942,conus_htdbh
15,PW,745,5,4.42646087672282,-7.25872569407524,1.75759730831231,conus_htdbh
16,NC,749,6,64.2986346863947,-0.0623275118449028,1.17863508050759,conus_htdbh
17,PB,375,3,73.4146454771709,-0.125431847449098,0.874657743908028,conus_htdbh
18,OS,299,,,,,native_fallback
19,OH,998,4,2.6502919183639,-0.559940419816323,,conus_htdbh
